Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
150,0.0290264,0.0214736,0.0180528,0.00962579,0.0131188,0.00691635,0.00347411,0.00563253,0.00374384,0.0097569,0.0345337,0.0144718,0.0157724,0.0129249,0.0118319,0.0217035,0.0136757,0.0183475,0.0333982,0.00804357,0.000680537,0.00165834,0.0184811,0.0171634,0.0117678,0.00527445,0.00397802,0.0105426,0.014207,0.0064515,0.00904783,0.00662787,0.0055843,0.00700376,0.00806392,0.00267628,0.00892448,0.0140529,0.00483259,0.0070606,0.00342634,0.0021049
151,0.0287122,0.0223904,0.018903,0.0105509,0.0138733,0.00673803,0.0030478,0.00490282,0.00526397,0.0105082,0.0380106,0.0153772,0.0177052,0.0134016,0.0125661,0.0241196,0.0151887,0.0202946,0.0380747,0.00926331,0.00168638,0.00198601,0.0185339,0.0156648,0.0113679,0.00516313,0.00535468,0.00996345,0.015183,0.00521118,0.0100635,0.00786803,0.00532417,0.00618774,0.00780993,0.00219675,0.00940353,0.0122703,0.00272318,0.00677668,0.00145897,0.00190386
152,0.0278966,0.0231902,0.0192322,0.0122681,0.0141833,0.0058134,0.00402673,0.00407256,0.00662759,0.0110101,0.0400284,0.0161711,0.0192402,0.0133574,0.0128054,0.0247426,0.0153008,0.0207778,0.0403847,0.0100866,0.00303818,0.00354602,0.0183856,0.0138117,0.0106647,0.00620658,0.00671391,0.00900761,0.0157701,0.00464392,0.00944156,0.00863541,0.00581393,0.00693078,0.00772304,0.00427255,0.0100009,0.011114,0.00197086,0.00656173,0.00352533,0.00358789
153,0.0273196,0.0237938,0.0189317,0.0144279,0.0143237,0.00530698,0.00488487,0.00352328,0.00751372,0.0112816,0.0403023,0.0165706,0.0198558,0.0131651,0.0126181,0.0235686,0.0143652,0.0199568,0.0401765,0.010385,0.00390589,0.00482204,0.0182942,0.0122593,0.0103361,0.00820405,0.00714393,0.0079322,0.0158043,0.00524015,0.00782727,0.00874398,0.00677748,0.00900285,0.00850198,0.0057883,0.0107847,0.0115868,0.00278324,0.00566467,0.00502915,0.00500198
154,0.0272562,0.0242632,0.0181931,0.0167557,0.0144846,0.0065753,0.00523264,0.00384098,0.00808193,0.0114231,0.0389648,0.0165419,0.0195061,0.0130404,0.0121992,0.0215232,0.0128861,0.018404,0.0377623,0.0103829,0.00474687,0.00577552,0.0183735,0.0116312,0.0104858,0.0103456,0.00668434,0.00718148,0.0153507,0.00672957,0.00631402,0.00852599,0.0077526,0.0112964,0.00973108,0.00656113,0.011527,0.0131427,0.00440937,0.00467521,0.00511192,0.00572331
155,0.02732,0.0247395,0.0173583,0.0191535,0.0146816,0.00853357,0.00548319,0.00469894,0.00847346,0.0114332,0.0364215,0.0163094,0.0186197,0.0129158,0.0117125,0.01994,0.0110699,0.0166713,0.0337945,0.010422,0.00582416,0.00660439,0.0184421,0.0120543,0.0108432,0.0116841,0.00605193,0.00685597,0.0146754,0.00826566,0.00530622,0.00866295,0.00796307,0.0121816,0.0102621,0.00716445,0.0121667,0.0146853,0.00552189,0.00512541,0.00438018,0.00574435
156,0.027001,0.0253226,0.0167128,0.0214332,0.0148021,0.00944315,0.00590062,0.00500826,0.00872073,0.0111906,0.0332693,0.016149,0.0176517,0.0126716,0.0112313,0.0196234,0.00924866,0.0150501,0.0290028,0.010695,0.0067201,0.00733023,0.0182314,0.013135,0.0111166,0.0115637,0.00555776,0.00659732,0.0140969,0.00908887,0.00478878,0.00945411,0.00753057,0.0115687,0.00993029,0.00791915,0.0127745,0.0156209,0.00595749,0.00551441,0.0034782,0.00515772
157,0.0262522,0.0259819,0.0163762,0.0232449,0.0146872,0.00853692,0.00637697,0.00417567,0.00894465,0.0106707,0.0301982,0.0161656,0.016813,0.012257,0.0107425,0.0202028,0.00813361,0.0136622,0.0240153,0.0111754,0.00695388,0.00777401,0.0176083,0.0142466,0.0110955,0.00995342,0.0048227,0.00637922,0.0138592,0.00898133,0.00466014,0.0104451,0.00708795,0.0103932,0.0093171,0.00873277,0.0133548,0.0160015,0.00588134,0.00458957,0.00259984,0.00416764
158,0.0254519,0.0265925,0.0163287,0.024349,0.0142057,0.00612064,0.00638374,0.00267441,0.00922983,0.0100671,0.0277486,0.0163268,0.0161681,0.0116772,0.0101979,0.0208055,0.00794774,0.0126098,0.0193648,0.0117515,0.0065388,0.0078023,0.0166262,0.0150641,0.0106294,0.00745769,0.0035268,0.00665086,0.0140028,0.008409,0.00485034,0.011107,0.00703705,0.00935857,0.0088209,0.009589,0.0138433,0.0160636,0.00544529,0.00471346,0.00176642,0.00321531
159,0.0249241,0.0270504,0.0165121,0.0248777,0.0133085,0.00330313,0.00543607,0.00271475,0.00950443,0.00956173,0.0260678,0.0166214,0.0157381,0.0109843,0.00957656,0.0209737,0.00810876,0.0119168,0.0155208,0.0122946,0.0058612,0.00746809,0.0154524,0.0157065,0.00969587,0.00500292,0.0022567,0.00745433,0.0143145,0.00813784,0.00531755,0.0113294,0.00732337,0.00854409,0.00835443,0.0105647,0.0140806,0.0158936,0.00474418,0.00738586,0.00158529,0.00290787
