Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSH,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RLMAL,RMEL,RMMAL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0275058,0.0223549,0.0140057,0.0179115,0.0170955,0.00997172,0.00633602,0.00566745,0.00818037,0.00902848,0.0300171,0.0120408,0.0119716,0.0170198,0.0153695,0.0100269,0.0144528,0.0212413,0.0208431,0.0313381,0.0102114,0.00782757,0.00812272,0.0185438,0.010712,0.0232571,0.00898827,0.00683296,0.00733283,0.0111059,0.0203476,0.00682415,0.0293536,0.0389922,0.00809947,0.022642,0.016898,0.0114667,0.0163355,0.0248289,0.027446,0.0447363,0.00748919,0.00689561,0.00671201
0,0.0185193,0.0177205,0.0172183,0.00715258,0.00742111,0.00542235,0.00593041,0.00688764,0.00874835,0.0119553,0.0306704,0.00624198,0.0126899,0.0135139,0.00835253,0.00885159,0.0161321,0.0241026,0.018444,0.0468309,0.00821373,0.00891904,0.00945798,0.014665,0.0168768,0.0224807,0.00831181,0.00482239,0.00641413,0.00469775,0.0256812,0.00899768,0.0304552,0.0399381,0.00833595,0.0166942,0.01929,0.0100225,0.017371,0.0155022,0.0235425,0.0436992,0.00991738,0.0084254,0.00718247
1,0.0184854,0.0182083,0.0175242,0.00729194,0.00331214,0.00526565,0.00574769,0.00785826,0.00834044,0.0117382,0.0290623,0.0067965,0.0121965,0.0173483,0.0105497,0.00651745,0.0158245,0.0257887,0.0212767,0.0459081,0.00781771,0.0086636,0.00887777,0.0148324,0.0171092,0.0131497,0.00772009,0.00411998,0.00715367,0.00529399,0.0180873,0.00795626,0.0236393,0.0314958,0.0114678,0.0149931,0.0184084,0.00500534,0.0108532,0.013001,0.0185781,0.0347115,0.0102311,0.00959382,0.00809872
2,0.0183619,0.0185051,0.0177775,0.00725961,0.00459631,0.00535997,0.00555147,0.00788226,0.00808647,0.0116746,0.0282499,0.00705077,0.0116,0.0196606,0.0133794,0.00550342,0.0154423,0.0262667,0.0231551,0.0459388,0.00759048,0.00856217,0.00845707,0.0151597,0.0169621,0.00865724,0.00717826,0.00383597,0.0078623,0.00560798,0.0128903,0.00748404,0.0218306,0.0234889,0.0137884,0.0137595,0.017291,0.00261552,0.00582734,0.00919291,0.0153674,0.0273629,0.0106353,0.0104628,0.00884898
3,0.0183663,0.0186636,0.0178068,0.0068252,0.0062487,0.00573894,0.00518308,0.00735585,0.00771385,0.0115235,0.0276192,0.00686655,0.0109034,0.0203026,0.0156049,0.00449559,0.0151032,0.0256274,0.0240156,0.0461831,0.00718632,0.00827816,0.00790145,0.0154689,0.0167214,0.00964302,0.00663493,0.00353811,0.0083587,0.00554727,0.0098984,0.00732932,0.023386,0.0166046,0.0143982,0.0132533,0.0159366,0.00565007,0.0033015,0.00419253,0.014165,0.0208058,0.0108418,0.0108357,0.00913679
4,0.0187638,0.0188573,0.0175092,0.00585438,0.00726853,0.00647268,0.00455256,0.0068279,0.00697271,0.0109365,0.0268206,0.00624458,0.0103199,0.0197753,0.0171201,0.00330049,0.0151599,0.0242439,0.0243641,0.0462981,0.00610453,0.00737735,0.00680321,0.0156172,0.0168009,0.0120347,0.00617261,0.00286872,0.00850955,0.00535288,0.0086694,0.00740186,0.0253324,0.0139941,0.0128338,0.0128025,0.0140066,0.00868727,0.0036798,0.00393482,0.0144212,0.0147643,0.0106425,0.0105438,0.00878079
5,0.0195459,0.0192484,0.0169264,0.00477539,0.00791009,0.00756758,0.00400456,0.00632238,0.00603962,0.00968136,0.0257311,0.00575339,0.00993753,0.0189884,0.0181583,0.00263143,0.0158016,0.0227122,0.0248205,0.0461284,0.00402314,0.00556725,0.00488758,0.015615,0.0173591,0.0136717,0.00606299,0.00178304,0.00813411,0.00570128,0.00800164,0.00775807,0.0258159,0.0151893,0.0100048,0.0119239,0.0111432,0.00986774,0.00507747,0.00761605,0.014484,0.00979099,0.0100469,0.00957209,0.00775823
6,0.0202504,0.0198429,0.0161177,0.00526665,0.00831557,0.00890122,0.00435108,0.00566114,0.00578175,0.00789844,0.0243668,0.00637362,0.00986275,0.0187204,0.0190667,0.00315635,0.0166832,0.0216089,0.0255307,0.0455043,0.00144445,0.00295877,0.00248474,0.0156736,0.0181045,0.0152025,0.00680763,0.0018547,0.00721851,0.00716586,0.0067169,0.00811103,0.0252275,0.0159836,0.00762119,0.0111973,0.00751294,0.00904088,0.00643963,0.00887231,0.0132054,0.00604323,0.00957497,0.00831122,0.00653544
7,0.0203567,0.0204426,0.0150139,0.00750776,0.008565,0.0102565,0.00541552,0.00490036,0.00670626,0.00618108,0.0227848,0.00799146,0.0103418,0.0190055,0.0200623,0.00411389,0.0170886,0.0210034,0.0259575,0.0443027,0.00280928,0.00120734,0.00239391,0.0160604,0.0185869,0.0176664,0.00868181,0.0037429,0.00625342,0.00933434,0.00492622,0.00817622,0.0251999,0.015287,0.0067023,0.0112977,0.00422619,0.00749286,0.00719633,0.00860723,0.0113038,0.00369047,0.00996907,0.00754216,0.00624259
8,0.0198864,0.0207769,0.0135106,0.00934166,0.00882005,0.0114198,0.00622638,0.00442407,0.00802682,0.00529206,0.021082,0.00972519,0.0109038,0.019235,0.0211606,0.00485832,0.0166291,0.0204176,0.0254944,0.0425829,0.00549029,0.00344066,0.00464982,0.016888,0.0186455,0.0209248,0.0111817,0.00570414,0.00616889,0.0114623,0.00503636,0.00845191,0.0264636,0.0141583,0.00683093,0.0119675,0.00274896,0.00718079,0.00722258,0.00905417,0.0103503,0.00443501,0.0110122,0.0077151,0.00736031
