Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSH,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RLMAL,RMEL,RMMAL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0251938,0.0217781,0.0157281,0.0148678,0.0249073,0.00825325,0.0066729,0.00726957,0.00831817,0.00897262,0.0368225,0.013879,0.0130523,0.019466,0.0156618,0.0110294,0.0172187,0.0242347,0.0235235,0.0421131,0.0101927,0.00855226,0.00806906,0.0196135,0.0119598,0.029927,0.00788285,0.00668545,0.00743635,0.0104802,0.0237028,0.008598,0.0350793,0.0482656,0.0119619,0.0247452,0.0178044,0.0141932,0.0178783,0.0270419,0.0302239,0.057676,0.00800074,0.00597221,0.00608156
0,0.0226236,0.0147388,0.0190706,0.0103102,0.0143311,0.00799693,0.00881643,0.00930794,0.00964505,0.0158244,0.0296534,0.0150649,0.0152641,0.0254694,0.0107949,0.00411933,0.0147661,0.0258819,0.0270703,0.0475569,0.0116806,0.0120762,0.0128113,0.0322762,0.0167428,0.0391379,0.007772,0.00810877,0.00698792,0.0160728,0.0416196,0.013819,0.0424689,0.0683241,0.00917211,0.00543287,0.0127413,0.0257526,0.0197173,0.00884421,0.0173857,0.0762638,0.0142161,0.0106057,0.00874283
1,0.0222383,0.0161226,0.0204271,0.00984508,0.00953382,0.00718242,0.00798526,0.00798733,0.00899608,0.0165106,0.0306757,0.0154708,0.0151508,0.0293783,0.0146847,0.00477855,0.0154066,0.0263663,0.0304164,0.0484941,0.0125782,0.0133642,0.0127502,0.0307127,0.01823,0.0234578,0.00620767,0.007257,0.0082734,0.0149106,0.030928,0.013522,0.0264811,0.0530462,0.00950855,0.00428765,0.00946121,0.01451,0.0115048,0.00401201,0.0137463,0.0582631,0.0124397,0.0103871,0.00761994
2,0.0219543,0.0173033,0.0217035,0.00975035,0.00888909,0.00712312,0.00742136,0.0075369,0.00824817,0.0167991,0.0330161,0.0152166,0.0150229,0.0306486,0.0175026,0.00631489,0.015827,0.0258126,0.0323157,0.051347,0.012945,0.014409,0.0123966,0.0289142,0.0192925,0.0123299,0.00614369,0.00699463,0.00933383,0.0140029,0.0240143,0.0129955,0.0176628,0.0392525,0.00970869,0.0109139,0.0122259,0.00704453,0.00582912,0.00227676,0.0165673,0.0453012,0.0102528,0.0099363,0.00642701
3,0.0218518,0.0183427,0.0226518,0.00964221,0.0103601,0.00770721,0.00700251,0.00774794,0.00709978,0.0165077,0.0355352,0.0143178,0.0148778,0.0297869,0.0195339,0.00756552,0.0159123,0.024467,0.0328887,0.0550201,0.0125278,0.0148351,0.011542,0.0269236,0.0201215,0.0107011,0.0068138,0.00725201,0.00981966,0.0134422,0.0197404,0.0121637,0.018902,0.0263712,0.00959049,0.016056,0.0156147,0.00792994,0.00332179,0.00729524,0.0198513,0.0354255,0.0075631,0.0090058,0.00498677
4,0.0219688,0.0193743,0.0230686,0.00903936,0.0114129,0.00866364,0.00667006,0.00822266,0.00549364,0.0154465,0.0375794,0.0129664,0.0147322,0.027765,0.0207076,0.00880944,0.0160924,0.0228642,0.032442,0.0584225,0.0112465,0.0141739,0.0100946,0.0248871,0.0208286,0.0170154,0.0074205,0.00781028,0.00961668,0.0132782,0.0165537,0.0111437,0.0251372,0.0172156,0.00908122,0.0197281,0.0171452,0.0127108,0.00337046,0.0134773,0.0211978,0.02653,0.00453213,0.00755678,0.00318205
5,0.0222834,0.0205341,0.0229407,0.00765122,0.0112166,0.00988871,0.00645682,0.00858094,0.00383539,0.0136,0.0386727,0.0115424,0.0144278,0.0257043,0.0208081,0.00988216,0.0166429,0.0215819,0.0310958,0.060523,0.00944548,0.0122292,0.0082577,0.023117,0.0211262,0.0224265,0.0075594,0.00839347,0.00859301,0.0134884,0.0143718,0.0101742,0.0294947,0.0144411,0.00838225,0.0221972,0.0170927,0.0162241,0.00458107,0.0178702,0.0207357,0.0189708,0.00403915,0.00613575,0.00157002
6,0.0226095,0.0218086,0.0223524,0.00594284,0.0103799,0.0113335,0.0064052,0.00866315,0.00323907,0.0113166,0.0385089,0.0103877,0.0137932,0.0242845,0.0199816,0.0104629,0.0172711,0.0208198,0.0287814,0.0606485,0.00790539,0.00959252,0.00682684,0.0218953,0.0205632,0.0247065,0.00731594,0.00879665,0.00676649,0.0140038,0.0130543,0.00952994,0.0295279,0.0136754,0.00797087,0.0232808,0.0162903,0.0170374,0.00608521,0.0191169,0.0195824,0.0144866,0.00788402,0.00560772,0.00284516
7,0.0226503,0.0229246,0.0213476,0.00558123,0.0101454,0.0127397,0.00635464,0.0085632,0.00409892,0.00921824,0.0371808,0.00951479,0.0129065,0.0234254,0.0187463,0.0104895,0.0174321,0.020164,0.025606,0.0587432,0.00712919,0.00776174,0.00663194,0.02117,0.019312,0.025488,0.00721983,0.00888948,0.00469154,0.0146581,0.0123463,0.00951713,0.0269751,0.0122073,0.00811606,0.0228403,0.0147979,0.0155223,0.00728589,0.0182267,0.0188498,0.0137777,0.0117072,0.00588363,0.00521325
8,0.022336,0.0234748,0.020017,0.00692184,0.011225,0.0137738,0.00607695,0.00843084,0.00531871,0.00770363,0.0352718,0.00876922,0.0119729,0.0226278,0.0175776,0.010214,0.0167767,0.0189705,0.0221351,0.0554277,0.00667368,0.00743753,0.00696416,0.0206059,0.0182422,0.0270222,0.00760444,0.00864173,0.00363267,0.0151508,0.0128004,0.0099483,0.025244,0.0113366,0.00846301,0.0214381,0.0127468,0.0134358,0.00793408,0.0172029,0.0185445,0.0150759,0.0135551,0.0062127,0.00700853
