Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSH,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RLMAL,RMEL,RMMAL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0254839,0.0189349,0.0183909,0.0138178,0.00950496,0.00699907,0.00628822,0.0072676,0.00825548,0.00898004,0.0172891,0.0146924,0.00814766,0.0142651,0.013065,0.00845422,0.00969991,0.0139547,0.0164334,0.0142988,0.0112125,0.00781456,0.00794775,0.0243523,0.00945247,0.0113318,0.00742637,0.00773057,0.00930587,0.00903002,0.0139644,0.0118719,0.0187421,0.0203093,0.0100788,0.0184494,0.0152607,0.00698782,0.0133386,0.0190259,0.0220142,0.0222717,0.00998234,0.00830092,0.00825838
0,0.0380902,0.0232106,0.0128181,0.0122392,0.0138691,0.0112278,0.00749136,0.00521044,0.00654392,0.0108316,0.0103598,0.0198661,0.0048188,0.0157286,0.0129802,0.0128903,0.0113941,0.00288108,0.0123709,0.0322462,0.00937226,0.00697834,0.00750012,0.0321476,0.0124439,0.00900786,0.00495984,0.00628839,0.00609569,0.00835911,0.0168048,0.00972565,0.0205681,0.0147919,0.0125061,0.0337898,0.0275721,0.00982914,0.0187746,0.0319608,0.0301319,0.0144743,0.0123534,0.0106877,0.0100107
1,0.0370895,0.0227528,0.0135514,0.0119345,0.0105656,0.0114825,0.00708105,0.00455413,0.00716238,0.0106353,0.00860657,0.0189294,0.00470511,0.0128548,0.0100865,0.0112116,0.0106247,0.00161897,0.00954703,0.0271593,0.00945125,0.00686282,0.00763175,0.0315844,0.0122896,0.00667777,0.00650618,0.00510215,0.00479533,0.00895147,0.0164309,0.00917296,0.0177944,0.0162608,0.0122998,0.0315978,0.0263603,0.00985773,0.0171947,0.0316847,0.0282441,0.0148532,0.0111467,0.0101294,0.00931667
2,0.0360686,0.0223815,0.0141808,0.0119346,0.00810123,0.0115874,0.00684148,0.00436938,0.00775513,0.0108376,0.00796137,0.0179586,0.00455987,0.0108553,0.00777372,0.0102032,0.00990284,0.00398693,0.0075861,0.024697,0.00966613,0.00713323,0.00792,0.0307928,0.0118442,0.00603979,0.00717268,0.00451489,0.00424472,0.00927607,0.0160869,0.00923809,0.016077,0.0166227,0.0119812,0.0288741,0.0249063,0.0100786,0.0149721,0.0292795,0.0263654,0.0150529,0.00996727,0.0095231,0.00877101
3,0.0350412,0.0221613,0.0146799,0.0120879,0.0067384,0.0111818,0.00658978,0.00409599,0.00806547,0.0111701,0.00777214,0.0169155,0.0044369,0.00960421,0.00598994,0.00947925,0.00944668,0.00616577,0.00704917,0.0246938,0.00983333,0.00757128,0.00820849,0.0298299,0.0115074,0.00533425,0.00704589,0.00432895,0.00416297,0.00927505,0.015567,0.00971546,0.0152926,0.0150241,0.0117401,0.0261269,0.0235487,0.0104533,0.0133667,0.0251851,0.024895,0.0137605,0.00883404,0.00891899,0.00828151
4,0.0339974,0.0222088,0.0150391,0.0121908,0.00616199,0.0101937,0.00621147,0.00357122,0.00788831,0.0112789,0.00766547,0.01578,0.00428827,0.00873599,0.00455935,0.00866659,0.00970115,0.00801306,0.00804358,0.0251516,0.00966382,0.00786143,0.00824997,0.0287898,0.0118796,0.00439558,0.00647315,0.00437365,0.00432762,0.00905014,0.0146511,0.0104294,0.0153196,0.0121187,0.0118546,0.0233304,0.0221243,0.0104187,0.0130323,0.0209103,0.0238371,0.0108785,0.00767489,0.00829666,0.00772358
5,0.0329189,0.0225584,0.0152848,0.0121223,0.0061142,0.00884464,0.0056197,0.00305458,0.00709808,0.010941,0.00762657,0.0146378,0.00397403,0.00801072,0.00341094,0.00771495,0.0109614,0.0098294,0.00993307,0.0244383,0.00892354,0.00772621,0.00780336,0.0277625,0.0130643,0.00361468,0.00588358,0.00452121,0.00457559,0.00875312,0.013172,0.0113451,0.0157069,0.00925817,0.0125044,0.0197802,0.0200047,0.0093798,0.0132677,0.0176734,0.0223554,0.00702982,0.00631503,0.007463,0.00689652
6,0.0318171,0.0229869,0.0155088,0.0119396,0.00683629,0.00763779,0.00476668,0.00305825,0.00573347,0.0101856,0.00780365,0.0137295,0.0034977,0.00754585,0.00287349,0.00678308,0.0129272,0.011777,0.0121309,0.0225716,0.00765392,0.007138,0.00680622,0.0268488,0.0144227,0.00383076,0.00563129,0.00474387,0.00469813,0.00861411,0.0114376,0.0124719,0.0161853,0.008961,0.0136476,0.0152704,0.017205,0.00756295,0.0131041,0.0149222,0.0196784,0.00392779,0.00483842,0.00623148,0.00563054
7,0.0307674,0.0230792,0.0157538,0.0117959,0.00781725,0.00713607,0.0036806,0.00352655,0.00412548,0.00922485,0.00830771,0.0132743,0.00324298,0.00761396,0.00335493,0.0059742,0.0147292,0.0136033,0.0142246,0.02032,0.00635389,0.00645087,0.00555439,0.0261114,0.015212,0.00506083,0.00591036,0.00511546,0.00443023,0.00890913,0.010039,0.0136715,0.0166148,0.0105287,0.0149758,0.0109134,0.0144522,0.005874,0.0122214,0.0120753,0.0163638,0.00358363,0.00429461,0.00468652,0.00385216
8,0.0298629,0.0225776,0.0159135,0.0117124,0.00825977,0.00739824,0.00255312,0.00376803,0.0030737,0.00830565,0.00906406,0.0132134,0.00367148,0.00823284,0.00470681,0.00530492,0.015524,0.0148367,0.0159137,0.018284,0.00571304,0.00612869,0.00469736,0.0256019,0.0154878,0.00634337,0.00674482,0.00568109,0.00352586,0.00972563,0.00938263,0.014604,0.0167308,0.0112921,0.0159889,0.00843678,0.0120812,0.00514481,0.0111584,0.00996926,0.013825,0.00463924,0.0058439,0.00335203,0.00166191
9,0.0290927,0.0216531,0.0158303,0.0115103,0.00795716,0.0079493,0.00187847,0.00329816,0.00339663,0.0075906,0.00984592,0.0132511,0.00449393,0.0090356,0.00653096,0.00481712,0.0151532,0.0152367,0.0171311,0.0167531,0.00571214,0.00609843,0.00461736,0.0253702,0.0157133,0.00723778,0.00810628,0.0063045,0.00188642,0.0108152,0.00958369,0.0149682,0.0163519,0.0109686,0.0162117,0.00812923,0.0101807,0.00564168,0.0107428,0.00957071,0.0129208,0.00588289,0.00828125,0.00321924,0.00154961
10,0.0283065,0.0207057,0.0154706,0.0110536,0.0071008,0.00846001,0.00199228,0.0021205,0.00443441,0.00704246,0.010424,0.013176,0.00525684,0.00965138,0.00846789,0.00457225,0.0142587,0.0150057,0.0179901,0.0157463,0.00569774,0.00577924,0.00479684,0.0253671,0.0157994,0.00783397,0.00996354,0.00674793,0.000385801,0.0118403,0.0104072,0.014829,0.0155581,0.0104011,0.0154432,0.00864576,0.00940528,0.00694179,0.0113607,0.0110658,0.0142219,0.00714892,0.0102348,0.00438168,0.00402227
11,0.0273766,0.0199539,0.0149584,0.010468,0.00593059,0.00907324,0.00236873,0.00133859,0.00556738,0.0064951,0.0106669,0.0130411,0.00598417,0.00999067,0.0102026,0.0045288,0.0136395,0.0145766,0.0185508,0.0151347,0.00548163,0.00485549,0.0047025,0.0254444,0.0154999,0.00823208,0.0121278,0.00697555,0.00265406,0.0126564,0.011389,0.0146157,0.0145554,0.0100224,0.0138764,0.00885977,0.00971407,0.00823436,0.0126735,0.013642,0.0171704,0.00809487,0.0110855,0.00598368,0.00618419
12,0.0263615,0.0193298,0.0144527,0.010024,0.00467081,0.0101058,0.002818,0.00269308,0.00686665,0.00594019,0.0105599,0.0130371,0.00680423,0.0102031,0.011517,0.00457313,0.0134597,0.0142593,0.0187736,0.0147908,0.00549077,0.00369604,0.00450898,0.0254768,0.0150392,0.00833434,0.014115,0.0071825,0.0044465,0.0132431,0.0122089,0.0146247,0.0135196,0.00980083,0.0120246,0.00860509,0.0100282,0.00895712,0.0139109,0.015662,0.0195401,0.0086564,0.0108644,0.00754832,0.00766856
13,0.0254647,0.0186588,0.0140086,0.00982718,0.00353546,0.011344,0.00349181,0.00415136,0.00824369,0.00551867,0.0101909,0.0133,0.0075134,0.0104803,0.0123448,0.00466293,0.0133419,0.0140906,0.018637,0.0146028,0.00614304,0.00328216,0.00479423,0.0254329,0.0146875,0.00801465,0.0152843,0.00732762,0.00524508,0.0134789,0.0128033,0.0146533,0.0125342,0.00974798,0.010475,0.00841886,0.00988608,0.00906873,0.0144884,0.0160691,0.0198819,0.00906569,0.0100477,0.00868295,0.00834578
14,0.0248655,0.0179335,0.0135671,0.00976686,0.00270471,0.0119459,0.00418972,0.00470224,0.00922748,0.00531289,0.00972892,0.0137566,0.0077933,0.0109047,0.0127784,0.00487176,0.0130361,0.0139508,0.018174,0.0144518,0.00725189,0.00387902,0.00554207,0.0253099,0.0143885,0.00730297,0.0151883,0.00698683,0.00493994,0.0131678,0.0132318,0.0143658,0.0116133,0.00995043,0.0096302,0.00824341,0.00951999,0.00884799,0.0143145,0.0150813,0.0185694,0.00949875,0.00910887,0.0089922,0.00814524
15,0.0245925,0.0173511,0.0130632,0.0097815,0.00234375,0.0112134,0.00448931,0.00402593,0.00944377,0.00535382,0.00934463,0.014162,0.00756896,0.0114063,0.0129795,0.00529331,0.0125578,0.0137072,0.0174116,0.0142231,0.00824522,0.00443738,0.00613102,0.0250662,0.0140431,0.00633066,0.0138392,0.00584288,0.00376792,0.0122654,0.0135942,0.0137005,0.0107385,0.0104056,0.00960684,0.00753743,0.00914928,0.00851788,0.0135874,0.0136618,0.016915,0.00994876,0.00820396,0.00834366,0.00716601
16,0.0245565,0.0170997,0.0125407,0.0099869,0.00253293,0.00928475,0.00413686,0.0024529,0.00893695,0.00566268,0.00913028,0.0142126,0.00700973,0.0118633,0.0130664,0.00592555,0.0119867,0.013331,0.016392,0.0138377,0.00861297,0.00427656,0.00623495,0.0246481,0.0136173,0.00527176,0.0117271,0.00402446,0.0021247,0.0109518,0.0140106,0.0128127,0.00992841,0.0110684,0.0103118,0.00628676,0.00884122,0.00815091,0.0125768,0.0126374,0.0158994,0.0103608,0.00735729,0.00705106,0.00575024
17,0.0246746,0.0171819,0.0121847,0.0105049,0.00318802,0.00711981,0.00320032,0.00201088,0.00803947,0.00620445,0.00905792,0.0136587,0.00632311,0.0121993,0.0130585,0.00668094,0.0113412,0.0128887,0.0151718,0.0132936,0.00811743,0.00359929,0.00605502,0.0240558,0.0130457,0.00452034,0.00953657,0.00203497,0.000565549,0.00949131,0.0145636,0.0118434,0.00930001,0.0119125,0.0113635,0.00488682,0.00860434,0.00778525,0.0115661,0.0122165,0.0156325,0.0106868,0.00653549,0.00579072,0.00420699
18,0.0249326,0.0174731,0.0122325,0.0112722,0.0040986,0.00581852,0.00219911,0.00375231,0.00711223,0.00681845,0.0090622,0.0124571,0.00560775,0.0123988,0.012911,0.00746069,0.0106272,0.0124617,0.0138169,0.0126407,0.00685112,0.00362349,0.00602838,0.0233946,0.0124093,0.00469298,0.00780163,0.0012353,0.00146695,0.0081314,0.0152488,0.010895,0.00906756,0.0128757,0.0120573,0.0038915,0.00842123,0.00747547,0.0107594,0.0120861,0.0157126,0.0109196,0.00567683,0.00530411,0.0027059
19,0.0253474,0.0178891,0.0128559,0.0120238,0.00510069,0.00556069,0.00187359,0.00530784,0.00636374,0.00738148,0.00911235,0.0108911,0.00489233,0.0124532,0.0125891,0.00820297,0.00992128,0.0120556,0.0124079,0.0119088,0.00520574,0.00482162,0.00627295,0.0227793,0.0119024,0.00551342,0.00669809,0.00238197,0.00269218,0.00703581,0.0159846,0.0101047,0.00938507,0.0138548,0.0119489,0.00393691,0.00823952,0.00719566,0.0101908,0.0118114,0.0157532,0.011138,0.00494638,0.00566514,0.0019312
20,0.0258996,0.0184255,0.0139821,0.0125045,0.00617495,0.005715,0.00194819,0.00614935,0.00580509,0.00787412,0.00922049,0.00957705,0.00426051,0.0123345,0.0121083,0.00888644,0.00936579,0.011622,0.0110454,0.0111229,0.00387708,0.00597416,0.00639824,0.0222444,0.0115901,0.00606899,0.00611956,0.00350925,0.00348928,0.00624368,0.0166931,0.00960706,0.0101265,0.0147649,0.0113992,0.00478529,0.00800973,0.00681907,0.00981743,0.0112306,0.0156107,0.0114835,0.00468544,0.0062323,0.00268011
21,0.0265352,0.0190788,0.0152844,0.0126909,0.00738572,0.00587879,0.00172927,0.00641663,0.00535274,0.008251,0.00938582,0.00916959,0.00385817,0.012008,0.0115119,0.00949196,0.00900801,0.0111323,0.00978615,0.0103714,0.00363626,0.00622199,0.00596824,0.02175,0.0113799,0.00613757,0.00591369,0.00431751,0.00387317,0.00568488,0.0173774,0.00936862,0.0109528,0.0156181,0.0110504,0.00572766,0.00778796,0.00627597,0.00971068,0.0105207,0.0153594,0.0120455,0.00495731,0.0064328,0.00369533
22,0.0271879,0.0197663,0.0164422,0.0127604,0.0087798,0.00598562,0.00125173,0.00635707,0.00495045,0.0084202,0.00960232,0.0097607,0.00376537,0.0114621,0.0108606,0.0099977,0.00872462,0.0106031,0.00860691,0.00978093,0.00432409,0.00539305,0.00490622,0.021268,0.0111517,0.00620655,0.0059746,0.00488616,0.00399325,0.00527517,0.0180873,0.00919077,0.011657,0.0165137,0.0110538,0.00668308,0.00779478,0.00567732,0.0100143,0.0099893,0.0152015,0.012774,0.00553285,0.00603053,0.00429753
23,0.0277968,0.0203576,0.0173068,0.0128925,0.0103232,0.00605952,0.000927706,0.00615464,0.00460431,0.00834102,0.00997484,0.010883,0.00386665,0.0106728,0.0102093,0.0103818,0.00836688,0.0100883,0.00753214,0.00941711,0.00528419,0.00385435,0.00356066,0.0208314,0.010847,0.00673027,0.00619294,0.00537125,0.00402992,0.00499595,0.018862,0.00886977,0.0122877,0.0175444,0.0113068,0.00788626,0.00830034,0.00526787,0.0106409,0.00983625,0.0153629,0.013613,0.00622315,0.00513977,0.00451668
24,0.0283336,0.0207721,0.0178747,0.01312,0.0119366,0.00611231,0.000948126,0.00595175,0.00431883,0.0080703,0.0106901,0.0121224,0.00394673,0.00953378,0.00956435,0.0106293,0.00787027,0.00963422,0.00671505,0.00929154,0.00623801,0.00233567,0.00257343,0.0204917,0.0104603,0.00769999,0.00645079,0.00594027,0.00408015,0.00489073,0.0197,0.00830321,0.0129729,0.0187674,0.0116748,0.00941172,0.0093154,0.00519526,0.0112129,0.0100768,0.0160021,0.0146592,0.00696333,0.00424589,0.00461616
25,0.0288104,0.0210171,0.0181955,0.0133501,0.0135131,0.0061161,0.00106042,0.00586663,0.00407931,0.00774119,0.0118747,0.0133401,0.00389094,0.00784914,0.00881471,0.0106707,0.00728453,0.00925496,0.00616818,0.00938306,0.0070591,0.00157255,0.00245876,0.0202767,0.009998,0.00900396,0.00665872,0.00666661,0.0041486,0.00501117,0.0205753,0.00752975,0.0136697,0.0202367,0.0119342,0.0111865,0.0105582,0.00536142,0.0113851,0.0105838,0.0171076,0.0160723,0.00775799,0.00402013,0.00491632
26,0.0292594,0.0211419,0.0183223,0.013482,0.0149161,0.00602394,0.00111766,0.00596248,0.00388544,0.00751954,0.0134649,0.0145742,0.00374637,0.00549624,0.00776092,0.0103636,0.00674391,0.00891093,0.00552734,0.00964363,0.00764011,0.00148472,0.0028508,0.0201755,0.00946418,0.0106099,0.00676258,0.00749955,0.00426131,0.00536562,0.0214617,0.00674264,0.0141404,0.02189,0.0119643,0.0131446,0.0117339,0.00557228,0.0111972,0.0112143,0.018484,0.0178233,0.00862729,0.00463352,0.00561006
27,0.0296914,0.0211729,0.0183163,0.0135009,0.0159887,0.00580966,0.00112706,0.00624309,0.00375996,0.00751981,0.0152916,0.0159204,0.00364108,0.00282706,0.0062823,0.00959991,0.00637019,0.00851475,0.00456879,0.0100088,0.00795246,0.00146588,0.00325148,0.0201586,0.00887575,0.012398,0.00675572,0.00837051,0.00451279,0.00591936,0.0223052,0.00620432,0.0141681,0.0234867,0.0118095,0.0152088,0.0127183,0.00572622,0.0110414,0.0118867,0.0198561,0.0196556,0.00958637,0.00565664,0.00663006
28,0.030072,0.0211053,0.0182597,0.0134922,0.0165919,0.00548949,0.00114625,0.00665976,0.00372119,0.00773063,0.0172408,0.0174374,0.00368611,0.00253482,0.00452995,0.00841884,0.00616502,0.00803952,0.00395813,0.0104064,0.00808305,0.00149086,0.00358133,0.0202191,0.0082774,0.0140563,0.00667201,0.00924198,0.00495512,0.00660803,0.022977,0.0060572,0.0137752,0.0247182,0.0115649,0.0171812,0.0135111,0.00579507,0.0112223,0.0125371,0.0209627,0.021246,0.0106263,0.00672454,0.00774867
