Subject,Marker Max Error (m)
subject01,0.0658209209595408
subject02,0.08208518289072311
subject03,0.08353535758314375
subject04,0.07888818499442968
subject08,0.07058287086677559
subject10,0.08630259115746323
subject11,0.07055472777140001
subject17,0.06711615118023356
subject19,0.06767638171235309
subject20,0.07559431911942259
