Subject,Marker RMSE (m)
subject01,0.0368814630977621
subject02,0.0443198664150436
subject03,0.04477954514186161
subject04,0.04614636339095157
subject08,0.04059594892302697
subject10,0.04976475890534829
subject11,0.04393348871388901
subject17,0.04134761396701711
subject19,0.035200678594411776
subject20,0.04516617045419327
