Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0215096,0.0406738,0.0151224,0.0121471,0.0151577,0.0167403,0.00635335,0.0103861,0.0108892,0.0119993,0.026845,0.0107454,0.0142434,0.0318239,0.0124127,0.0135959,0.0160781,0.013749,0.0135406,0.0108562,0.0130965,0.00742085,0.0196091,0.0139825,0.0111527,0.00874365,0.00759566,0.00545139,0.00973475,0.0130296,0.0218849,0.0106667,0.00955285,0.0109741,0.00957528,0.00993592,0.0132069,0.0122068,0.0157964,0.0121591,0.0149375,0.0105774
0,0.0297448,0.0412164,0.0129476,0.0156281,0.00504668,0.013673,0.00871695,0.0119349,0.016469,0.0112622,0.0256098,0.00846406,0.00492858,0.0621361,0.0106099,0.00834408,0.010806,0.00553979,0.013066,0.0135011,0.0125666,0.00662879,0.0279401,0.0121266,0.00987216,0.00371497,0.00465488,0.00371738,0.0112791,0.0141063,0.0344115,0.00500431,0.0151788,0.012296,0.0106208,0.0168795,0.017858,0.0152913,0.0127016,0.00382797,0.0172349,0.000685511
1,0.0283233,0.0405075,0.0118599,0.0124868,0.00535932,0.0139637,0.00875293,0.0110228,0.0150958,0.0103062,0.0249773,0.0089893,0.00918382,0.0695954,0.00810803,0.010508,0.0157579,0.0113238,0.00422037,0.0130294,0.0122538,0.00572825,0.0278623,0.0131915,0.0153709,0.00399088,0.00330896,0.00248289,0.0105237,0.0127251,0.0305864,0.00535201,0.0118755,0.0114899,0.00939512,0.0138445,0.0147006,0.0119571,0.0125107,0.00356142,0.0160495,0.00122608
2,0.0270182,0.0396414,0.0114524,0.0100958,0.00959191,0.0137648,0.00840369,0.0102614,0.0137892,0.00990012,0.0257658,0.00980928,0.0143147,0.0750923,0.0101934,0.0117008,0.0188918,0.0157705,0.000894622,0.0123826,0.0121182,0.00546504,0.0274563,0.0138462,0.0181155,0.00397265,0.00264551,0.00205881,0.010258,0.0116924,0.0272118,0.00503524,0.0118663,0.0133625,0.0108232,0.0122643,0.0132039,0.0109949,0.0143814,0.00419842,0.0143934,0.00155811
3,0.0258801,0.0387378,0.0116158,0.00835053,0.0129062,0.0129641,0.00773469,0.0093806,0.0125751,0.0101125,0.0253627,0.0107159,0.017093,0.0779467,0.0121018,0.0119579,0.0196469,0.01862,0.00305321,0.0114556,0.0119731,0.00564374,0.0267318,0.0144988,0.0174036,0.00332295,0.00266998,0.00252149,0.0103353,0.0110245,0.0249477,0.00427023,0.0152467,0.0164325,0.0140335,0.0119355,0.0141126,0.0141475,0.010174,0.00498475,0.0122966,0.00139136
4,0.0249188,0.0380447,0.0121656,0.00721939,0.0158683,0.0117405,0.00692285,0.00817889,0.0115566,0.0108441,0.024137,0.0114565,0.0181478,0.0779694,0.0129758,0.0115991,0.0184254,0.0199562,0.0062657,0.010153,0.0114692,0.00578853,0.0256185,0.0158177,0.0146272,0.00210684,0.0034079,0.00350652,0.0107193,0.0108811,0.0245239,0.00339376,0.0171777,0.017205,0.0153404,0.0104972,0.0160841,0.0187173,0.0030369,0.00547621,0.00992538,0.00149017
5,0.023983,0.0377931,0.012857,0.0067103,0.0189069,0.0105425,0.0061485,0.00668671,0.0108731,0.0118362,0.0233564,0.0115514,0.0181248,0.0753354,0.0132867,0.0110817,0.0162949,0.0199378,0.0106689,0.00837432,0.0101187,0.00530669,0.0239297,0.0178754,0.0126757,0.000727344,0.00469464,0.00449253,0.0114664,0.0114771,0.0238974,0.00299315,0.0147293,0.0138517,0.0136978,0.00711942,0.0171765,0.0204402,0.00873559,0.00550626,0.00758143,0.00227041
6,0.0228647,0.038012,0.0134869,0.00677016,0.021736,0.00979741,0.00541705,0.00523272,0.010595,0.012883,0.0236879,0.0107972,0.0171063,0.0703956,0.0136062,0.0106076,0.0144561,0.0187556,0.0152209,0.00658946,0.00773394,0.0040169,0.0216685,0.019894,0.0114242,0.00109589,0.00619714,0.00506765,0.0125118,0.0127596,0.0225837,0.00440131,0.0093533,0.0085462,0.0122046,0.00400015,0.0152754,0.0171103,0.0117329,0.00535853,0.0057931,0.00340078
7,0.0213858,0.0384455,0.0140221,0.00739027,0.0237429,0.00971671,0.00450488,0.00446339,0.0107293,0.0138918,0.0246378,0.00976711,0.0151236,0.0634984,0.0140044,0.00994406,0.0134306,0.0166206,0.0188388,0.00598306,0.00513556,0.00255881,0.0192367,0.0205744,0.00880691,0.00233424,0.00745797,0.00527751,0.0135195,0.0143622,0.0221264,0.00774745,0.00595072,0.00705186,0.0120016,0.00295032,0.00965762,0.0101195,0.00895468,0.00591623,0.00508284,0.0046583
8,0.0197131,0.0387113,0.0143667,0.00856917,0.0246349,0.0100056,0.00324863,0.00490382,0.0111244,0.0147368,0.0252195,0.00942127,0.0131686,0.0551046,0.0140978,0.00889074,0.0126992,0.0137113,0.0207759,0.00643573,0.00432021,0.00197343,0.0172717,0.0189726,0.00553859,0.00330325,0.00791919,0.00547012,0.0140615,0.0158736,0.0222355,0.0103614,0.00527218,0.00826428,0.0101326,0.00269004,0.00396156,0.00403732,0.00416488,0.00734857,0.00515758,0.00564748
