Timestep,C7,CLAV,LACR,LAJC,LASH,LASI,LCAL,LEJC,LFAradius,LFAsuperior,LFAulna,LHJC,LKJC,LLEL,LLFC,LLMAL,LMEL,LMFC,LMMAL,LMT5,LPSH,LPSI,LSJC,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RAJC,RASH,RASI,RCAL,REJC,RFAradius,RFAsuperior,RFAulna,RHJC,RKJC,RLEL,RLFC,RLMAL,RMEL,RMFC,RMMAL,RMT5,RPSH,RPSI,RSJC,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
142,0.00986955,0.00681729,0.00471107,0.000493921,0.0101768,0.012472,0.00611178,0.000563007,0.00843819,0.000476401,0.00884851,0.0011026,0.00078335,0.00204078,0.00339666,0.00441641,0.00304756,0.00622557,0.0028098,0.00334582,0.00918254,0.0112745,0.000267449,0.000526478,0.000657417,0.00045579,0.000859187,0.000712625,0.000746031,0.00269871,0.000119913,0.000293624,0.000477636,0.00482613,0.00140907,0.00982018,0.0110073,0.00586495,0.000374531,0.0088058,0.000507185,0.0084032,0.00239571,0.00232274,0.00224202,0.00695226,0.00442446,0.00290964,0.00712888,0.00313698,0.0035968,0.00876066,0.0107874,0.00112148,0.00137433,0.000846157,0.000827661,0.00230866,0.00187261,0.00222138,0.00237429,0.000907947,0.000450387,0.000675898
143,0.00983667,0.0068488,0.00473444,0.000472084,0.010224,0.0124044,0.0060654,0.000526327,0.00849498,0.000426605,0.00878625,0.00108737,0.000731821,0.00207367,0.00345491,0.00446011,0.00302403,0.00620994,0.00283338,0.00330821,0.00914741,0.0112971,0.000178325,0.000499461,0.000634207,0.000455484,0.00085015,0.000742935,0.000748582,0.00272319,4.07288e-05,0.00023932,0.000439783,0.00482423,0.00153131,0.00982387,0.0109929,0.00595698,0.000368922,0.00883037,0.000491671,0.00837438,0.00246093,0.0023701,0.00226232,0.0069404,0.00425033,0.00291059,0.00711672,0.00297467,0.00354946,0.00874726,0.0108148,0.00113087,0.0014097,0.000848412,0.000911033,0.00235351,0.00185351,0.00223393,0.00242504,0.000928675,0.000463042,0.000693298
144,0.00980389,0.00688024,0.00475671,0.000452515,0.0102688,0.0123365,0.00601818,0.000489167,0.00854962,0.000376146,0.00872655,0.00107284,0.000684882,0.00210533,0.00351212,0.00450687,0.00300094,0.00619943,0.00286004,0.00328074,0.00911396,0.0113181,9.8112e-05,0.000484535,0.000615043,0.000467034,0.000839631,0.000769193,0.000752669,0.00273966,4.41128e-05,0.000187649,0.000407949,0.00482421,0.00164569,0.00982985,0.0109876,0.00601314,0.000362976,0.00885738,0.000469609,0.00834305,0.00252082,0.00239921,0.00228651,0.00691877,0.00412197,0.00291046,0.00709016,0.00285041,0.00351037,0.00873393,0.010844,0.00114244,0.00145112,0.000874787,0.00100037,0.00239628,0.00183374,0.00224316,0.0024673,0.000952621,0.000479753,0.000714806
145,0.00977137,0.00691143,0.00477803,0.00043552,0.0103114,0.0122697,0.00597065,0.000451981,0.00860279,0.000324669,0.00866872,0.00106025,0.000644427,0.00213605,0.00356704,0.00455586,0.00297851,0.006193,0.00288919,0.00326082,0.00908209,0.0113381,6.37245e-05,0.000481774,0.0006008,0.000488421,0.000828891,0.000792184,0.000758855,0.00275061,0.000120018,0.000140669,0.000383694,0.00482582,0.00174688,0.00983757,0.0109903,0.00602476,0.000357445,0.00888683,0.000442913,0.00830983,0.00257621,0.00241374,0.0023134,0.00688769,0.00404036,0.00290814,0.00705411,0.00276458,0.00348351,0.00872096,0.0108741,0.00115527,0.00149874,0.000922962,0.0010875,0.00243701,0.00181297,0.00224895,0.00249289,0.000978603,0.000499043,0.000739121
146,0.00973954,0.00694196,0.0047988,0.000421848,0.0103525,0.0122062,0.00592284,0.0004155,0.00865513,0.000272309,0.00861192,0.00105091,0.000611652,0.00216644,0.00361841,0.00460659,0.00295717,0.00619008,0.00292042,0.00324619,0.00905164,0.0113573,0.00011854,0.000490044,0.000592111,0.00051761,0.000819266,0.000812872,0.00076759,0.00275816,0.000195511,0.00010415,0.000368793,0.00482832,0.00183694,0.00984574,0.0109992,0.00599509,0.000352703,0.00891813,0.000414024,0.00827575,0.00262763,0.00241863,0.00234125,0.00684795,0.00399929,0.00290317,0.00701415,0.0027123,0.00346588,0.00870885,0.0109041,0.0011679,0.00155234,0.000989206,0.00117139,0.0024751,0.00179064,0.00225067,0.00250328,0.00100485,0.000519108,0.000764474
147,0.00970882,0.00697137,0.00481946,0.000412103,0.0103928,0.0121476,0.00587488,0.000380634,0.00870719,0.000219245,0.00855529,0.00104527,0.000586488,0.00219732,0.00366565,0.00465894,0.00293762,0.00619012,0.00295372,0.00323515,0.00902234,0.0113753,0.000196282,0.000506949,0.000588936,0.000552415,0.000811347,0.000831628,0.000778593,0.00276396,0.000269616,9.10713e-05,0.000364824,0.00483081,0.00191888,0.00985296,0.0110125,0.00593797,0.00034879,0.00895032,0.000385399,0.00824206,0.00267522,0.00241759,0.00236833,0.00680112,0.00398728,0.00289566,0.00697384,0.00268574,0.00345269,0.00869798,0.0109325,0.00117888,0.00160889,0.00106634,0.00125215,0.00251038,0.00176726,0.00224863,0.00250453,0.00102959,0.000538284,0.000789149
148,0.00967965,0.00699918,0.0048404,0.000406613,0.0104327,0.0120947,0.00582727,0.000348667,0.0087592,0.000165804,0.00849835,0.00104274,0.000567674,0.00222935,0.0037091,0.00471284,0.00292039,0.00619253,0.00298914,0.00322663,0.00899414,0.0113915,0.000276299,0.000529676,0.000590573,0.000590765,0.00080504,0.000848262,0.000791167,0.00276916,0.000342093,0.00011006,0.000372417,0.00483239,0.00199502,0.00985801,0.0110292,0.00586841,0.000345546,0.00898228,0.000359205,0.00820995,0.0027183,0.00241404,0.00239332,0.00674939,0.00399177,0.00288618,0.00693475,0.00267602,0.00344177,0.00868855,0.0109582,0.00118702,0.001666,0.00114816,0.00133034,0.0025423,0.00174287,0.00224318,0.0025029,0.00105141,0.000555319,0.000811789
149,0.00965235,0.00702499,0.00486184,0.000405421,0.0104723,0.0120481,0.00578076,0.000321388,0.00881114,0.000113202,0.00844103,0.00104216,0.000553487,0.00226267,0.00374962,0.00476815,0.00290578,0.00619675,0.00302653,0.00322011,0.00896716,0.0114053,0.00035513,0.000555846,0.000595994,0.000630999,0.000799983,0.000862405,0.000804705,0.00277447,0.000412503,0.000149231,0.00039069,0.00483236,0.00206717,0.00986004,0.0110486,0.0057971,0.000342667,0.00901286,0.000336989,0.00818042,0.00275562,0.002411,0.0024153,0.00669455,0.00400305,0.00287557,0.00689791,0.00267556,0.00343178,0.00868061,0.0109803,0.00119148,0.0017231,0.00123162,0.00140716,0.00256958,0.00171662,0.00223384,0.0025023,0.00106926,0.000569314,0.000831386
150,0.00962711,0.0070486,0.00488396,0.000408641,0.0105117,0.0120079,0.00573585,0.000300854,0.00886287,6.48652e-05,0.00838352,0.0010423,0.000542346,0.00229712,0.00378865,0.00482459,0.00289376,0.00620258,0.00306547,0.00321521,0.00894154,0.0114163,0.000431604,0.000584353,0.000604357,0.000672347,0.000795844,0.000874074,0.000819202,0.00278054,0.000480437,0.000196499,0.0004177,0.0048302,0.00213547,0.00985864,0.0110701,0.00573196,0.000339822,0.00904103,0.000319467,0.0081543,0.00278606,0.00241009,0.00243375,0.00663785,0.00401411,0.00286462,0.00686376,0.00267842,0.00341982,0.00867403,0.0109983,0.00119178,0.00177948,0.0013143,0.00148266,0.00259121,0.00168785,0.00222024,0.00250625,0.0010825,0.000579745,0.000847311
151,0.00960396,0.00706999,0.00490683,0.000416263,0.0105509,0.0119736,0.00569287,0.000288974,0.00891432,4.08426e-05,0.008326,0.00104204,0.000533451,0.00233254,0.0038279,0.00488182,0.0028842,0.00621014,0.00310549,0.0032115,0.0089173,0.0114242,0.000505217,0.000615149,0.000615175,0.000714622,0.000792366,0.000883579,0.000835133,0.00278795,0.000545686,0.00024681,0.000451234,0.00482565,0.00219861,0.00985364,0.011093,0.00567824,0.000336699,0.0090659,0.000306607,0.00813228,0.00280888,0.00241142,0.00244841,0.00658014,0.00402049,0.00285395,0.00683217,0.00268051,0.00340374,0.00866866,0.0110123,0.00118764,0.00183377,0.00139364,0.00155564,0.00260675,0.00165655,0.00220253,0.00251697,0.00109077,0.000586347,0.0008592
152,0.00958284,0.00708921,0.00493056,0.000427916,0.01059,0.0119451,0.00565213,0.000287179,0.0089654,7.16717e-05,0.00826865,0.00104057,0.000527024,0.00236863,0.00386854,0.00493945,0.00287695,0.00621947,0.0031461,0.00320848,0.00889438,0.0114289,0.000575695,0.000648487,0.000628293,0.000757738,0.0007897,0.000891286,0.000853237,0.00279729,0.000608058,0.0002981,0.000489217,0.00481855,0.00225501,0.00984498,0.0111171,0.005638,0.00033301,0.00908675,0.000297602,0.00811487,0.00282329,0.0024143,0.00245908,0.00652211,0.00402035,0.0028441,0.00680262,0.00267979,0.00338303,0.0086644,0.0110222,0.00117882,0.00188462,0.00146766,0.00162456,0.00261596,0.00162311,0.00218119,0.00253458,0.00109376,0.000588904,0.000866727
153,0.00956368,0.00710632,0.0049552,0.000442919,0.0106291,0.0119225,0.00561389,0.000295879,0.00901623,0.000120499,0.00821139,0.00103731,0.000523803,0.00240542,0.00391098,0.00499725,0.00287189,0.00623013,0.00318702,0.00320549,0.00887269,0.0114302,0.000642955,0.000684308,0.000643689,0.000801526,0.000788446,0.00089753,0.000874187,0.00280927,0.000667576,0.000349615,0.00053016,0.00480883,0.00230404,0.00983256,0.0111426,0.0056104,0.000328534,0.00910301,0.000291277,0.00810248,0.00282882,0.00241794,0.00246565,0.00646431,0.00401421,0.00283538,0.00677475,0.00267608,0.00335854,0.00866131,0.0110278,0.00116505,0.00193139,0.00153558,0.00168858,0.0026187,0.00158799,0.00215674,0.0025573,0.00109115,0.000587281,0.000869606
154,0.00954638,0.00712145,0.00498086,0.000460894,0.0106687,0.011906,0.00557805,0.000314552,0.00906706,0.000173012,0.008154,0.00103234,0.000524628,0.00244323,0.00395504,0.00505523,0.00286886,0.00624168,0.00322818,0.00320193,0.00885196,0.0114282,0.000707174,0.000722489,0.000661541,0.000846052,0.000789642,0.00090294,0.000898633,0.00282452,0.000724547,0.000401308,0.000573228,0.00479648,0.00234562,0.00981626,0.0111693,0.00559305,0.000323106,0.00911441,0.000286409,0.00809534,0.00282586,0.0024215,0.0024681,0.00640723,0.00400381,0.00282783,0.00674865,0.00267032,0.00333186,0.00865953,0.011029,0.00114602,0.00197366,0.00159717,0.00174718,0.00261533,0.00155185,0.00212985,0.00258265,0.00108266,0.000581424,0.000867582
155,0.00953081,0.00713481,0.00500764,0.000481857,0.010709,0.0118957,0.00554417,0.00034222,0.00911831,0.000227551,0.00809602,0.00102614,0.000530171,0.00248253,0.00400029,0.00511351,0.00286771,0.00625386,0.00326964,0.00319728,0.00883185,0.0114233,0.000768712,0.000762998,0.00068214,0.000891598,0.000794369,0.000908402,0.000927095,0.00284351,0.000779432,0.000453489,0.000618034,0.00478153,0.00237996,0.00979598,0.0111972,0.00558309,0.00031662,0.0091208,0.000281783,0.00809357,0.00281528,0.00242417,0.00246639,0.00635117,0.00399118,0.00282129,0.0067246,0.00266377,0.00330496,0.00865926,0.0110262,0.00112142,0.00201108,0.00165239,0.00180001,0.00260648,0.00151537,0.00210118,0.00260823,0.00106803,0.000571291,0.000860384
