Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0148828,0.0179435,0.0167744,0.00998669,0.00962466,0,0.014953,0.0138713,0.0122163,0.0137109,0.015493,0.00886364,0,0,0.0174747,0.00747438,0.00609828,0.00647152,0.0133787,0.0147327,0.0117251,0.012185,0.0108153,0.00626433,0.0214045,0.0110418,0,0.0265756,0.0148482,0.0164392,0.00991797,0,0,0.00821495,0.0188298,0.0181581,0.0165061,0.015565,0.0103141,0.021544,0.0227651,0.00862819,0.00965248,0.0102861,0.0105128,0.0177675,0.0142213,0.0137274,0.0164614,0.0134283,0.0103585
0,0.0247629,0.0201497,0.0224291,0.00397735,0.0345672,0,0.016003,0.0103172,0.0144645,0.0270432,0.0202964,0.0151157,0,0,0.00300082,0.0139754,0.0142639,0.0144046,0.0287795,0.0327469,0.0174685,0.0226894,0.00993291,0.016681,0.0187832,0.0123049,0,0.0176825,0.0152098,0.0214636,0.0072582,0,0,0.0167869,0.0158412,0.0182322,0.0170901,0.0217552,0.0138358,0.0350085,0.014874,0.00932374,0.0151583,0.0114277,0.0110766,0.0199308,0.0165508,0.0221257,0.0199121,0.0234189,0.0178037
1,0.0211212,0.0215304,0.019445,0.00237948,0.0127593,0,0.0154744,0.0125382,0.0105147,0.0230676,0.0176846,0.0111145,0,0,0.00218363,0.0106171,0.0113763,0.0105994,0.0251112,0.0299827,0.0139088,0.0206596,0.00604198,0.0129018,0.0179944,0.00774641,0,0.0205499,0.0171422,0.0211289,0.00411655,0,0,0.0155792,0.0133852,0.0183397,0.0135249,0.0178619,0.00971568,0.0321915,0.0157508,0.00689937,0.0122779,0.00886327,0.00834343,0.0151577,0.0121868,0.0162543,0.0141854,0.0183595,0.0156671
2,0.0182216,0.0226913,0.017072,0.00601107,0.00713005,0,0.0162457,0.0150582,0.00766219,0.0193774,0.0161201,0.00875474,0,0,0.00537214,0.00755213,0.00896152,0.00746363,0.0217326,0.0272839,0.0108661,0.0188909,0.00400127,0.0105098,0.0179668,0.00416451,0,0.0234092,0.019252,0.0214221,0.00409466,0,0,0.0150862,0.0121685,0.0195349,0.0112105,0.015105,0.00661074,0.0298272,0.0177967,0.00556871,0.0106297,0.00787745,0.00695576,0.0120355,0.00968052,0.0119526,0.00982649,0.0149272,0.0135243
3,0.0160479,0.0235609,0.0152043,0.00913642,0.00645231,0,0.0176404,0.0173338,0.006245,0.0162067,0.0153657,0.00825344,0,0,0.0085256,0.00477093,0.00690096,0.0049014,0.0186822,0.0247374,0.00828442,0.0173632,0.00343434,0.00934326,0.0182861,0.0024872,0,0.0259533,0.0211318,0.022015,0.00602208,0,0,0.0150858,0.0120036,0.0211403,0.010183,0.0137735,0.00446128,0.0277999,0.0200617,0.00531625,0.0101389,0.00826563,0.00677335,0.01057,0.00891995,0.00941355,0.00708888,0.0131355,0.0114027
4,0.0145098,0.0240887,0.0136945,0.0114648,0.00603121,0,0.0190981,0.0191403,0.00639081,0.0138321,0.015112,0.00903898,0,0,0.0114084,0.00246785,0.00526537,0.00294925,0.0160091,0.0224975,0.0062029,0.0161895,0.00336233,0.00903272,0.018732,0.00341997,0,0.0280186,0.0225658,0.0226267,0.00784136,0,0,0.0153224,0.0124409,0.0226464,0.0101619,0.0136749,0.00332417,0.0259699,0.0219899,0.00576969,0.0104159,0.0093346,0.00726116,0.0102654,0.00902106,0.00831635,0.00597857,0.0124863,0.00959594
5,0.0134389,0.024255,0.012398,0.013085,0.00548715,0,0.0203011,0.0204226,0.00731545,0.0122765,0.0151196,0.0102332,0,0,0.0139977,0.00134827,0.0041181,0.00178323,0.0136896,0.0206179,0.00478765,0.015427,0.00325758,0.00918152,0.0191899,0.0047342,0,0.0295531,0.0234871,0.023069,0.00906545,0,0,0.0155609,0.0130552,0.0237784,0.0106775,0.0142009,0.00328404,0.0242476,0.0233724,0.00644092,0.0109665,0.0104871,0.00789244,0.0104753,0.00915741,0.00784126,0.005913,0.0122286,0.00826306
6,0.0126631,0.024075,0.0112204,0.0141954,0.00525887,0,0.0211238,0.0212172,0.00824156,0.0112857,0.0152384,0.0113281,0,0,0.0163208,0.00229474,0.00349078,0.0017446,0.0116251,0.0190371,0.00435392,0.0150406,0.00324144,0.00950094,0.01958,0.00560568,0,0.0305832,0.0239248,0.0232544,0.0096451,0,0,0.0156479,0.0136137,0.0244378,0.011393,0.0148467,0.0040103,0.0226198,0.0242286,0.0070468,0.0114669,0.0114347,0.00840595,0.0108757,0.00907882,0.00744751,0.00626204,0.0118663,0.00735964
7,0.0120645,0.0235942,0.0101349,0.0150769,0.00533243,0,0.0215529,0.0216025,0.00885182,0.0105339,0.0153782,0.012132,0,0,0.018434,0.00369353,0.00339008,0.00246184,0.00967997,0.0176314,0.00500765,0.014941,0.00359709,0.0098245,0.0198431,0.00599739,0,0.0311791,0.0239543,0.023172,0.00965348,0,0,0.0155168,0.0140471,0.0246291,0.0121714,0.0153962,0.00504552,0.0211345,0.0246951,0.00749995,0.0117904,0.0120884,0.00874361,0.011406,0.00889264,0.00709565,0.00675853,0.0112357,0.00673815
8,0.0115871,0.0228783,0.00917605,0.0160557,0.00553788,0,0.0216322,0.0216707,0.00908531,0.00983982,0.0154862,0.0125995,0,0,0.0203976,0.00508136,0.00372159,0.00338645,0.00772936,0.0162686,0.00638368,0.015023,0.00433331,0.0100687,0.0199522,0.00601243,0,0.0314296,0.023668,0.0228574,0.0092174,0,0,0.0151647,0.0143771,0.0244164,0.0129866,0.0158117,0.00615808,0.0198654,0.0249445,0.00781935,0.0119318,0.0124607,0.00895284,0.0120337,0.00876429,0.00691218,0.007306,0.0103553,0.00625195
