Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0151141,0.0172101,0.0169516,0.0100061,0.010217,0,0.0148538,0.0141236,0.0126396,0.0137301,0.016291,0.00876255,0,0,0.0171366,0.00815797,0.00627484,0.00674321,0.0135369,0.0148307,0.0109287,0.0122365,0.0105592,0.00746408,0.0195948,0.0112139,0,0.026804,0.0152749,0.0168207,0.00882929,0,0,0.00875355,0.0183601,0.0189125,0.0171365,0.0152344,0.0109932,0.0226264,0.0219879,0.00818347,0.0101256,0.00983278,0.0103907,0.0178453,0.0145124,0.0139031,0.015037,0.0128871,0.010635
0,0.0252478,0.0172111,0.0260009,0.00935672,0.0356458,0,0.0163669,0.00970375,0.0191028,0.027124,0.0213663,0.0126689,0,0,0.00627275,0.015149,0.0150383,0.0180027,0.0326413,0.0359535,0.0201945,0.0247741,0.0098656,0.016718,0.0180778,0.0129071,0,0.0157518,0.0151289,0.0223369,0.00832915,0,0,0.0188454,0.0171003,0.0165048,0.0180678,0.0216774,0.0155419,0.037759,0.0134387,0.010732,0.0155566,0.0118478,0.0116526,0.0182181,0.0164143,0.0222647,0.0174256,0.0220647,0.0175028
1,0.0212216,0.018774,0.0227146,0.00574555,0.0146989,0,0.0157453,0.0115337,0.0155541,0.0230681,0.0183343,0.00903005,0,0,0.00313081,0.0114345,0.0118537,0.0139907,0.0285077,0.0325358,0.0161009,0.022081,0.00534967,0.0132337,0.0168374,0.00857952,0,0.0187046,0.0167176,0.0216871,0.0043499,0,0,0.0169426,0.0142348,0.0166412,0.0144173,0.0174831,0.0113201,0.0345981,0.0141237,0.00755458,0.0117223,0.00821137,0.00852755,0.0129669,0.0116462,0.0160799,0.0113446,0.0170566,0.0156519
2,0.0179771,0.0201636,0.0200552,0.00579064,0.00919534,0,0.0165474,0.0140298,0.0128595,0.0192099,0.0165617,0.00752024,0,0,0.00426815,0.0080327,0.00912005,0.0106166,0.0247662,0.029339,0.0125847,0.0198085,0.00229464,0.0112426,0.0166176,0.00555292,0,0.0216985,0.0186248,0.0217162,0.00236262,0,0,0.0158159,0.0125257,0.0179379,0.0121477,0.0144404,0.00830961,0.0319832,0.0160453,0.00557798,0.00927715,0.00615367,0.00682182,0.00934932,0.00875343,0.0113137,0.0066469,0.0138445,0.013863
3,0.0155242,0.0212337,0.0179128,0.00788398,0.00795178,0,0.0180204,0.0163798,0.0111716,0.0158412,0.0158769,0.0081834,0,0,0.00728605,0.00494047,0.00678109,0.00785562,0.0214609,0.0264633,0.00958498,0.017954,0.000861635,0.0105397,0.0169366,0.00444705,0,0.0243747,0.0203785,0.0221038,0.00368803,0,0,0.0153061,0.0119017,0.0196448,0.0112251,0.0129096,0.0065311,0.0298223,0.0182364,0.00492779,0.0083549,0.00597708,0.00652602,0.0076472,0.00776401,0.00820877,0.00406021,0.0124757,0.0120728
4,0.0138055,0.0218945,0.0161478,0.00998821,0.00708629,0,0.0195494,0.0182576,0.0105783,0.0133389,0.0159256,0.00981495,0,0,0.0102723,0.00226499,0.00493241,0.0057318,0.018632,0.0240631,0.00709449,0.0166219,0.00119043,0.010639,0.0174503,0.00495903,0,0.0265631,0.0217255,0.0225649,0.00544781,0,0,0.015168,0.0120213,0.0212227,0.0112604,0.0127706,0.00594426,0.0279961,0.020174,0.00527389,0.00860617,0.00697276,0.00710563,0.0074893,0.00779204,0.00671692,0.00404335,0.0123472,0.0104749
5,0.0126741,0.0221219,0.0146342,0.011595,0.00628713,0,0.0208038,0.0195889,0.0107417,0.0118186,0.0163514,0.0114697,0,0,0.0129335,0.000209257,0.00363611,0.00420828,0.0162344,0.0221779,0.00518981,0.0158453,0.00151211,0.0110749,0.0179439,0.00579821,0,0.0282231,0.0225879,0.0229089,0.00666343,0,0,0.0151421,0.0124717,0.0224085,0.0117407,0.0133737,0.00624895,0.0264009,0.0216734,0.00597073,0.0093575,0.00820161,0.00791645,0.0079741,0.00788045,0.00616992,0.00474293,0.0125892,0.0092069
6,0.0119576,0.0219489,0.0132988,0.0127115,0.00590445,0,0.0216681,0.0204236,0.0111494,0.0110606,0.0169033,0.0127935,0,0,0.0152331,0.00186994,0.00295511,0.00321559,0.0141481,0.0207186,0.00412964,0.0155439,0.00189335,0.0115598,0.0182969,0.00636741,0,0.0293959,0.0229986,0.0230481,0.00728127,0,0,0.0150511,0.0129845,0.0231357,0.0123466,0.0140949,0.00701642,0.024975,0.0227363,0.00661507,0.0101348,0.00925749,0.00860541,0.0085795,0.00771415,0.00587143,0.00496995,0.0126455,0.00827322
7,0.0115173,0.0214454,0.0121289,0.0135226,0.00591118,0,0.0221456,0.0208608,0.0114561,0.0107069,0.0174279,0.0136928,0,0,0.0172273,0.00349885,0.00295926,0.00274046,0.0122253,0.0195233,0.00421826,0.0155649,0.00276015,0.0119543,0.0184619,0.00659064,0,0.0301638,0.0230432,0.0229672,0.00739185,0,0,0.0148156,0.0134559,0.023443,0.0129722,0.014624,0.00795279,0.0237009,0.023448,0.0070652,0.0107411,0.0100466,0.0090554,0.00920782,0.00739895,0.00559981,0.00475102,0.012291,0.00759413
8,0.0112661,0.0206996,0.0111546,0.0143137,0.00613006,0,0.0222938,0.0210079,0.0115313,0.0105092,0.0178345,0.0141681,0,0,0.0190117,0.0050019,0.00350231,0.0027912,0.0103398,0.0184162,0.00522472,0.0157408,0.00400596,0.0122033,0.0184448,0.00654835,0,0.0306207,0.0228214,0.0226906,0.00712794,0,0,0.0144231,0.0138796,0.023416,0.0136176,0.0148952,0.00891233,0.0225924,0.0239175,0.00731813,0.0111386,0.0105927,0.00927842,0.00988125,0.00715008,0.00541815,0.00458875,0.0114785,0.00706994
9,0.0111549,0.0198011,0.0104182,0.0153906,0.00644847,0,0.0221864,0.0209585,0.0113694,0.0104059,0.0180779,0.0142603,0,0,0.0206729,0.006439,0.00428073,0.00324154,0.00842018,0.0172516,0.00663679,0.015929,0.005391,0.0122943,0.0182843,0.00635281,0,0.0308548,0.0224249,0.0222595,0.00664367,0,0,0.0138954,0.0142865,0.0231577,0.014303,0.0149487,0.00982818,0.0216756,0.0242456,0.00743669,0.0113632,0.0109584,0.00935398,0.0105906,0.00709756,0.00536936,0.00498785,0.0102744,0.00662327
