Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0191702,0.0189439,0.0200312,0.0108516,0.0156437,0,0.0486551,0.0203206,0.0149973,0.0143338,0.0184984,0.0216439,0,0,0.0273016,0.0108804,0.0120846,0.00955774,0.0150293,0.0134984,0.0168094,0.0161781,0.0175679,0.0141123,0.020744,0.0155922,0,0.0480585,0.0184456,0.0267784,0.0337436,0,0,0.0261785,0.0266527,0.0207088,0.0237292,0.017134,0.0163983,0.020286,0.0331936,0.00900256,0.0139677,0.0138554,0.0116041,0.0241051,0.0190313,0.0227229,0.0237928,0.0233623,0.0259195
0,0.0188904,0.0311906,0.0289922,0.0260927,0.0273636,0,0.0730452,0.0182789,0.028934,0.0221822,0.023888,0.0405174,0,0,0.0172608,0.0197259,0.0223518,0.0215817,0.0163249,0.0215316,0.0140781,0.0215535,0.0327326,0.00766272,0.0293789,0.0418534,0,0.0490613,0.020779,0.0600606,0.0736096,0,0,0.0570821,0.0825512,0.0367365,0.0335246,0.0186975,0.0207795,0.0176943,0.0195511,0.0221639,0.0188312,0.0231049,0.0220593,0.0231094,0.0246841,0.0230675,0.014541,0.0183821,0.0342244
1,0.0224318,0.0323448,0.0299103,0.0189528,0.0270353,0,0.0788371,0.0172348,0.0296356,0.0283646,0.0236731,0.0398877,0,0,0.0116229,0.0129616,0.0202175,0.0188154,0.0113971,0.0146187,0.00903979,0.0147908,0.0260105,0.00604247,0.0280747,0.0250653,0,0.0491219,0.0185408,0.0463444,0.0630795,0,0,0.0360038,0.0579121,0.0381834,0.0340432,0.0138817,0.0240317,0.0355347,0.0173205,0.0264994,0.0163325,0.0260674,0.020424,0.018351,0.0186589,0.0171694,0.0111991,0.0135356,0.0322088
2,0.0242069,0.0318848,0.0300637,0.0145806,0.0247175,0,0.0827661,0.0159262,0.0249568,0.0247163,0.0201956,0.0370287,0,0,0.0125345,0.00800438,0.0165503,0.015393,0.00662932,0.00975831,0.00389689,0.00981222,0.0253956,0.00554838,0.0254105,0.0200169,0,0.0482199,0.0163909,0.0402152,0.0595483,0,0,0.0184389,0.038006,0.0385552,0.0334423,0.0129258,0.0218934,0.0363502,0.0178184,0.0246699,0.0176573,0.0240563,0.0194427,0.0137397,0.0150735,0.0142148,0.00986263,0.012204,0.0337102
3,0.0248086,0.0301079,0.0297598,0.0135485,0.0203191,0,0.0847898,0.014614,0.0198736,0.0147346,0.0156835,0.0335817,0,0,0.0164773,0.00501614,0.00929886,0.0105222,0.00487049,0.00803409,0.00220741,0.00738608,0.0283057,0.00748932,0.0234372,0.016392,0,0.0467042,0.0142406,0.0446334,0.0633145,0,0,0.00599834,0.0248958,0.0379099,0.0323747,0.0139061,0.0199294,0.0304964,0.0200987,0.0172741,0.0191723,0.0187864,0.0169921,0.00971672,0.0135179,0.0131296,0.010131,0.0127931,0.0346406
4,0.024925,0.0278665,0.0301046,0.0137152,0.0153085,0,0.0850231,0.0138989,0.0199805,0.0101833,0.0121376,0.0307783,0,0,0.0203746,0.00325273,0.00670885,0.0065416,0.00737309,0.00848041,0.00577856,0.00743621,0.0296475,0.0107005,0.0232781,0.0116938,0,0.0451552,0.0122059,0.0561385,0.0721772,0,0,0.0161769,0.0254019,0.036568,0.0320953,0.0152026,0.0177483,0.0268168,0.0216098,0.00990402,0.0162099,0.0146308,0.0117685,0.00682255,0.0109926,0.0110614,0.00968684,0.011106,0.0326911
5,0.0244458,0.0262308,0.0311946,0.0129305,0.0131599,0,0.0835218,0.0136933,0.0209333,0.0134,0.0105244,0.0289167,0,0,0.0238585,0.0035558,0.010312,0.00577596,0.0100739,0.00965028,0.00851917,0.00740009,0.0277987,0.0131149,0.0237181,0.00913781,0,0.0437837,0.010513,0.0679105,0.0816098,0,0,0.0291106,0.0348348,0.0349163,0.0327327,0.0160764,0.0153587,0.0278069,0.0231995,0.00550025,0.00919386,0.00801584,0.00587402,0.00495208,0.00616971,0.00540738,0.00800195,0.00553056,0.0293526
6,0.0231179,0.0263855,0.0322462,0.011883,0.0158032,0,0.0806197,0.0136109,0.0219534,0.0199468,0.0104588,0.0278944,0,0,0.0246487,0.00386899,0.00801536,0.00945792,0.011687,0.0102419,0.00987661,0.00492644,0.0247274,0.0144039,0.023578,0.0120719,0,0.0424964,0.00910408,0.0752898,0.087716,0,0,0.0387533,0.0433275,0.034092,0.0337102,0.016502,0.0149234,0.0317257,0.0304328,0.00564752,0.0084057,0.00256458,0.00411958,0.00479045,0.0044375,0.00385633,0.00850285,0.00486038,0.0260552
7,0.0212475,0.0271239,0.0327405,0.0110911,0.018897,0,0.0765251,0.0132846,0.0229418,0.0236538,0.0112052,0.0276055,0,0,0.0195858,0.0084954,0.0101403,0.0151775,0.0121734,0.0105852,0.00940843,0.00151189,0.02188,0.014878,0.0224483,0.0157178,0,0.0411484,0.00763979,0.0759608,0.0881446,0,0,0.0439092,0.0468272,0.0340165,0.0344284,0.0169669,0.016359,0.0347969,0.0336213,0.00881601,0.0103461,0.00382853,0.00604619,0.00609367,0.0057522,0.0102519,0.0117358,0.0112055,0.0232191
8,0.0193242,0.0262943,0.0325251,0.0104414,0.0189321,0,0.0716729,0.0127887,0.0226228,0.0237122,0.0120777,0.0277339,0,0,0.0124097,0.015314,0.0155491,0.0183669,0.0122374,0.0110913,0.00840017,0.0027646,0.0196989,0.0146339,0.0209596,0.0162669,0,0.0400878,0.00626735,0.0698727,0.0824718,0,0,0.0448337,0.0442008,0.0332902,0.0344312,0.0171677,0.0172784,0.035625,0.028944,0.0110772,0.0136358,0.0110825,0.00874953,0.00766113,0.00502198,0.0120013,0.0150103,0.0155898,0.0213791
9,0.0173861,0.0246563,0.0319058,0.00968514,0.0167297,0,0.0663366,0.0118975,0.0211386,0.0221753,0.0128322,0.0279302,0,0,0.010971,0.0178134,0.0169861,0.0181404,0.0127572,0.010448,0.00908473,0.00317465,0.0180946,0.0138856,0.0197229,0.0145056,0,0.0394767,0.00512748,0.0587236,0.0718034,0,0,0.0436508,0.0368281,0.0315536,0.033746,0.0168193,0.016884,0.0352157,0.0239935,0.0122924,0.0172957,0.0181709,0.0103968,0.00989216,0.00452781,0.0107157,0.0175056,0.0163632,0.0206083
10,0.0155802,0.0241001,0.0312229,0.00896885,0.0146538,0,0.0608405,0.0109023,0.0195896,0.0205222,0.0136117,0.0280939,0,0,0.0146301,0.0154361,0.0143425,0.015673,0.0143518,0.0103924,0.012112,0.00410529,0.0171404,0.0128793,0.0190936,0.0126663,0,0.0393067,0.00431313,0.0465483,0.0594195,0,0,0.0448683,0.0311405,0.0296027,0.0328029,0.0164367,0.0165158,0.0350379,0.0237476,0.0117881,0.0173992,0.0192915,0.0102331,0.0128927,0.00635144,0.010373,0.0195318,0.0154477,0.0206944
