Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0143161,0.0177092,0.0181659,0.0100951,0.0103276,0,0.0157095,0.0130125,0.0126075,0.0139119,0.0169818,0.0100235,0,0,0.0169826,0.00865446,0.00715911,0.00783418,0.0145313,0.0157644,0.0119182,0.0134063,0.0119602,0.00747328,0.0207402,0.0115084,0,0.0262583,0.0138294,0.0186223,0.00938389,0,0,0.00844294,0.0198392,0.0188293,0.0168379,0.0183116,0.0114259,0.0232967,0.0228937,0.00965444,0.0109576,0.011453,0.0120027,0.0194595,0.01589,0.0149889,0.0178794,0.0147968,0.0110312
0,0.0416626,0.0132076,0.0403964,0.0315921,0.0339636,0,0.0278448,0.0191897,0.038631,0.0456099,0.035389,0.0303244,0,0,0.0245259,0.0321866,0.0317748,0.036596,0.0498878,0.051271,0.0379966,0.0394586,0.030632,0.03155,0.029381,0.0311344,0,0.0177883,0.0220768,0.0341563,0.0275188,0,0,0.033611,0.0334132,0.0276573,0.0340998,0.0367874,0.0300833,0.0476366,0.0221922,0.0300751,0.0334929,0.0303286,0.0303934,0.0323576,0.0306681,0.0389447,0.0310334,0.0321372,0.0325824
1,0.0341117,0.0102387,0.0339404,0.0225715,0.0271105,0,0.0218635,0.01279,0.0308778,0.0388294,0.0281299,0.0229339,0,0,0.01682,0.0248246,0.0245259,0.0288319,0.042528,0.0445809,0.0302409,0.0325846,0.0218473,0.0240625,0.0230028,0.0233553,0,0.0133608,0.017377,0.0288298,0.0198156,0,0,0.0267765,0.0264252,0.0215508,0.0269726,0.0295167,0.0215654,0.0412633,0.0173725,0.0221543,0.0260994,0.0225268,0.023208,0.0242998,0.0237189,0.0312944,0.0223179,0.025051,0.0273511
2,0.0276368,0.0107442,0.0285442,0.0148948,0.0212589,0,0.0179732,0.00921231,0.0240257,0.0324293,0.022205,0.0166281,0,0,0.0102212,0.018503,0.0182674,0.0221454,0.0359297,0.0386324,0.0234777,0.0267937,0.0147013,0.0181732,0.0185655,0.0166898,0,0.0127224,0.0153689,0.0251454,0.0131256,0,0,0.021159,0.0207451,0.017701,0.0211792,0.0233294,0.0145883,0.0360821,0.0147493,0.015685,0.0198036,0.0160317,0.0173011,0.0174769,0.0177776,0.0245779,0.0149111,0.0193388,0.0233078
3,0.0222907,0.0131244,0.0242127,0.00866453,0.0164206,0,0.0164707,0.00962169,0.0181715,0.0265685,0.0179345,0.011705,0,0,0.00511713,0.0131627,0.0130616,0.0165244,0.0301152,0.0334429,0.0176948,0.0220856,0.00911337,0.013969,0.0161479,0.0112864,0,0.0150801,0.0158413,0.0230593,0.00756251,0,0,0.0169408,0.0165973,0.0163943,0.016958,0.0182925,0.00924006,0.0320485,0.01451,0.0108535,0.0147956,0.0110981,0.0128493,0.0120875,0.0129533,0.0187911,0.00898739,0.0151823,0.0200753
4,0.0181175,0.0157447,0.0208996,0.00459771,0.0126028,0,0.0169586,0.0122878,0.0135124,0.0214571,0.0155931,0.00880009,0,0,0.00389668,0.00877458,0.00906624,0.0119894,0.0251241,0.0290694,0.0128731,0.0185021,0.00504182,0.0115139,0.0155242,0.00751361,0,0.0184678,0.0176324,0.0222781,0.00368236,0,0,0.0142781,0.0141682,0.0171322,0.0144957,0.0146122,0.0057886,0.0290818,0.0159891,0.00796428,0.0114217,0.00824937,0.0101117,0.00855898,0.00951829,0.0139952,0.00506012,0.012718,0.0173475
5,0.0150884,0.0179384,0.0184802,0.00475159,0.00977777,0,0.0184975,0.0151801,0.0103122,0.0172532,0.0150419,0.00844872,0,0,0.00667228,0.00531291,0.00645421,0.00856697,0.0209596,0.0255208,0.00895323,0.0160301,0.00263155,0.0106698,0.0160824,0.00597581,0,0.0217772,0.0196707,0.0223195,0.00355496,0,0,0.0130641,0.0133372,0.0188718,0.0136355,0.0126261,0.00463812,0.026978,0.0182101,0.00707119,0.00996551,0.00778079,0.00913306,0.00733952,0.00783188,0.0103336,0.00424401,0.0118142,0.0150189
6,0.0130658,0.0195126,0.0167604,0.00721462,0.00786928,0,0.020299,0.017602,0.00882133,0.0140755,0.015658,0.00982688,0,0,0.00966381,0.00287752,0.00526373,0.00627945,0.0175724,0.0227409,0.00586339,0.0145559,0.00212143,0.010925,0.0171367,0.00645369,0,0.0246053,0.0214122,0.0227121,0.00564705,0,0,0.0128483,0.0135926,0.0207919,0.0138155,0.0123835,0.00520098,0.0254605,0.0205195,0.00746824,0.0101298,0.00881104,0.00941319,0.00790848,0.00775235,0.00796728,0.00552846,0.0119627,0.0131252
7,0.0118123,0.0204561,0.0155185,0.00956211,0.00673845,0,0.0219379,0.0194114,0.00887492,0.0119963,0.0167585,0.0116383,0,0,0.0121506,0.00217353,0.00511217,0.00508901,0.0148654,0.0206281,0.00364885,0.0138857,0.00231837,0.0116625,0.0182092,0.0075977,0,0.026842,0.0226654,0.0231232,0.00744571,0,0,0.0130787,0.0143426,0.0224737,0.0144261,0.0132732,0.00619153,0.024274,0.022584,0.00826761,0.0110845,0.0102022,0.010221,0.00905116,0.00840921,0.00683555,0.00682278,0.0125521,0.0117074
8,0.0110564,0.0208368,0.0145583,0.0114131,0.00618634,0,0.023236,0.0206428,0.00976274,0.010927,0.0179042,0.0132487,0,0,0.0141348,0.00316993,0.00539857,0.00476966,0.0126999,0.0190501,0.00279274,0.0138007,0.00212712,0.0124714,0.0190532,0.00859376,0,0.0285024,0.0234121,0.0233713,0.00858965,0,0,0.0133581,0.0151932,0.0237583,0.0150956,0.0144702,0.00709702,0.023242,0.0242478,0.00901426,0.0121544,0.0114294,0.0110654,0.0100869,0.00905079,0.00647547,0.00757321,0.013155,0.0107116
