Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0256211,0.0243407,0.00939449,0.00647054,0.00767578,0,0.0174393,0.0220336,0.0109767,0.0174053,0.0210987,0.0100677,0,0,0.026788,0.0177098,0.0125947,0.0106375,0.00804606,0.00650556,0.00768626,0.0100242,0.0075472,0.00400387,0.00693141,0.00902789,0,0.0146075,0.0244716,0.014961,0.0164722,0,0,0.00703718,0.00743363,0.0230513,0.00747051,0.00540903,0.0146877,0.0232644,0.0240903,0.00386077,0.00531398,0.00628604,0.00437094,0.0117408,0.0103678,0.0123575,0.0122872,0.012044,0.00938463
0,0.0319306,0.0279282,0.0165585,0.00903403,0.0111982,0,0.0246042,0.00614436,0.0193225,0.0167458,0.0246573,0.0172635,0,0,0.0203763,0.0220373,0.015522,0.0105783,0.00553178,0.00479963,0.00543598,0.00908604,0.00826179,0.00185912,0.00579538,0.011582,0,0.0208871,0.00930776,0.0187798,0.021061,0,0,0.0114071,0.00783329,0.0230359,0.0140285,0.00450764,0.0154793,0.0154881,0.0127369,0.00272639,0.0083605,0.0110486,0.00519314,0.00501007,0.00286937,0.00637958,0.00795171,0.00776527,0.00252369
1,0.0320617,0.0278588,0.0165562,0.00893868,0.0111534,0,0.0248753,0.00597094,0.0191479,0.0166794,0.0245154,0.0170341,0,0,0.0203827,0.0220945,0.0156008,0.0106965,0.00567873,0.00493295,0.00557252,0.00916515,0.00797006,0.00176809,0.00589682,0.0114777,0,0.0203328,0.00908523,0.0186852,0.0209678,0,0,0.0112902,0.00799213,0.0229564,0.0139952,0.00438015,0.0153727,0.0155858,0.0127778,0.00275149,0.00846076,0.0109102,0.0053717,0.00510939,0.00291802,0.00636522,0.00798268,0.00775577,0.00233602
2,0.0321951,0.0278017,0.0165659,0.00885507,0.011097,0,0.0251115,0.00593726,0.0189628,0.0166271,0.024473,0.016966,0,0,0.0203988,0.0221538,0.015663,0.0107649,0.00576987,0.005068,0.00567665,0.00925193,0.00771149,0.00169675,0.00595928,0.0113998,0,0.0199316,0.00900708,0.018618,0.0208868,0,0,0.0111803,0.00801761,0.0228776,0.0139971,0.00426666,0.0152697,0.0156652,0.0128038,0.00281796,0.00855559,0.0108451,0.00553457,0.0051774,0.00298301,0.00633428,0.00801329,0.00776834,0.00218663
3,0.0323308,0.0277748,0.0165926,0.00878312,0.0110293,0,0.0252948,0.00604135,0.0187823,0.0165807,0.0244935,0.0170072,0,0,0.0204295,0.0222325,0.0156961,0.0107474,0.00582539,0.00517241,0.00574906,0.0093398,0.00749534,0.00168775,0.00595463,0.0113478,0,0.0196338,0.0090889,0.0185617,0.0207744,0,0,0.0110932,0.00796258,0.0227841,0.014033,0.00417079,0.0151834,0.0157534,0.0128081,0.00292397,0.00862508,0.0108562,0.00567314,0.00520285,0.00306402,0.00630617,0.00804899,0.00777667,0.00207637
4,0.0324608,0.0277543,0.0166409,0.00871951,0.010951,0,0.0254258,0.00619055,0.0186291,0.0165252,0.0244651,0.0170303,0,0,0.0204595,0.0223471,0.0157324,0.0106717,0.00585853,0.00520864,0.00580416,0.00941982,0.0073271,0.00177399,0.00586194,0.0113038,0,0.0193924,0.00925642,0.0184444,0.0205998,0,0,0.0110291,0.00787122,0.0226838,0.0141144,0.00409244,0.0151203,0.0158697,0.0127806,0.00309119,0.00865243,0.0109101,0.00577324,0.0052044,0.00315638,0.00629919,0.00809281,0.00776439,0.00199622
5,0.0325743,0.0276719,0.0167034,0.00865795,0.0108563,0,0.0255302,0.00629978,0.0185057,0.0164543,0.0243387,0.0169662,0,0,0.0204383,0.0224785,0.0158368,0.0106941,0.00583585,0.00518288,0.00586486,0.00949153,0.00719266,0.00189312,0.00585728,0.0112363,0,0.0192047,0.00937958,0.0182339,0.020449,0,0,0.0109585,0.00776397,0.0225838,0.0142454,0.00402295,0.0150581,0.0159829,0.0127383,0.00329538,0.00865245,0.0109578,0.00584746,0.00522088,0.00325338,0.00631619,0.00813431,0.00774111,0.0019274
6,0.0326773,0.0275373,0.0167782,0.0085947,0.0107352,0,0.0256015,0.00634251,0.0183913,0.0163759,0.0242316,0.016867,0,0,0.0203401,0.0226002,0.0160258,0.0108988,0.00575156,0.00512684,0.00593498,0.00955762,0.00706599,0.00195119,0.00614906,0.0111342,0,0.0190821,0.00948592,0.0180601,0.0204208,0,0,0.0108603,0.00771932,0.0224432,0.0143856,0.00395745,0.0149771,0.0160392,0.012724,0.0034463,0.00864243,0.0109886,0.00592271,0.00525413,0.00334819,0.00635972,0.0081568,0.00772074,0.00185625
7,0.0327885,0.0274625,0.0168863,0.00853018,0.0105924,0,0.0255937,0.00636286,0.0182676,0.0162989,0.02424,0.0168017,0,0,0.0202117,0.0227343,0.0162577,0.0111131,0.00569904,0.00504134,0.00599252,0.00961567,0.00693083,0.0019335,0.00639755,0.0110243,0,0.0190078,0.00970473,0.0180607,0.0204482,0,0,0.0107607,0.00779736,0.0222611,0.0144749,0.00390161,0.0148926,0.0160097,0.0127456,0.00350805,0.00860854,0.0110152,0.00599299,0.00527719,0.00341165,0.00641274,0.0081655,0.00771941,0.00177919
8,0.0329183,0.0274753,0.0170306,0.00846253,0.0104423,0,0.0254874,0.00645074,0.018145,0.0162253,0.0242842,0.0167732,0,0,0.0200925,0.0229103,0.0164727,0.0111257,0.00575136,0.00490654,0.00602202,0.0096607,0.00678229,0.00187645,0.00604156,0.0109332,0,0.0189497,0.00999151,0.0181756,0.0203881,0,0,0.0107166,0.00789754,0.0221358,0.0144832,0.00386197,0.0148265,0.015918,0.0127601,0.00352111,0.00854939,0.0110345,0.00603381,0.00528961,0.00340425,0.00642854,0.00818747,0.00773515,0.0016977
