Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0394225,0.0221776,0.014323,0.00977402,0.0125095,0,0.0289823,0.00859053,0.0122674,0.0126177,0.0295777,0.026199,0,0,0.0244044,0.0189958,0.0138002,0.0128301,0.0175185,0.0177512,0.0163256,0.0178863,0.00744075,0.00666284,0.00584849,0.011621,0,0.0237515,0.0090407,0.0196495,0.0242417,0,0,0.0147635,0.00711451,0.0256371,0.0134372,0.0117589,0.0162982,0.0149383,0.0145055,0.0113535,0.0141755,0.0142259,0.0124411,0.0179077,0.0102804,0.0107133,0.0149191,0.010583,0.00741381
0,0.0592264,0.00703913,0.0361898,0.0299444,0.0135793,0,0.0282751,0.0203,0.0269714,0.0328514,0.0220698,0.00995351,0,0,0.0160856,0.0337272,0.0269935,0.0180399,0.0400902,0.0426918,0.0324105,0.0354051,0.0163448,0.0220707,0.0222093,0.0100868,0,0.00661025,0.0220263,0.0202189,0.0232368,0,0,0.00375542,0.0160303,0.0168003,0.0240582,0.0194827,0.0217636,0.0322064,0.0126445,0.0176517,0.0197605,0.0182775,0.0181245,0.0252955,0.0165254,0.0210863,0.023712,0.0199128,0.0251925
1,0.0537436,0.00852952,0.0310053,0.022701,0.0110483,0,0.0290307,0.0156181,0.0222698,0.0265785,0.0206029,0.00989053,0,0,0.0109571,0.0298552,0.0230033,0.0143979,0.0341809,0.0369379,0.0262755,0.0297082,0.012256,0.0161929,0.0162927,0.00402812,0,0.00664041,0.0168477,0.0207964,0.0222165,0,0,0.00272319,0.00995021,0.0189068,0.0185554,0.0158324,0.0175266,0.0284607,0.010003,0.0147655,0.0159479,0.014022,0.0154816,0.0199776,0.0100963,0.014702,0.0170796,0.0135272,0.0236665
2,0.0490106,0.0111115,0.026611,0.0167104,0.0107384,0,0.030501,0.012471,0.0184066,0.0207419,0.0207628,0.0122727,0,0,0.00856227,0.0263917,0.019724,0.0122019,0.0289392,0.0317583,0.0211508,0.0247558,0.0111034,0.0115151,0.0115811,0.00294972,0,0.0103315,0.0128457,0.0226884,0.0227538,0,0,0.0079924,0.00515662,0.022389,0.0141253,0.0121826,0.0139123,0.0252868,0.00973061,0.0129793,0.0133758,0.0110388,0.0137711,0.0166605,0.00509934,0.00977907,0.0119166,0.00870717,0.0219563
3,0.0450337,0.0135331,0.0230068,0.0118966,0.0118239,0,0.0321635,0.0109176,0.0154219,0.015659,0.0218293,0.0151656,0,0,0.00910727,0.0229931,0.0168266,0.0109228,0.0244243,0.0272314,0.0170079,0.0204451,0.0116998,0.00789217,0.00795086,0.00684256,0,0.0142043,0.010126,0.02496,0.0240183,0,0,0.0124452,0.00332829,0.0260059,0.0108805,0.00863778,0.0109202,0.0226499,0.0112727,0.0121651,0.0121703,0.00955229,0.0129097,0.015414,0.00335581,0.00664299,0.00839585,0.00601024,0.0201254
4,0.0418033,0.0154072,0.0201583,0.00817127,0.0132636,0,0.0336597,0.0105763,0.0133704,0.0117827,0.0231851,0.0177931,0,0,0.0110879,0.0194171,0.0140236,0.0100624,0.0206782,0.0234887,0.01378,0.016745,0.0125316,0.0051709,0.00533491,0.0102402,0,0.0174217,0.0086495,0.0269761,0.0252977,0,0,0.015931,0.00517589,0.0291901,0.00884485,0.0055168,0.0085706,0.0204462,0.0134346,0.012134,0.0121662,0.00949617,0.0127878,0.0157985,0.0054641,0.0053981,0.00655946,0.0054319,0.0183708
5,0.0392566,0.0166473,0.017965,0.00539654,0.0144932,0,0.0347949,0.0107784,0.012142,0.0094736,0.0244762,0.0199493,0,0,0.0132959,0.0155334,0.0111222,0.00920894,0.0176583,0.0205575,0.0113626,0.0136333,0.012815,0.00330975,0.00383049,0.0128431,0,0.0198559,0.0080691,0.0284428,0.0262056,0,0,0.0184599,0.00730365,0.0317413,0.00783038,0.003646,0.00690984,0.0185394,0.0154942,0.0126134,0.0129212,0.0103872,0.0132105,0.0170639,0.00777558,0.00508744,0.00590334,0.00550443,0.0168332
6,0.037294,0.0172914,0.0162861,0.00351859,0.0153272,0,0.0355082,0.0110293,0.0115122,0.00872433,0.0255511,0.0216223,0,0,0.0153843,0.0113792,0.00813914,0.0081674,0.0152485,0.0183075,0.0096717,0.0110965,0.012321,0.00240409,0.00347938,0.0147277,0,0.0215753,0.00790446,0.0293043,0.026631,0,0,0.0201405,0.00884869,0.0336281,0.00748441,0.00405112,0.00598305,0.0168134,0.0171991,0.0133356,0.0140453,0.0117659,0.0139451,0.0186341,0.00953899,0.00462293,0.00568774,0.00512487,0.0155337
7,0.0358122,0.0174364,0.0149831,0.00275107,0.0157561,0,0.0358233,0.0111129,0.0112647,0.00899254,0.026374,0.0228691,0,0,0.0173559,0.00728635,0.00550908,0.0070158,0.0133147,0.016489,0.00869397,0.0091488,0.0110841,0.00235753,0.00379907,0.0160086,0,0.0227168,0.0078093,0.0296315,0.0266201,0,0,0.0211351,0.00981772,0.0348861,0.00748591,0.00546507,0.00573759,0.0152148,0.0185014,0.0140765,0.0153061,0.0133735,0.0147665,0.02022,0.0108985,0.00377913,0.00569403,0.00415194,0.0143751
8,0.0347225,0.017204,0.0139451,0.00304304,0.0158373,0,0.0358045,0.0109798,0.0112438,0.00963909,0.0269632,0.0237673,0,0,0.0192925,0.00453304,0.00455967,0.00608954,0.0117698,0.0148229,0.00846438,0.00782362,0.0092666,0.00263678,0.00421806,0.0167934,0,0.0234313,0.00761787,0.0295472,0.0262865,0,0,0.0216208,0.01034,0.0355722,0.00765093,0.00657379,0.00597417,0.013761,0.0194147,0.0146404,0.0165486,0.0150434,0.0154656,0.0217022,0.0121091,0.00314275,0.00621859,0.00297404,0.0131847
9,0.033958,0.0167184,0.0130936,0.00364505,0.0156489,0,0.0355292,0.0106532,0.0113419,0.0103341,0.0273561,0.0243952,0,0,0.0212475,0.00565766,0.00607009,0.00582055,0.0106273,0.0130881,0.00896797,0.00712507,0.00710081,0.00287327,0.00449345,0.0171759,0,0.0238539,0.00727666,0.0291827,0.025759,0,0,0.0217615,0.010549,0.0357566,0.0078941,0.00703067,0.00647149,0.0125076,0.019965,0.0148586,0.0176277,0.0166148,0.0158618,0.0230138,0.0132946,0.00362926,0.00746131,0.00239146,0.0118059
10,0.0334702,0.0160926,0.0123774,0.00413056,0.0152643,0,0.0350679,0.0101779,0.0114803,0.0110238,0.0275911,0.0248222,0,0,0.0232092,0.00881902,0.00843891,0.00629884,0.0100163,0.0111793,0.0100756,0.00698424,0.00488955,0.00297288,0.00458328,0.0172411,0,0.0240893,0.00678382,0.0286507,0.0251522,0,0,0.02169,0.0105542,0.0355247,0.00816507,0.00689062,0.00710031,0.0114998,0.0201877,0.0146283,0.0184077,0.017921,0.0158494,0.0240729,0.0143614,0.00493124,0.00916863,0.00286516,0.0101964
11,0.0332226,0.0154149,0.0117633,0.00457081,0.0147478,0,0.0344822,0.00960468,0.0116041,0.0117657,0.0277001,0.0251076,0,0,0.0250979,0.0118733,0.0105921,0.00712519,0.0101022,0.00912842,0.011592,0.00729194,0.00322492,0.00294734,0.00451719,0.0170755,0,0.0242047,0.00616599,0.0280367,0.0245555,0,0,0.0214991,0.010432,0.034985,0.00841713,0.00639964,0.00781249,0.0107466,0.020137,0.0139547,0.0187919,0.01881,0.0154422,0.0247799,0.0150933,0.00619268,0.0109248,0.00364895,0.00844853
12,0.033177,0.0147483,0.0112304,0.00522466,0.0141507,0,0.0338228,0.0089819,0.0116811,0.0125629,0.027708,0.025299,0,0,0.0267952,0.0142537,0.0121584,0.00785121,0.0109247,0.00713386,0.0133202,0.00795857,0.00336866,0.0028291,0.00434879,0.016771,0,0.0242412,0.00546438,0.0273992,0.0240337,0,0,0.0212485,0.0102352,0.0342634,0.00860839,0.00584906,0.00858146,0.0102249,0.0198963,0.0129729,0.0187645,0.0191811,0.0147929,0.0250416,0.0153046,0.00695944,0.0124207,0.00419428,0.00673163
13,0.0332897,0.0141301,0.0107656,0.00611344,0.013517,0,0.0331324,0.00835392,0.0116981,0.0132972,0.0276361,0.0254327,0,0,0.0281853,0.0158167,0.0130293,0.00823737,0.0123218,0.00561853,0.0150894,0.00891914,0.00507497,0.00264425,0.00413069,0.01642,0,0.0242262,0.0047325,0.0267787,0.0236298,0,0,0.0209757,0.00999888,0.0334901,0.00870954,0.00544676,0.00938474,0.00989881,0.0195677,0.0119093,0.0183993,0.0190123,0.0141401,0.0248137,0.014945,0.00706354,0.0135034,0.00438049,0.00518965
14,0.0335141,0.0135777,0.0103622,0.00692498,0.012887,0,0.0324486,0.00775878,0.0116603,0.0138001,0.0275095,0.0255339,0,0,0.0292018,0.0166104,0.0132425,0.00825811,0.0140256,0.00518324,0.0167632,0.0101069,0.0070224,0.00241104,0.00390991,0.0161037,0,0.0241849,0.004032,0.0262056,0.0233681,0,0,0.0207063,0.0097486,0.0327778,0.00870771,0.00526058,0.0102025,0.0097333,0.0192497,0.0110162,0.0178495,0.0183918,0.0137121,0.0241207,0.0141182,0.00651969,0.0141408,0.00426296,0.00388714
15,0.0338061,0.0130961,0.0100213,0.00730456,0.0122986,0,0.0318031,0.00722293,0.0115889,0.0139898,0.0273591,0.0256175,0,0,0.0298572,0.0168126,0.012939,0.00803836,0.0157826,0.00595126,0.0182468,0.0114475,0.00867475,0.00214776,0.0037289,0.0158761,0,0.0241444,0.00342434,0.0257031,0.0232588,0,0,0.0204611,0.00950614,0.0322014,0.0086023,0.00526502,0.0110193,0.00969553,0.0190078,0.0105051,0.0173127,0.0175316,0.0136378,0.023049,0.0130376,0.00547948,0.01437,0.00397117,0.00283383
16,0.0341329,0.0126818,0.00975675,0.00709777,0.0117851,0,0.0312174,0.00675565,0.0115172,0.0139411,0.027217,0.0256869,0,0,0.0302365,0.0166713,0.0123285,0.00776363,0.0174024,0.00732259,0.0194877,0.0128671,0.00990469,0.00188246,0.00362243,0.015755,0,0.0241307,0.00296529,0.0252854,0.0232989,0,0,0.0202552,0.00928964,0.0317884,0.00840111,0.00542261,0.0118267,0.00975394,0.0188589,0.0104873,0.0169673,0.0167212,0.0139155,0.0217239,0.0119499,0.00420113,0.0142566,0.00366257,0.00207199
17,0.0344662,0.0123305,0.00959248,0.00640014,0.011371,0,0.0307072,0.0063576,0.0114863,0.013834,0.0271021,0.025739,0,0,0.030454,0.0164383,0.0116577,0.00759123,0.0187594,0.00876333,0.020465,0.0142909,0.0107807,0.00164986,0.00361034,0.0157196,0,0.024165,0.00270913,0.0249578,0.0234819,0,0,0.0200945,0.00911088,0.0315197,0.00811542,0.00570295,0.0126226,0.00989038,0.018771,0.0109128,0.016889,0.0161991,0.014431,0.0202817,0.0110407,0.00302833,0.0138705,0.00347623,0.00174515
18,0.0347846,0.0120432,0.00955323,0.00548776,0.0110669,0,0.0302823,0.00603164,0.0115186,0.0138157,0.0270182,0.0257731,0,0,0.0306114,0.0163196,0.0111748,0.00762018,0.0197802,0.0100173,0.0211756,0.0156363,0.0113892,0.0014902,0.00369293,0.0157184,0,0.0242561,0.00270985,0.0247118,0.0237951,0,0,0.0199657,0.00896702,0.0313428,0.00775844,0.00606232,0.0133931,0.0100941,0.0186819,0.0115734,0.0170099,0.0160169,0.0150066,0.0188442,0.010356,0.0023334,0.0132789,0.0034737,0.00189812
