Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
137,0.0192321,0.0117799,0.0132008,0.00854201,0.0475593,0.00750056,0.00780515,0.0106059,0.0072511,0.0132937,0.0184359,0.035258,0.044473,0.0436257,0.00817675,0.0138815,0.0115718,0.0292386,0.00696444,0.00991096,0.00900532,0.00970616,0.0121553,0.0216384,0.00927837,0.00942354,0.00326405,0.0138777,0.015358,0.0454253,0.0127315,0.0118515,0.0167223,0.00928269,0.0168821,0.0281908,0.0290686,0.011721,0.0105074,0.0116312,0.00953827
138,0.020295,0.0124776,0.0128019,0.00833043,0.048859,0.00507127,0.00674404,0.0093161,0.00669175,0.0137309,0.0163893,0.0354727,0.0438317,0.0434194,0.0115855,0.0153094,0.00881492,0.0302485,0.0066806,0.0114842,0.0074554,0.00918516,0.0122772,0.0214724,0.00755445,0.00759431,0.00365415,0.0105535,0.0134664,0.0439076,0.0121718,0.0121278,0.0164503,0.00913711,0.0166383,0.0287118,0.0296383,0.0120699,0.00763328,0.00963733,0.00717852
139,0.0207058,0.0127527,0.0121497,0.00779394,0.0508863,0.00334056,0.00519598,0.0085924,0.00656361,0.0149929,0.0137123,0.0354854,0.0429505,0.0434775,0.0139372,0.0164458,0.00697849,0.0318385,0.00767302,0.0119516,0.00660464,0.00898028,0.0121298,0.0202889,0.00633649,0.00646018,0.00479579,0.00768188,0.0117118,0.0423103,0.0115931,0.0117365,0.0150075,0.00937717,0.0172322,0.0295089,0.0298715,0.0116955,0.00590447,0.00917747,0.00499325
140,0.0210186,0.0128191,0.0110351,0.00711832,0.0532191,0.00297635,0.00391126,0.00857973,0.00666805,0.0164113,0.0109468,0.0354468,0.0419265,0.0437135,0.0147114,0.0177787,0.0077683,0.0333521,0.00876484,0.0113279,0.00635739,0.00914338,0.0119717,0.0185124,0.00586578,0.00661744,0.0055793,0.00600898,0.011245,0.0406206,0.0117477,0.0111743,0.0128133,0.00981095,0.0181079,0.0295942,0.029467,0.0111927,0.005417,0.00935313,0.00420327
141,0.0216817,0.0127669,0.0094951,0.00662422,0.055127,0.00387928,0.00430375,0.00916532,0.00696849,0.0171449,0.00824238,0.0357709,0.0410258,0.0439414,0.0144833,0.019362,0.0100861,0.0340452,0.00928549,0.00999033,0.00617533,0.00970536,0.0118663,0.0167728,0.00594601,0.00742838,0.00584271,0.00555573,0.0123021,0.0387956,0.0124645,0.0106799,0.0102872,0.00955533,0.0186108,0.0279841,0.0277682,0.011491,0.00571082,0.0093402,0.00514362
142,0.022639,0.0126046,0.00776283,0.0067718,0.0558651,0.00530401,0.00579958,0.00988855,0.00724598,0.0166324,0.00574472,0.0364038,0.0402155,0.043812,0.0137809,0.0206748,0.0121051,0.0334686,0.00929978,0.00835126,0.0055063,0.0104802,0.0117406,0.0157597,0.00643308,0.00846113,0.00583854,0.00597162,0.0142276,0.0369568,0.0131575,0.0103818,0.00820342,0.00858386,0.0182218,0.0247501,0.0245264,0.0130186,0.00641629,0.00938982,0.00651919
143,0.0235646,0.0123253,0.00629058,0.00762386,0.0549052,0.00658804,0.00707113,0.0102309,0.00715697,0.0150055,0.00371632,0.0366588,0.0391026,0.0429086,0.0127653,0.0211197,0.0130567,0.031577,0.00938182,0.00677369,0.00452578,0.0110402,0.0115773,0.0157432,0.00729337,0.00974059,0.0058588,0.0069325,0.0159029,0.0355109,0.0136264,0.0104274,0.00746143,0.00752538,0.0169638,0.0212838,0.0203519,0.015079,0.00758779,0.00994515,0.00791416
144,0.0242123,0.0120364,0.00569807,0.00899184,0.0520981,0.00731368,0.00760619,0.00998149,0.00661131,0.0129971,0.00261167,0.0357322,0.0372079,0.0408952,0.0115653,0.0206251,0.0130278,0.0286758,0.0101759,0.00569972,0.00424371,0.0111297,0.0114997,0.0165381,0.00853363,0.0115334,0.00609463,0.00837935,0.016801,0.0348728,0.0140476,0.0109233,0.00815962,0.00660428,0.0155274,0.0189785,0.0163948,0.0165129,0.00937114,0.0110446,0.00963444
145,0.0246101,0.0119513,0.00648345,0.0103403,0.0477318,0.0073821,0.00744259,0.00922784,0.00601544,0.0115277,0.00241057,0.033264,0.0342177,0.037619,0.0108372,0.0198274,0.0127601,0.0252316,0.0118197,0.00557447,0.00512192,0.0109521,0.0116267,0.0175695,0.0101873,0.0139034,0.00664736,0.0104154,0.0174385,0.0350494,0.0144205,0.0117449,0.00922409,0.00569623,0.014586,0.0179346,0.0137661,0.0165865,0.0117455,0.012606,0.0120619
146,0.0250246,0.0122523,0.00838975,0.0111688,0.0424522,0.00699033,0.00711204,0.00820877,0.00600253,0.0111746,0.00245686,0.0293203,0.0300787,0.0331399,0.0116316,0.0195092,0.0128771,0.0216666,0.0139352,0.00640208,0.00634014,0.0109692,0.0118199,0.0182414,0.0122756,0.0165344,0.00752101,0.012994,0.0185458,0.035707,0.0144398,0.0124843,0.00931307,0.00544203,0.0141873,0.0176587,0.0132859,0.0157128,0.0146031,0.0147224,0.0153166
147,0.0257176,0.0129719,0.0107161,0.0115333,0.0370697,0.00644963,0.00731493,0.00722357,0.00660889,0.0116757,0.00281035,0.0240689,0.0249794,0.0277229,0.013443,0.0196531,0.0133146,0.0184282,0.0160338,0.00777304,0.00734402,0.0114109,0.0117346,0.0187744,0.0146364,0.018948,0.0085718,0.0157309,0.0201945,0.036863,0.013971,0.012692,0.00783493,0.00710076,0.0144423,0.0180389,0.0146222,0.0155114,0.0177527,0.0175539,0.0190828
148,0.0267097,0.0139538,0.0128352,0.0115972,0.0323764,0.00598382,0.0080835,0.0065663,0.00730658,0.0121882,0.00320861,0.0177647,0.0193513,0.0219063,0.0142616,0.0192848,0.0137704,0.0164611,0.0176986,0.00928289,0.00826844,0.0120813,0.0112054,0.01917,0.0168485,0.0207444,0.00952995,0.018067,0.0219058,0.0387336,0.0133862,0.0120887,0.00578954,0.0094831,0.0157552,0.0190413,0.0158208,0.0167726,0.0208594,0.0208641,0.0227041
149,0.0277369,0.0149206,0.0142892,0.0113324,0.0289318,0.00567659,0.00878951,0.00642961,0.00774417,0.0120468,0.0032451,0.0110606,0.0139264,0.0165545,0.0129115,0.0173425,0.0137066,0.0169193,0.0185085,0.0105944,0.00954721,0.0125992,0.0104445,0.0178036,0.018424,0.0217113,0.0101428,0.0195831,0.0232435,0.0404425,0.0132365,0.01063,0.00497997,0.0103562,0.0177363,0.0202551,0.0150942,0.0183409,0.0234732,0.0238963,0.0254952
150,0.0283994,0.0156334,0.0149063,0.0107904,0.026752,0.00554315,0.00898354,0.00681795,0.00788377,0.0111605,0.0033321,0.00521478,0.0096224,0.0125571,0.0100973,0.013659,0.0123747,0.0192584,0.018145,0.0113634,0.0111047,0.0126818,0.00986258,0.0139069,0.0190703,0.02181,0.0103563,0.0201472,0.0241114,0.0410929,0.0136732,0.00868274,0.00454799,0.0088976,0.0193595,0.021165,0.0123622,0.0199129,0.0251149,0.0258306,0.0270272
151,0.0283874,0.016032,0.0148118,0.0101497,0.0253782,0.00559048,0.00863495,0.00757772,0.00779114,0.00987845,0.00396079,0.00394952,0.00731647,0.0103285,0.00779277,0.00930742,0.0096429,0.0215234,0.0167471,0.0112651,0.012244,0.0122616,0.00971306,0.0103667,0.0188289,0.02116,0.0103995,0.0199044,0.0246954,0.0415635,0.0143313,0.00737856,0.00352551,0.00624282,0.0201106,0.0217753,0.00981905,0.0224566,0.0255066,0.0263096,0.0273037
152,0.0276143,0.0162422,0.0143227,0.00965535,0.0245276,0.00579413,0.00794349,0.00847521,0.00752237,0.00860033,0.00483832,0.00737423,0.00714679,0.00968274,0.00679248,0.00595859,0.00595532,0.0226064,0.0149666,0.0102033,0.0123884,0.0114646,0.00988516,0.0106101,0.0179542,0.0199988,0.0105517,0.0191594,0.0252607,0.0430446,0.0147358,0.0078184,0.00416604,0.00461451,0.0202542,0.0225336,0.0104498,0.025271,0.0248066,0.0255934,0.0267308
153,0.0262379,0.0164511,0.0137881,0.00967219,0.0245275,0.00607513,0.00713866,0.00927314,0.0071149,0.00755211,0.00561958,0.0107438,0.0083246,0.0105616,0.00591185,0.0049228,0.00308854,0.022938,0.0134694,0.00850571,0.0115589,0.0104774,0.0100753,0.011773,0.0166713,0.018594,0.010782,0.0182143,0.0259507,0.0459215,0.0146555,0.00913453,0.00601008,0.00453754,0.0202705,0.0234028,0.0129056,0.0266085,0.0235528,0.0243253,0.0258659
154,0.0245808,0.0167213,0.0133939,0.01035,0.0254351,0.00632258,0.00637027,0.00977704,0.00660158,0.00688957,0.00615552,0.0133959,0.0104769,0.0130413,0.00511104,0.00600077,0.00837793,0.0236899,0.012516,0.0067904,0.0102679,0.00945176,0.0101408,0.0115452,0.0150747,0.017154,0.0107955,0.0172381,0.0267056,0.0504423,0.0141452,0.00988065,0.00682234,0.00469135,0.0203036,0.0237303,0.0144696,0.0262066,0.0223016,0.0231151,0.0250991
155,0.0229932,0.0169305,0.0130742,0.0112992,0.0261711,0.00643578,0.00567016,0.0098993,0.00601315,0.00675552,0.00628169,0.0153621,0.0131389,0.0161946,0.0057092,0.00822294,0.0153332,0.0255557,0.0120451,0.00560317,0.00908838,0.0084996,0.0102211,0.0104181,0.0132395,0.015799,0.0104177,0.0162423,0.0273478,0.055641,0.0133854,0.00969231,0.00652906,0.00518279,0.0202129,0.0232576,0.0146143,0.0250376,0.0212964,0.0222267,0.0244718
156,0.0217134,0.016889,0.0126397,0.0120374,0.025775,0.00632788,0.00502974,0.00968744,0.0054218,0.00715208,0.00599846,0.0165851,0.0151555,0.0184321,0.00750691,0.0113159,0.0193955,0.0283062,0.0118612,0.00516474,0.00829284,0.00773677,0.0105193,0.00893146,0.0113279,0.0145683,0.00978621,0.015124,0.0277675,0.0595984,0.0125126,0.00916257,0.00648526,0.00669928,0.0199,0.0224563,0.0140854,0.023559,0.0204427,0.0215731,0.0237058
157,0.0208662,0.016484,0.0119033,0.0125548,0.0245641,0.00598916,0.00451892,0.00933477,0.00494096,0.00789301,0.00564979,0.0167011,0.0153693,0.0185446,0.00946883,0.0143732,0.0192819,0.0306821,0.0116595,0.00543227,0.0078215,0.00721142,0.011061,0.00734959,0.00961004,0.0134576,0.009192,0.013783,0.0280106,0.061357,0.0116443,0.0092415,0.00783477,0.00907008,0.0194081,0.0217545,0.0136979,0.0211364,0.0195359,0.0209563,0.02241
158,0.020478,0.0157546,0.0108075,0.0132432,0.0235959,0.00543893,0.00430489,0.00903565,0.00472525,0.00880135,0.00559417,0.0155727,0.0132814,0.0162267,0.011044,0.0155747,0.0170416,0.0309222,0.0112226,0.00632887,0.00747855,0.00697252,0.0117801,0.00656153,0.00826117,0.012419,0.00878993,0.0121877,0.0282077,0.0612216,0.0110995,0.0104548,0.0100868,0.011689,0.0188188,0.0209705,0.0137986,0.0170323,0.0184228,0.0202232,0.0202825
159,0.0205586,0.0148318,0.00939342,0.0143779,0.0234899,0.00472907,0.00443617,0.00885351,0.00490983,0.0098201,0.00600866,0.0139164,0.00962623,0.0122717,0.0118593,0.0139374,0.01596,0.0283916,0.0105733,0.00764465,0.00709217,0.007141,0.0126653,0.00739913,0.00718158,0.0113102,0.00846287,0.0103448,0.0283625,0.0598401,0.0112155,0.0127352,0.0126256,0.014276,0.018094,0.0196276,0.0142845,0.0116402,0.0169583,0.0192589,0.0172044
160,0.0211585,0.0138304,0.00771896,0.0155758,0.0237553,0.00396949,0.00467338,0.00865711,0.00550143,0.0108641,0.00693247,0.0129736,0.00787375,0.00929287,0.0116475,0.0108829,0.0172009,0.0248275,0.00983674,0.00886405,0.00641442,0.0078634,0.0136633,0.00907928,0.0061768,0.00981689,0.007895,0.00815689,0.0281099,0.0577894,0.0118497,0.0156578,0.0153347,0.0168411,0.01698,0.0173866,0.0147251,0.00775645,0.0148465,0.0178214,0.0131652
161,0.0222186,0.0128589,0.0060654,0.0160175,0.0230969,0.00319174,0.00483326,0.00816288,0.00633989,0.0116008,0.00806055,0.012742,0.0105134,0.0102892,0.0102586,0.00965573,0.019717,0.0219147,0.0092243,0.0095339,0.00486333,0.00915822,0.0144581,0.010621,0.00547001,0.00754263,0.00684706,0.00549424,0.0268239,0.0556591,0.0124888,0.0186013,0.0182103,0.0192768,0.0151868,0.0142179,0.0147897,0.00957221,0.0116929,0.015553,0.00822137
162,0.0232897,0.0121261,0.00564689,0.0154702,0.0215993,0.0024476,0.00535218,0.00716838,0.00718009,0.0115488,0.00914119,0.0117323,0.0135069,0.0132122,0.00828016,0.0114077,0.0222078,0.0188791,0.00977985,0.0102847,0.00234296,0.0108741,0.0146333,0.0117245,0.00596975,0.00436176,0.00579545,0.00350725,0.0243197,0.0539819,0.0126394,0.0209425,0.0209994,0.0211097,0.0128656,0.0106302,0.0147558,0.0135678,0.00744455,0.0125131,0.00290333
163,0.0236451,0.0118651,0.00733305,0.0148797,0.0218208,0.00304645,0.0067296,0.00602342,0.00784287,0.0106245,0.0103217,0.0095333,0.0149843,0.0154595,0.00928401,0.0151745,0.0245451,0.015436,0.0132571,0.0131169,0.0051946,0.0127825,0.0140822,0.0125508,0.00796719,0.000757407,0.0061273,0.005938,0.0216236,0.0530411,0.0120247,0.0223457,0.0231679,0.0218388,0.010677,0.00774269,0.0153008,0.0163362,0.00349594,0.00986897,0.00392868
164,0.0229533,0.0120369,0.00962036,0.0159184,0.0254786,0.00560858,0.00833359,0.00606389,0.00854525,0.00972097,0.0118631,0.00778682,0.0155295,0.0167739,0.0146265,0.0200116,0.0276104,0.0131372,0.0192147,0.0184583,0.0112849,0.0147122,0.0130215,0.0134356,0.0104421,0.00270377,0.00774036,0.0101869,0.0204883,0.0528411,0.0108125,0.0228116,0.0241422,0.0214097,0.00903265,0.00684924,0.0164929,0.0173681,0.0051892,0.00926635,0.00858636
165,0.0217268,0.0122501,0.0112021,0.0192266,0.0307432,0.00884008,0.00973281,0.00809213,0.0100947,0.0103169,0.0137672,0.00831487,0.0166096,0.0181038,0.0199368,0.0249615,0.0317855,0.0128203,0.0251204,0.0244005,0.0166849,0.0166126,0.011563,0.0145163,0.0122907,0.00519434,0.00887775,0.0137566,0.0214731,0.0532142,0.00963004,0.0224939,0.0237871,0.0203115,0.00762095,0.00816775,0.0177357,0.0172113,0.00902828,0.0102157,0.0118498
166,0.0208985,0.0121394,0.0118838,0.022952,0.035138,0.011815,0.0115261,0.0108714,0.0124447,0.0122429,0.0155883,0.0110729,0.0195249,0.0200888,0.0225978,0.0295514,0.0363782,0.0136435,0.0284109,0.0289257,0.0199409,0.0182774,0.00964399,0.0156102,0.0128563,0.0069683,0.008541,0.0158583,0.0232916,0.0538168,0.00902315,0.0215805,0.0226538,0.0192405,0.00625552,0.0106533,0.0185269,0.0169168,0.0115628,0.0109982,0.0134666
167,0.0211147,0.0116848,0.012121,0.024439,0.0374562,0.0138243,0.0134093,0.0129739,0.0140334,0.0136786,0.0167034,0.014344,0.0232258,0.0219168,0.0226829,0.0330613,0.0399142,0.0143742,0.028047,0.0309797,0.0207635,0.0192783,0.00748951,0.0165674,0.0121092,0.00839619,0.0070925,0.0164922,0.0242638,0.0542103,0.00887321,0.0202849,0.0215574,0.0185407,0.00637008,0.0133395,0.018579,0.0175804,0.0122775,0.0111027,0.0138295
168,0.0223191,0.0111254,0.0123948,0.0226524,0.0375136,0.0143921,0.0137974,0.0135891,0.0135813,0.0134904,0.0169178,0.0164263,0.0254232,0.0222365,0.0218102,0.034528,0.0410463,0.0141668,0.0252485,0.0307349,0.0196625,0.0193526,0.00577218,0.0175941,0.0105777,0.00916894,0.005969,0.0160669,0.0235245,0.0541848,0.0087075,0.0188587,0.020871,0.0180777,0.00949423,0.0154457,0.0177154,0.0197221,0.0115314,0.0109803,0.0134271
169,0.0238774,0.0106467,0.0128305,0.0189241,0.0355556,0.0135423,0.01206,0.0127132,0.01125,0.0121652,0.016533,0.0169271,0.0251567,0.0206162,0.0213965,0.0337957,0.0397528,0.0127153,0.0225511,0.0291627,0.0173674,0.0186695,0.00481892,0.0190113,0.00894199,0.00869285,0.0058179,0.0149359,0.0213581,0.0538787,0.00800511,0.0175426,0.0202786,0.0177182,0.0138331,0.016276,0.0159239,0.0229452,0.0101421,0.0110313,0.0124587
170,0.0252157,0.0102816,0.0131334,0.0156334,0.0320001,0.0118494,0.0092283,0.0110296,0.00823732,0.0112826,0.0160481,0.0165054,0.0230553,0.0177437,0.0216085,0.0317805,0.0373556,0.0101392,0.021676,0.0272155,0.0144718,0.0176422,0.00408511,0.020775,0.00766078,0.0070478,0.00552416,0.0133671,0.0187763,0.0534927,0.00633184,0.0165441,0.0192563,0.0175737,0.0173101,0.0155019,0.0134567,0.026363,0.00883004,0.0111186,0.0109542
171,0.0262318,0.00994429,0.012972,0.0138006,0.0275683,0.0101183,0.00678438,0.00939974,0.00578898,0.0117128,0.0159818,0.0159928,0.0204394,0.0147358,0.0215571,0.0297148,0.0353498,0.00683743,0.0222742,0.0254271,0.0114117,0.0165368,0.00326112,0.022509,0.00691443,0.00493318,0.00442171,0.0117831,0.0167633,0.0529851,0.00438295,0.0160657,0.0176931,0.0176706,0.0188833,0.0134597,0.0109974,0.0292678,0.00793334,0.0109431,0.00907412
172,0.0270827,0.00945898,0.0124467,0.0127802,0.0233263,0.00901502,0.00538012,0.00838936,0.00463513,0.0127999,0.0165392,0.0159852,0.0184811,0.0124799,0.020209,0.0281523,0.0343762,0.00388209,0.0227548,0.0239727,0.00862159,0.0153479,0.00265516,0.0237698,0.00670058,0.0029092,0.00288305,0.0105448,0.0155122,0.0519575,0.00509971,0.0160614,0.0159389,0.0176568,0.0185121,0.0110074,0.00971852,0.031396,0.00760232,0.010489,0.00699326
173,0.0278572,0.00863523,0.0120139,0.0123358,0.020434,0.00876521,0.00482295,0.00808409,0.00474296,0.013818,0.0173517,0.0167408,0.0177837,0.0114679,0.0172211,0.0265696,0.0339351,0.00430565,0.0218635,0.022868,0.00654719,0.014158,0.00255473,0.0241446,0.0069104,0.00126336,0.00173641,0.00963439,0.0143861,0.0500023,0.00790269,0.0160035,0.014377,0.017044,0.0168245,0.00904407,0.0104517,0.0327124,0.00817889,0.0102478,0.00478121
174,0.0285631,0.00749652,0.0119369,0.0127663,0.0194438,0.00921323,0.00494162,0.00835048,0.00552134,0.0145714,0.0179248,0.0183472,0.0184403,0.0118885,0.0131618,0.0241877,0.0330747,0.0071275,0.0197159,0.022156,0.00560201,0.0132898,0.00322638,0.0232842,0.00732923,0.00084792,0.00145322,0.00866216,0.0128751,0.0471493,0.0105745,0.0153326,0.0130638,0.015563,0.0146506,0.00847872,0.0126774,0.033095,0.00983751,0.0109278,0.00292076
175,0.0293033,0.00629561,0.0119759,0.0138857,0.019884,0.0101225,0.0057829,0.00908203,0.00652669,0.0151139,0.0181484,0.0205502,0.0201522,0.0135638,0.00919772,0.0209994,0.031507,0.00978496,0.0175763,0.0217582,0.00602014,0.0131808,0.00512014,0.0210292,0.00774578,0.00139496,0.00143375,0.0072283,0.0112841,0.0440227,0.0128815,0.0139038,0.0117296,0.0132337,0.0128232,0.010327,0.0153585,0.0323499,0.0123053,0.0128463,0.00383747
176,0.0303326,0.00529828,0.0117291,0.0149276,0.0205499,0.0113429,0.00727772,0.0102261,0.00766767,0.015573,0.0182362,0.0224758,0.0220532,0.0156641,0.00676856,0.0179455,0.0301172,0.012448,0.0168053,0.021558,0.00770033,0.0140992,0.00788573,0.0176176,0.00811286,0.00196719,0.00201271,0.0051806,0.0103121,0.0415184,0.0150322,0.0118925,0.0100764,0.01026,0.0122857,0.0141538,0.0175309,0.0304633,0.015162,0.0157134,0.00700066
177,0.031897,0.00452228,0.0111554,0.0151341,0.0205592,0.0127583,0.00921827,0.0117111,0.00903087,0.0161129,0.0183855,0.0230177,0.0228002,0.0169754,0.00653334,0.0162212,0.0303695,0.0164792,0.0178079,0.0216676,0.0102995,0.0157771,0.0104734,0.0137676,0.00857421,0.00336143,0.00359487,0.00270205,0.0102884,0.0402712,0.0169606,0.00944375,0.008056,0.00698277,0.0134023,0.01809,0.0184065,0.0278333,0.0179649,0.0189845,0.0105796
178,0.0340178,0.00399642,0.0105581,0.0143999,0.0200186,0.0142433,0.0113263,0.0133495,0.0105952,0.0168588,0.0185804,0.021789,0.021411,0.0167599,0.00744721,0.0161894,0.0328166,0.0216665,0.0198555,0.0222783,0.0133153,0.0176212,0.0121404,0.0104367,0.00927125,0.00551661,0.00541565,0.000771502,0.0110545,0.0402159,0.0184273,0.00649609,0.00592523,0.0039329,0.0148258,0.0202174,0.0176508,0.0251514,0.0202402,0.0221246,0.014002
179,0.0363786,0.00403841,0.0102739,0.0133684,0.0191568,0.0156864,0.0132611,0.0148006,0.0121271,0.0177613,0.018679,0.0195938,0.0181889,0.0154191,0.00859951,0.0169022,0.0357745,0.0252684,0.0218725,0.0233299,0.0161671,0.0191633,0.0129022,0.00834026,0.0101435,0.00764962,0.00684629,0.00237853,0.0122706,0.0409243,0.0193519,0.00290482,0.00415744,0.00205308,0.0148721,0.0194078,0.015531,0.0229762,0.0215969,0.0246388,0.0168983
180,0.0383771,0.00455911,0.0106213,0.0129192,0.0177201,0.0170058,0.0147275,0.0157296,0.0133616,0.0185894,0.0185766,0.0177989,0.015125,0.0145329,0.00955025,0.0169843,0.036341,0.0245319,0.0233063,0.0245054,0.0183906,0.020106,0.0131251,0.00789398,0.0110207,0.00905684,0.00770818,0.00380669,0.0135021,0.042282,0.0199036,0.00141479,0.00395689,0.00285611,0.0133918,0.0158948,0.0128659,0.0214268,0.0218346,0.0260132,0.0188803
181,0.0394044,0.00497114,0.011379,0.01351,0.0168478,0.0181098,0.015532,0.0160269,0.0141458,0.0191009,0.0182902,0.0172306,0.0150896,0.0157484,0.0101365,0.0156863,0.0329382,0.0188955,0.0243073,0.0254455,0.0197579,0.0203725,0.0128624,0.00919411,0.0117939,0.00945934,0.00821788,0.00448717,0.0143,0.0442907,0.0203235,0.00587662,0.00619491,0.0052246,0.0119525,0.0111817,0.0106322,0.0203405,0.0210468,0.0258454,0.0196511
182,0.0391616,0.00498813,0.0119078,0.0147845,0.0189529,0.0188854,0.0156118,0.0158711,0.0144992,0.0192855,0.017884,0.0180729,0.0186497,0.0190844,0.0107198,0.0132103,0.0267123,0.0113084,0.0250927,0.0258853,0.0203106,0.0201881,0.0118363,0.0112606,0.0124292,0.00911307,0.00866145,0.00480882,0.0144536,0.0465056,0.0206926,0.010326,0.00945002,0.0078738,0.0119924,0.00764661,0.00895881,0.0194674,0.0196726,0.0241339,0.0192277
183,0.0378441,0.00479531,0.01237,0.0158479,0.0236954,0.0192652,0.0150343,0.0155897,0.0145596,0.019293,0.017316,0.0202154,0.0239864,0.0234963,0.0119466,0.010465,0.0208582,0.0110102,0.0253786,0.0256342,0.0202711,0.0199516,0.0100004,0.0123614,0.0128775,0.00864442,0.00907757,0.00534011,0.0142213,0.0481237,0.0208623,0.0142605,0.0122515,0.00976312,0.012991,0.00766734,0.00713292,0.0189148,0.0184064,0.0214821,0.0181097
184,0.0360313,0.00478993,0.0133398,0.0160781,0.0303867,0.0192806,0.0140278,0.0154445,0.014466,0.0191133,0.0163541,0.0233625,0.0300172,0.0286178,0.0142136,0.00986123,0.0187781,0.0194785,0.0247675,0.0246416,0.0199299,0.0199604,0.00796841,0.0113108,0.0129908,0.00873411,0.00927294,0.00622833,0.0142626,0.0483293,0.0205921,0.0171429,0.0139317,0.01082,0.0139725,0.0101231,0.0069445,0.0193805,0.0179233,0.0189765,0.0171658
185,0.0343425,0.00523715,0.0146633,0.0156699,0.0405197,0.0190653,0.0129424,0.0155279,0.0142088,0.0185944,0.0147426,0.0275353,0.0368672,0.0350959,0.017472,0.0152222,0.0222928,0.029973,0.0232988,0.023077,0.0194948,0.0202414,0.00697373,0.00876188,0.0125083,0.00973884,0.00902676,0.00729808,0.0152412,0.0464353,0.0196607,0.0187843,0.0151965,0.012641,0.0146506,0.0133741,0.0112846,0.0216546,0.0185285,0.0176969,0.017147
186,0.0330793,0.00612607,0.015934,0.0153369,0.0552063,0.0189526,0.012114,0.0160537,0.0136774,0.0177359,0.0124201,0.033276,0.0452621,0.0438374,0.0215052,0.0260608,0.0311789,0.0419958,0.0213253,0.0211882,0.0189982,0.0206547,0.00808695,0.0100484,0.011137,0.0116425,0.00831463,0.0086213,0.0174774,0.0420573,0.0178645,0.0199539,0.017819,0.016876,0.0150624,0.0175674,0.017526,0.0263773,0.0201515,0.0181469,0.0182725
