Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
102,0.0191935,0.0117806,0.0121121,0.0173405,0.0180627,0.00700441,0.00591426,0.0114512,0.00741356,0.0074298,0.0147573,0.00295051,0.0120387,0.0131156,0.0167034,0.010867,0.0181004,0.00612942,0.0160608,0.0158527,0.0112331,0.0138829,0.00834474,0.0143841,0.00827481,0.00271516,0.00893517,0.0112616,0.0210992,0.0594552,0.00957643,0.0240449,0.0263221,0.0220347,0.00247769,0.0113466,0.0192035,0.00946233,0.00544879,0.00775696,0.00935271
103,0.0171944,0.0118006,0.0126918,0.0160212,0.0224376,0.00939352,0.00944827,0.0125763,0.0100923,0.00862283,0.016961,0.00420326,0.0135719,0.0145965,0.020112,0.0159624,0.023557,0.00679372,0.0204639,0.0183721,0.0150738,0.015492,0.00650732,0.0151969,0.0098931,0.00488046,0.00886308,0.0147791,0.0216943,0.0595876,0.0111053,0.0227467,0.025291,0.0202944,0.0022286,0.0138847,0.0206579,0.00852737,0.00861881,0.00956966,0.0124212
104,0.0168674,0.0115497,0.0126206,0.0146506,0.0256612,0.011873,0.0132779,0.0139595,0.0127083,0.00980518,0.018679,0.00719817,0.0167679,0.0167033,0.0200161,0.0201328,0.0278721,0.00805606,0.0215762,0.0185842,0.0169101,0.0168926,0.00529725,0.0160877,0.0103456,0.00668254,0.0077432,0.0169065,0.0219476,0.0596682,0.0119796,0.0211261,0.0240646,0.0188982,0.00525925,0.016376,0.0215614,0.00769698,0.0106786,0.0108399,0.0141715
105,0.0182151,0.0112513,0.012604,0.0137643,0.0269583,0.0133301,0.0158219,0.0146596,0.0137651,0.00966187,0.0196844,0.00996546,0.0199228,0.0180442,0.0179056,0.0220493,0.0292307,0.00872605,0.0200898,0.0170563,0.0169006,0.0178742,0.00510128,0.0169432,0.00933254,0.0085251,0.00550792,0.0178712,0.0215117,0.0595102,0.0118899,0.0194739,0.0232829,0.0181369,0.00910095,0.0181478,0.0217083,0.00807207,0.0115569,0.0117313,0.0150012
106,0.0201199,0.0110715,0.0131892,0.0136768,0.0263741,0.0131961,0.0157653,0.0142958,0.0126169,0.00837451,0.0200086,0.0111579,0.0211329,0.0176344,0.016058,0.021265,0.0276153,0.00829142,0.017904,0.0151226,0.0154273,0.0183923,0.00569306,0.0180674,0.00724814,0.00973281,0.00297147,0.0180271,0.0208637,0.0590789,0.010981,0.0179842,0.0228352,0.0178823,0.0127937,0.0185112,0.020924,0.0102923,0.0116646,0.0125592,0.0151939
107,0.0214152,0.0109385,0.0144416,0.0141363,0.0243342,0.0116789,0.0136146,0.013231,0.0100951,0.00707669,0.0198685,0.01095,0.020066,0.0156838,0.0156297,0.0186037,0.0248214,0.00683771,0.0164724,0.0138371,0.0130622,0.0185244,0.00633487,0.0197766,0.00494342,0.00947796,0.00164234,0.0176135,0.0205419,0.058514,0.00942027,0.016763,0.0222279,0.0179529,0.0155742,0.0172033,0.0190311,0.0135844,0.011463,0.0132542,0.0148419
108,0.0218678,0.0106937,0.0160955,0.0143364,0.0215234,0.0096472,0.0111407,0.0122163,0.00771472,0.00693161,0.0196429,0.009956,0.0175916,0.013048,0.0159158,0.0156882,0.0227317,0.00483318,0.0159639,0.0133752,0.0105054,0.0182597,0.00654339,0.0219378,0.00324553,0.00793956,0.002243,0.0168274,0.0204299,0.0579774,0.00750017,0.016003,0.021224,0.0183071,0.0169422,0.0145614,0.0160238,0.0168287,0.0111337,0.0135125,0.0139921
109,0.0219869,0.0103019,0.0178131,0.0138692,0.0187899,0.00805845,0.0096998,0.01173,0.00640309,0.00794145,0.0195988,0.00871474,0.0148284,0.0104951,0.0156726,0.0137701,0.0218801,0.00337371,0.0156354,0.0133228,0.00838572,0.0175193,0.00633791,0.0241156,0.00252291,0.00600199,0.00298151,0.0158505,0.019852,0.0574361,0.00554072,0.0159696,0.0199965,0.01885,0.0169047,0.0113568,0.0124669,0.019397,0.0106376,0.0131649,0.0127043
110,0.0222502,0.00987275,0.0193699,0.0131633,0.0167648,0.007384,0.00940707,0.0117029,0.00604509,0.00939494,0.0196362,0.00781336,0.0124195,0.00843802,0.0145384,0.0124327,0.0214655,0.0044819,0.0148112,0.013413,0.00711347,0.0163036,0.00608226,0.0258518,0.0027068,0.00427079,0.00345244,0.0146972,0.0182174,0.0564913,0.00410171,0.0165698,0.0187937,0.0192492,0.01589,0.00844407,0.00975355,0.0212177,0.00995432,0.0122479,0.0109233
111,0.0227211,0.00948655,0.020709,0.0128572,0.0155821,0.00746975,0.00972226,0.0118447,0.00623664,0.0108768,0.0194567,0.00753309,0.0104617,0.00703615,0.0129968,0.0105235,0.0203016,0.00725689,0.0134828,0.0139041,0.00673845,0.0148003,0.00618827,0.0267096,0.00358029,0.00289267,0.00370006,0.0132914,0.0155916,0.0546614,0.0043352,0.0171099,0.0176341,0.0191021,0.0143923,0.00635944,0.00941711,0.0223749,0.00930996,0.0110768,0.00860289
112,0.0232542,0.00919854,0.0218118,0.0130371,0.0149919,0.00803884,0.0102637,0.0120216,0.00687772,0.0122223,0.0189125,0.00783082,0.00891079,0.00629361,0.0115063,0.00811614,0.0180394,0.0100686,0.0123712,0.015109,0.00718797,0.013289,0.00684329,0.0262825,0.00476716,0.00187422,0.00378655,0.0116223,0.0126782,0.051889,0.00600005,0.0168875,0.0163599,0.0181037,0.0128178,0.00565183,0.0112816,0.0227665,0.00906722,0.0101957,0.0059973
