Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0163098,0.0246088,0.027659,0.0116698,0.0209819,0,0.0414182,0.0151575,0.0124669,0.0180525,0.0239063,0.0297727,0,0,0.0198743,0.0186623,0.0152574,0.0152516,0.0184172,0.0166912,0.0153537,0.0182121,0.0118681,0.011622,0.0104693,0.0164517,0,0.047973,0.0170325,0.0396398,0.0447732,0,0,0.0228785,0.0253412,0.0207828,0.0175433,0.00968674,0.0138623,0.015453,0.0171306,0.0132405,0.0154165,0.0146128,0.0163032,0.0188225,0.0180007,0.0166958,0.0124063,0.0118174,0.013921
0,0.0532674,0.0225171,0.0730111,0.0407919,0.0606142,0,0.0445986,0.0490725,0.0539956,0.0698257,0.0189325,0.0260715,0,0,0.0476268,0.0545443,0.0543827,0.051617,0.0676734,0.0665811,0.0533013,0.0508085,0.0422464,0.0308773,0.0365217,0.0578362,0,0.0467797,0.0467808,0.0143371,0.0298859,0,0,0.0230761,0.0306924,0.0363225,0.0636667,0.044364,0.0410099,0.0529457,0.0387489,0.046974,0.0472744,0.0468335,0.0462476,0.0489407,0.0494208,0.0495447,0.043647,0.0454092,0.0575526
1,0.04463,0.0178365,0.0662037,0.0316206,0.0532746,0,0.0426856,0.0410256,0.0452928,0.0616164,0.01135,0.0240064,0,0,0.0391048,0.0460327,0.0457075,0.0432537,0.0587612,0.0581595,0.044194,0.0419637,0.0331431,0.0237062,0.029231,0.0484974,0,0.0429601,0.0390239,0.0115882,0.0254799,0,0,0.0168221,0.0249758,0.0255765,0.0549394,0.036295,0.0328335,0.0460851,0.0308751,0.0389059,0.0387276,0.0385265,0.0382255,0.0410922,0.0417786,0.0417676,0.0351822,0.036729,0.0517044
2,0.0369746,0.0151535,0.0602435,0.0237505,0.0469473,0,0.0421942,0.0339779,0.0376391,0.0539373,0.00637204,0.0246103,0,0,0.031634,0.0385378,0.0380686,0.0360836,0.0507532,0.0505543,0.0363763,0.03434,0.0255729,0.0180194,0.0232491,0.0402988,0,0.0408895,0.0323202,0.0139738,0.0237523,0,0,0.0131643,0.0213344,0.0163459,0.0471506,0.0289666,0.025647,0.0400114,0.0238971,0.0318928,0.0310203,0.0311143,0.0310731,0.034096,0.0348183,0.0348265,0.0279048,0.0292119,0.0463497
3,0.0303179,0.0143611,0.0551113,0.0172157,0.0416575,0,0.0426876,0.0279415,0.0310847,0.0469259,0.00697097,0.0267482,0,0,0.0251937,0.0319775,0.0314202,0.0300647,0.0436949,0.0437642,0.029848,0.0279117,0.0194635,0.0138895,0.0185135,0.0333035,0,0.0403309,0.0266925,0.0185973,0.0243943,0,0,0.0130057,0.0200411,0.00952573,0.040333,0.0224641,0.01937,0.0346698,0.0179531,0.0259386,0.0242312,0.0246091,0.0248022,0.0279797,0.0285391,0.0287261,0.0218205,0.0229086,0.0413969
4,0.0246656,0.0147828,0.0507709,0.0121318,0.0373979,0,0.0437179,0.0229164,0.0256962,0.0407595,0.01076,0.0293686,0,0,0.0198642,0.0263156,0.0257517,0.025185,0.0376289,0.0378126,0.0245899,0.0226992,0.014736,0.0114039,0.0149541,0.0275499,0,0.0409047,0.022144,0.0234095,0.0265131,0,0,0.0154434,0.0207737,0.00788173,0.0345094,0.016895,0.0139111,0.029988,0.0132712,0.0209947,0.0184419,0.0190006,0.0194105,0.0227965,0.0229538,0.0234666,0.0168926,0.0178029,0.0367859
5,0.019969,0.0155888,0.0471493,0.00875254,0.0340965,0,0.0449209,0.0188484,0.021451,0.0355382,0.014605,0.0318481,0,0,0.015824,0.0215365,0.0210309,0.0214105,0.0325656,0.0327033,0.0205541,0.0187708,0.0112808,0.0105146,0.0125247,0.0229837,0,0.042184,0.0186182,0.0277677,0.0292392,0,0,0.0187615,0.0226943,0.0112169,0.0296481,0.0123715,0.00917798,0.0259083,0.0101905,0.0169465,0.0137134,0.014251,0.0148828,0.0185977,0.0180737,0.0190277,0.0129949,0.0137622,0.032481
6,0.0161265,0.0162415,0.0441451,0.0073881,0.0316287,0,0.0460555,0.0156276,0.0182242,0.0312672,0.0178979,0.0339221,0,0,0.0133121,0.0176729,0.0172088,0.0186668,0.028476,0.0284122,0.017649,0.0162314,0.00888167,0.0108029,0.0111417,0.0194591,0,0.0437989,0.0159953,0.0315146,0.0320293,0,0,0.0220355,0.025036,0.0154003,0.0256696,0.00908459,0.00511217,0.0224105,0.00902757,0.0136772,0.0101516,0.0103607,0.0112375,0.0154341,0.013931,0.0153933,0.00994258,0.0105894,0.0284961
7,0.0130115,0.0165151,0.041648,0.0077479,0.0298453,0,0.046989,0.0131092,0.0158325,0.02789,0.0205765,0.035534,0,0,0.0124136,0.0148407,0.0142504,0.0168384,0.0252867,0.0248884,0.0157324,0.0151295,0.00717667,0.0116667,0.0106013,0.0167709,0,0.0454902,0.0141053,0.0346524,0.0346148,0,0,0.0249355,0.0273454,0.0190715,0.0224703,0.00728036,0.00176405,0.0194846,0.00951329,0.0111055,0.00796074,0.00744856,0.00855698,0.0133292,0.0106173,0.0125767,0.00753167,0.00808337,0.024876
8,0.0104965,0.0163798,0.0395536,0.0089057,0.0285974,0,0.0476668,0.0111357,0.0140921,0.0253175,0.0226954,0.0367242,0,0,0.0127874,0.0131908,0.0121429,0.015767,0.0228709,0.0220474,0.0146193,0.0152914,0.0057637,0.012666,0.0106054,0.0147041,0,0.0471022,0.012749,0.037241,0.0368902,0,0,0.0273781,0.029412,0.0220125,0.0199425,0.00690289,0.00167723,0.0171042,0.0108319,0.00918585,0.00727224,0.00581014,0.00697233,0.0122157,0.00832906,0.0106319,0.00556634,0.0061058,0.0216643
