Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0129176,0.0234623,0.0274963,0.0128455,0.0190366,0,0.0428776,0.0151214,0.0136648,0.0168052,0.0237378,0.0300679,0,0,0.0208116,0.0205002,0.0174291,0.016894,0.0152543,0.0155465,0.0136544,0.0173716,0.0132025,0.0110006,0.00927432,0.0136586,0,0.0465372,0.0149955,0.0387297,0.04256,0,0,0.0217007,0.022485,0.0223497,0.0158822,0.00727714,0.0134156,0.0145173,0.0144377,0.00976502,0.0113066,0.0109959,0.0107335,0.0144902,0.0137925,0.0138647,0.0101575,0.0101221,0.012398
0,0.0328563,0.0200552,0.0578219,0.0181506,0.0397066,0,0.0423291,0.0352095,0.0348608,0.0526986,0.0078355,0.0209576,0,0,0.0245598,0.0320086,0.0309535,0.0306251,0.0390425,0.0439076,0.0301457,0.0282828,0.0249174,0.0164842,0.0200468,0.0302552,0,0.037174,0.0330443,0.0236519,0.0335837,0,0,0.00751201,0.0147835,0.00812879,0.0436217,0.0298861,0.0228005,0.040102,0.0198009,0.0264778,0.0261216,0.0271621,0.0244664,0.0270888,0.027286,0.0298057,0.0208039,0.0220731,0.0425527
1,0.027466,0.0203906,0.053164,0.0121796,0.0358009,0,0.0423609,0.0302102,0.0295843,0.0466187,0.00745754,0.0229028,0,0,0.0202964,0.0265232,0.0257996,0.0267142,0.0331208,0.0389356,0.0250891,0.0230125,0.0193207,0.0123059,0.0154514,0.0258565,0,0.0370231,0.0281986,0.0263795,0.0342891,0,0,0.00665225,0.0126377,0.0131743,0.0380286,0.0247893,0.017353,0.035181,0.0151958,0.0217506,0.0205362,0.0215574,0.0195426,0.0230197,0.0225893,0.0248353,0.0169743,0.0176235,0.0389453
2,0.0228252,0.0209183,0.049106,0.00794848,0.0326402,0,0.0429095,0.0258767,0.0251504,0.0413147,0.00985171,0.0251887,0,0,0.0172184,0.0218672,0.0213417,0.0235533,0.0278044,0.0343802,0.0207906,0.0184434,0.0151699,0.00958454,0.0120077,0.0224915,0,0.0377788,0.0240127,0.0296021,0.035766,0,0,0.00951026,0.0128676,0.0183159,0.0331085,0.0200361,0.0126791,0.0308347,0.0119338,0.0177908,0.0157189,0.0166105,0.0153183,0.0197345,0.0185043,0.0205097,0.0139153,0.0138663,0.0352899
3,0.0189277,0.0213831,0.0456364,0.00590364,0.0301855,0,0.0436953,0.0221798,0.021498,0.0368401,0.012832,0.027379,0,0,0.0154659,0.0181464,0.0175767,0.0210923,0.0231881,0.0303237,0.0171178,0.0146474,0.0122329,0.00834131,0.00969016,0.0200576,0,0.0391305,0.0204556,0.0328218,0.0376303,0,0,0.0133196,0.0148055,0.0227973,0.0288528,0.0158213,0.00876636,0.0270298,0.0103023,0.0145705,0.0117195,0.0123323,0.0117594,0.0171894,0.0150124,0.0168169,0.0115061,0.01069,0.0316401
4,0.0157397,0.021613,0.0427375,0.00617973,0.0283657,0,0.0445007,0.0190687,0.0186844,0.0332582,0.0155764,0.0292793,0,0,0.0150123,0.0155792,0.0146302,0.0193191,0.0193708,0.0268906,0.0139259,0.011885,0.0103088,0.00823018,0.00836361,0.0183528,0,0.040782,0.0174814,0.0357323,0.0395693,0,0,0.0169525,0.0174216,0.0264429,0.025243,0.012361,0.00568616,0.0237199,0.0102463,0.0120716,0.00866806,0.00880401,0.00888244,0.015311,0.0121293,0.0138023,0.00960192,0.00800531,0.0281259
5,0.0131828,0.0215352,0.0403581,0.0075435,0.0270763,0,0.0451939,0.0164601,0.0167061,0.030478,0.0179024,0.0308378,0,0,0.0154799,0.0142719,0.0125882,0.0181402,0.0163592,0.024105,0.0111075,0.0104903,0.00921606,0.00870235,0.00779431,0.0171349,0,0.0424938,0.0150156,0.0381956,0.0413799,0,0,0.0201263,0.020061,0.0292741,0.0222308,0.00974009,0.00373413,0.0208681,0.0111792,0.0102531,0.00678092,0.00619257,0.00678763,0.0139921,0.00989912,0.0115509,0.00806049,0.00581655,0.0248558
6,0.0111543,0.0211728,0.0384247,0.00906186,0.0262118,0,0.0457152,0.0142599,0.0154671,0.0283154,0.0198008,0.0320765,0,0,0.0163913,0.0140816,0.0114507,0.0174011,0.0140518,0.0218794,0.0086262,0.0105421,0.00877732,0.00934509,0.00770529,0.0162144,0,0.0441025,0.012965,0.0401832,0.0429542,0,0,0.022793,0.0224307,0.0314075,0.019753,0.00786094,0.0034502,0.0184407,0.0124528,0.00902255,0.00616854,0.00476974,0.00560698,0.0131213,0.00837686,0.0101207,0.00676362,0.00426396,0.0218905
7,0.00954664,0.0206205,0.0368555,0.0105444,0.0256813,0,0.0460497,0.0123845,0.0148147,0.0266089,0.0213097,0.0330455,0,0,0.0174252,0.014689,0.0111464,0.0169562,0.0122662,0.0200669,0.0065544,0.0116347,0.00882513,0.00994995,0.00785669,0.0154825,0,0.0455138,0.0112285,0.0417254,0.0442499,0,0,0.0249791,0.0244266,0.0329851,0.0177445,0.0064984,0.00442364,0.0163972,0.0136795,0.00825008,0.00649655,0.00462709,0.00531916,0.0126008,0.00755495,0.00943078,0.00563158,0.00352504,0.0192472
8,0.00826515,0.0200067,0.0355711,0.0120831,0.0254064,0,0.0462068,0.0107796,0.0145779,0.0252665,0.0224782,0.0337954,0,0,0.0184432,0.0158037,0.011572,0.0167135,0.0108055,0.0185206,0.00517461,0.0132158,0.00922701,0.0104333,0.0080863,0.0148826,0,0.0466856,0.00971163,0.0428816,0.0452646,0,0,0.0267279,0.0260294,0.034129,0.0161387,0.00542403,0.0057297,0.0146909,0.014698,0.00781534,0.00723024,0.00528346,0.00564463,0.0123416,0.00728273,0.00923191,0.00464048,0.00347154,0.0169084
9,0.007235,0.0194554,0.0345006,0.0137906,0.0253127,0,0.0462059,0.00942591,0.0145918,0.0242206,0.0233578,0.0343657,0,0,0.0194189,0.0172702,0.0126291,0.0166441,0.00954425,0.0171298,0.00497522,0.014921,0.00990026,0.0107697,0.00829836,0.0143775,0,0.0476157,0.00833878,0.0437258,0.0460206,0,0,0.0280771,0.0272593,0.0349233,0.0148665,0.00450102,0.00702635,0.0132766,0.015482,0.00764512,0.00807317,0.00622344,0.00627107,0.0122518,0.00730493,0.00922534,0.0038368,0.00365957,0.0148345
10,0.00640957,0.0190525,0.0335813,0.0156528,0.0253247,0,0.0460733,0.00833708,0.0147151,0.0233616,0.0240029,0.0347886,0,0,0.0203618,0.0190377,0.0142277,0.0167675,0.00848679,0.0158232,0.00600836,0.0165886,0.0107935,0.0109631,0.008445,0.0139336,0,0.0483316,0.00706748,0.0443388,0.0465575,0,0,0.0290576,0.0281584,0.0354217,0.0138566,0.00368724,0.00824436,0.0121126,0.016082,0.0077111,0.00895824,0.00725329,0.00702108,0.0122392,0.0073945,0.00918694,0.00332777,0.0037752,0.0129718
11,0.005775,0.0188251,0.0327657,0.0174835,0.0253736,0,0.0458396,0.00754114,0.0148494,0.0225257,0.024469,0.0350946,0,0,0.0212757,0.0210918,0.0162684,0.0171297,0.00777162,0.0145493,0.00770416,0.0181798,0.0118457,0.0110303,0.00850806,0.0135265,0,0.0488782,0.00589479,0.0447994,0.0469292,0,0,0.0297003,0.0287801,0.035662,0.0130498,0.00299831,0.00937625,0.0111567,0.0165793,0.0079964,0.00989084,0.00832794,0.00781173,0.0122295,0.0074301,0.00900517,0.00320839,0.0037249,0.0112666
12,0.00534679,0.0187446,0.0320228,0.019003,0.0254058,0,0.0455409,0.00705295,0.0149515,0.0215628,0.0248094,0.0353176,0,0,0.0221517,0.0233958,0.018622,0.0177688,0.00758289,0.0132579,0.00957885,0.019714,0.0129598,0.0109985,0.00849262,0.013145,0,0.0493047,0.00485809,0.0451741,0.0471981,0,0,0.0300514,0.0291833,0.0356837,0.0124063,0.00248384,0.0104252,0.0103606,0.0170466,0.00844833,0.0108398,0.0093947,0.00858432,0.0121801,0.00739135,0.00866663,0.00344613,0.00352223,0.00967677
13,0.00514975,0.0187482,0.0313395,0.0199783,0.0253901,0,0.0452158,0.00684815,0.0150254,0.0204202,0.0250725,0.0354951,0,0,0.0229928,0.0258565,0.0211198,0.0186723,0.00801112,0.0119138,0.0113989,0.0212357,0.0140172,0.0109007,0.00841963,0.0127902,0,0.049654,0.00402773,0.045511,0.0474299,0,0,0.0301833,0.0294273,0.0355366,0.0119049,0.00221566,0.0113947,0.00966842,0.017514,0.0089591,0.0117149,0.0103532,0.00927902,0.0120799,0.00731528,0.00822533,0.00389319,0.00321415,0.00818181
14,0.00519107,0.0187694,0.0307248,0.0203275,0.0253237,0,0.0448954,0.00687237,0.0151034,0.0191758,0.0252903,0.0356558,0,0,0.023835,0.0283149,0.0235613,0.0197517,0.00900513,0.0105593,0.0131024,0.022807,0.0149132,0.0107673,0.00831538,0.0124602,0,0.0499509,0.00349974,0.0458306,0.0476783,0,0,0.0301835,0.0295608,0.0352712,0.0115371,0.00222721,0.0122836,0.00903236,0.017954,0.0093941,0.0124029,0.0110862,0.00983896,0.0119381,0.00725227,0.0077736,0.00440001,0.00285893,0.00678849
15,0.00544442,0.0187634,0.0301987,0.0201538,0.0252237,0,0.0445999,0.00706327,0.0152093,0.0179909,0.0254816,0.0358137,0,0,0.0247412,0.0305542,0.025731,0.0208439,0.0104568,0.00939839,0.0147532,0.0245055,0.0155636,0.0106247,0.00820613,0.0121406,0,0.0502062,0.00335533,0.0461332,0.0479783,0,0,0.0301382,0.0296237,0.0349327,0.0112919,0.00245456,0.0130911,0.00842468,0.0183125,0.00965857,0.0128332,0.0115251,0.0102399,0.0117715,0.00723007,0.00740166,0.00486311,0.00251728,0.00551985
16,0.0058627,0.0187151,0.029785,0.0196905,0.0251202,0,0.0443374,0.0073706,0.0153347,0.0170236,0.0256535,0.0359638,0,0,0.025764,0.032338,0.0274389,0.02176,0.0122668,0.00882283,0.0164793,0.0263978,0.0159033,0.0104906,0.00811068,0.0118068,0,0.0504194,0.00359155,0.0464077,0.0483411,0,0,0.0301074,0.0296447,0.0345509,0.0111524,0.0027862,0.0138194,0.0078434,0.0185479,0.00973621,0.0130107,0.0116861,0.0105043,0.0116009,0.00724915,0.00716864,0.00522456,0.00224373,0.00439946
17,0.00639384,0.0186441,0.0295093,0.0191914,0.0250458,0,0.0440942,0.00777068,0.0154502,0.0163615,0.0257969,0.0360744,0,0,0.0269061,0.0334821,0.0285793,0.0223603,0.0143295,0.00920503,0.0183915,0.028496,0.015904,0.010366,0.00803195,0.0114283,0,0.0505853,0.00411654,0.046632,0.0487506,0,0,0.0301044,0.0296354,0.0341292,0.0111042,0.00313224,0.0144643,0.00731656,0.0186428,0.0096718,0.0130003,0.0116505,0.0106781,0.0114478,0.00730051,0.00709948,0.00546104,0.00208666,0.00345153
18,0.00699099,0.0185864,0.0293824,0.0188401,0.0250236,0,0.043851,0.00824798,0.0155219,0.0160027,0.0258984,0.0361055,0,0,0.028098,0.0339021,0.0291482,0.0225897,0.0165057,0.0104995,0.0205145,0.0307149,0.0156146,0.010245,0.00796655,0.0109856,0,0.0506982,0.00481651,0.0467875,0.0491703,0,0,0.0301055,0.0295935,0.0336573,0.0111325,0.00344995,0.0150263,0.0068807,0.0186045,0.00953234,0.0128959,0.0115272,0.0108043,0.0113415,0.00739026,0.00718834,0.00558167,0.00207407,0.00268908
19,0.00761139,0.0185796,0.029393,0.0187024,0.025061,0,0.0435876,0.00878543,0.0155319,0.0158675,0.0259474,0.036025,0,0,0.0292207,0.0336433,0.0292361,0.0224837,0.0186273,0.0122813,0.0227698,0.0328842,0.0151657,0.0101201,0.00790826,0.0104819,0,0.0507586,0.0055995,0.0468678,0.0495575,0,0,0.0300697,0.0295059,0.0331238,0.0112242,0.00372977,0.0155103,0.00655946,0.0184497,0.00937202,0.0127862,0.011412,0.0109039,0.0113134,0.00754145,0.00741434,0.00561595,0.0022131,0.0021196
20,0.00821479,0.0186493,0.0295057,0.0187334,0.0251484,0,0.043289,0.00936147,0.0154851,0.0158342,0.0259411,0.0358206,0,0,0.0301466,0.0328659,0.0289875,0.0221396,0.0205176,0.0140959,0.0250002,0.0348007,0.0147189,0.00998723,0.00785306,0.00994265,0,0.0507758,0.00639953,0.0468801,0.0498737,0,0,0.0299566,0.0293525,0.032525,0.0113676,0.00397805,0.0159269,0.00635041,0.0181952,0.00922106,0.0127335,0.011365,0.0109802,0.0113865,0.00778146,0.00775822,0.00560512,0.00249895,0.00174716
