Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
838,0.0121908,0.0179894,0.0288694,0.00107237,0.0178232,0,0.0194961,0.0226037,0.00838662,0.0186683,0.0191389,0.0110078,0,0,0.020708,0.002792,0.00360338,0.00210107,0.0132096,0.00794582,0.0100338,0.00639881,0.0138011,0.00222823,0.00430824,0.0133498,0,0.0112387,0.0129999,0.0161187,0.0257408,0,0,0.00333633,0.00905031,0.0239022,0.0246168,0.00811438,0.00918042,0.0185248,0.0175107,0.00482684,0.00292659,0.00295345,0.00506905,0.0118526,0.00855295,0.0061494,0.0126404,0.00730134,0.0107346
839,0.0128055,0.0180908,0.028396,0.00123255,0.0173942,0,0.0189937,0.0230429,0.00837945,0.0188813,0.019294,0.0108911,0,0,0.0208563,0.00266112,0.00361594,0.00169068,0.013229,0.00793109,0.0103027,0.00641343,0.0139779,0.00235905,0.0040584,0.0132413,0,0.0113464,0.0132362,0.0158406,0.0257122,0,0,0.00338301,0.00898101,0.0240266,0.0243667,0.00820011,0.00913356,0.0188034,0.0177369,0.00493166,0.00295199,0.0038096,0.00517102,0.0116841,0.00818734,0.00602232,0.012491,0.00715432,0.0107599
840,0.0134582,0.0184747,0.0279983,0.00119053,0.0171453,0,0.0185298,0.0233209,0.00833959,0.0191403,0.0192747,0.010731,0,0,0.0208195,0.00234533,0.00341325,0.00132775,0.0132324,0.00787564,0.01056,0.00646739,0.0138105,0.0024937,0.00388873,0.0132245,0,0.0116472,0.0133243,0.015632,0.0256302,0,0,0.00346394,0.00888421,0.0241893,0.0241898,0.00830029,0.00908699,0.0190943,0.0179425,0.00500058,0.0030018,0.00439736,0.00526788,0.0114674,0.00774308,0.005932,0.0122465,0.0069705,0.0108462
841,0.0141839,0.0189719,0.0277616,0.000830139,0.017198,0,0.018187,0.0234788,0.00835339,0.0194171,0.0191397,0.0105293,0,0,0.0209234,0.00196016,0.00303745,0.00104568,0.0132722,0.00791558,0.0107571,0.00653802,0.0134316,0.00260244,0.00376679,0.0132014,0,0.0119966,0.0135168,0.015464,0.0254153,0,0,0.0035511,0.00881083,0.0243657,0.0240337,0.0083335,0.00899277,0.0194031,0.0180808,0.00506101,0.00314738,0.0038314,0.00539668,0.0112694,0.00739344,0.00591434,0.0119984,0.00693332,0.0109291
842,0.0150636,0.0193115,0.02769,0.000451769,0.0173729,0,0.0179568,0.0236098,0.00845977,0.0197203,0.0189868,0.010304,0,0,0.021096,0.00165746,0.00267878,0.00080122,0.0133358,0.00803998,0.0108469,0.00657636,0.0131168,0.00269909,0.0036443,0.0130703,0,0.0121984,0.0139717,0.0152892,0.0251668,0,0,0.00360931,0.00883272,0.024497,0.0238348,0.00824482,0.00891722,0.019746,0.0181916,0.00517344,0.00331928,0.00286363,0.00556112,0.011149,0.00714292,0.00586805,0.0117986,0.00702481,0.0109336
843,0.016058,0.0195023,0.0277472,0.000385534,0.017382,0,0.017771,0.0237641,0.00859926,0.0200354,0.0188707,0.010095,0,0,0.0211939,0.00157337,0.00252932,0.000611893,0.0134002,0.00818527,0.0108044,0.00652394,0.0130107,0.00278487,0.00351973,0.0128872,0,0.0122956,0.014526,0.0150894,0.0250732,0,0,0.0037372,0.00888848,0.0245651,0.0237431,0.00811325,0.00906654,0.0201348,0.0183197,0.00536401,0.00342256,0.00261582,0.00576571,0.0110398,0.00693288,0.00579455,0.0116196,0.00706016,0.0108718
844,0.0170342,0.0196812,0.0278298,0.000459859,0.0169993,0,0.0176113,0.0240033,0.00871296,0.0203133,0.0188562,0.00991347,0,0,0.0212836,0.00171582,0.00260487,0.000556912,0.0134408,0.00829821,0.0106576,0.00639303,0.0130386,0.00285553,0.00340205,0.0127434,0,0.0125074,0.0150103,0.0148401,0.0250588,0,0,0.00406533,0.00885449,0.0246262,0.0239532,0.00802324,0.00946891,0.0205274,0.0184778,0.00560853,0.00349219,0.0029702,0.00601336,0.0108429,0.00676363,0.00580307,0.0114237,0.00698234,0.0108407
845,0.0178972,0.0199139,0.0278318,0.000623845,0.0163243,0,0.0175375,0.0243447,0.00882291,0.0205314,0.0189773,0.00974996,0,0,0.0214696,0.00205278,0.00278025,0.000675082,0.0134532,0.00833177,0.0104678,0.00622567,0.0131138,0.0029353,0.00329115,0.0126038,0,0.0128655,0.0154619,0.0145513,0.0248935,0,0,0.00454204,0.00870486,0.0247269,0.0242997,0.00796085,0.00984858,0.020853,0.018638,0.00584493,0.00371195,0.00341424,0.00628518,0.0105862,0.00671947,0.00590542,0.0112249,0.00687722,0.0108896
846,0.0186224,0.0201985,0.0277121,0.000920187,0.0157952,0,0.0175049,0.0247633,0.00900413,0.0207063,0.0191424,0.00962034,0,0,0.0216651,0.0023771,0.00299525,0.000755216,0.0134978,0.00833742,0.010295,0.00599165,0.0133495,0.00304454,0.00318062,0.0124017,0,0.0132364,0.0158802,0.0142952,0.0246236,0,0,0.00487334,0.00852541,0.0248468,0.0243985,0.00789369,0.0099929,0.0211134,0.0187496,0.00602894,0.00416837,0.003659,0.00652087,0.0103281,0.00684397,0.00602453,0.0110253,0.00678399,0.0109326
847,0.0192386,0.0205502,0.0274793,0.0013153,0.0156734,0,0.0173594,0.025265,0.00924703,0.020871,0.019202,0.00950356,0,0,0.0216516,0.00246325,0.0032657,0.000694561,0.0136364,0.00843962,0.0101823,0.0056751,0.0139206,0.00323251,0.00310643,0.0121617,0,0.0135904,0.0161381,0.0140935,0.0244689,0,0,0.00494637,0.00839921,0.024964,0.0241646,0.0078978,0.00997839,0.0213593,0.0188272,0.00616623,0.00463715,0.00369535,0.00666959,0.0100701,0.00693225,0.00610692,0.0107581,0.00669945,0.0108574
848,0.019823,0.0209858,0.0271834,0.00184484,0.0157701,0,0.017104,0.0258056,0.00936984,0.0210692,0.0191173,0.00936483,0,0,0.0213862,0.00237259,0.00347454,0.000632312,0.0138349,0.00863127,0.0101543,0.0053652,0.0146898,0.00347099,0.00303561,0.0119214,0,0.0139505,0.0162123,0.013893,0.024458,0,0,0.00503256,0.0083153,0.0250991,0.0237958,0.00807075,0.00998442,0.0215753,0.0189447,0.00625426,0.00486714,0.00372695,0.00673948,0.00990172,0.00677532,0.00594739,0.0104078,0.00663995,0.0106739
849,0.0204636,0.0214222,0.0269011,0.00238012,0.0157656,0,0.0169101,0.0262222,0.00917128,0.0213285,0.0189541,0.00909212,0,0,0.0211176,0.00215807,0.00339158,0.000953905,0.0140336,0.00878761,0.0102374,0.00519054,0.0151911,0.00367925,0.00288305,0.0116586,0,0.0142626,0.016228,0.0136951,0.0244564,0,0,0.00530015,0.00823253,0.0252668,0.0234014,0.00826353,0.010064,0.0217207,0.0191253,0.00628598,0.00484947,0.00395745,0.00673873,0.00984864,0.0066123,0.00543721,0.0100892,0.00659518,0.0104641
850,0.0212345,0.0218784,0.0266655,0.00253901,0.0155745,0,0.0168604,0.0264033,0.00874663,0.0216359,0.0187624,0.0087388,0,0,0.0210944,0.00179068,0.00299428,0.00153907,0.0142498,0.00890807,0.010455,0.00515587,0.0150959,0.00382612,0.00271707,0.0113586,0,0.0144934,0.0163377,0.0135482,0.0243739,0,0,0.0055972,0.0081674,0.0254468,0.0230407,0.00817434,0.0100503,0.0218415,0.0193398,0.00625448,0.00478683,0.00422762,0.00662731,0.00977414,0.00654662,0.00520255,0.00990925,0.00657351,0.010257
