Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
80,0.0154083,0.0372438,0.0187312,0.00998171,0.0106633,0,0.047096,0.0122947,0.0103401,0.0111463,0.0279484,0.028964,0,0,0.0145436,0.0156722,0.00939653,0.0116787,0.0167676,0.00972656,0.00448468,0.00534918,0.00414982,0.0204601,0.0157507,0.0259455,0,0.0459896,0.0153047,0.0473224,0.0405222,0,0,0.029299,0.0341761,0.00931703,0.0202878,0.0127426,0.0123816,0.0105606,0.022805,0.0138525,0.0205194,0.02014,0.0142521,0.0128054,0.00841892,0.00770408,0.0111152,0.00919396,0.0124368
81,0.0155568,0.0378851,0.0188716,0.00960854,0.0109289,0,0.0473381,0.0126045,0.0103616,0.0108151,0.0280155,0.0296039,0,0,0.014233,0.0158279,0.009633,0.0118479,0.0168112,0.00968503,0.00499458,0.00541924,0.00404334,0.0199956,0.015939,0.0266213,0,0.0460268,0.0156761,0.0476025,0.0407038,0,0,0.0294629,0.0342274,0.00995968,0.0209326,0.012188,0.0123504,0.0108189,0.0234794,0.014137,0.0210528,0.0205142,0.0145449,0.0127324,0.00856479,0.00839749,0.0107687,0.00981022,0.0119938
82,0.0156679,0.0383203,0.0190667,0.00921825,0.011192,0,0.0474969,0.0128811,0.010437,0.0105528,0.0280795,0.0301882,0,0,0.0139284,0.0159881,0.00982524,0.0120769,0.0169191,0.00976841,0.00546374,0.00552536,0.00401347,0.0195378,0.0160633,0.027212,0,0.0460234,0.0159728,0.0477799,0.0408068,0,0,0.0295826,0.0342374,0.0106684,0.0215852,0.0118955,0.0122598,0.0110646,0.024015,0.01457,0.0216125,0.0209832,0.0148545,0.0125866,0.00871107,0.00886255,0.0105011,0.0103084,0.0113612
83,0.0157555,0.0385897,0.0193045,0.00886257,0.0114399,0,0.0475716,0.0131284,0.0105795,0.0103358,0.0280946,0.030673,0,0,0.0136146,0.016068,0.00989052,0.0122685,0.0170758,0.00996808,0.00584962,0.00567352,0.004011,0.019173,0.0161009,0.0276773,0,0.0459644,0.016216,0.0478612,0.0408095,0,0,0.0296446,0.0342003,0.0113745,0.0221895,0.0117546,0.0121389,0.0112343,0.0244052,0.0151047,0.0221843,0.0215321,0.0151675,0.0123681,0.00881566,0.00912929,0.0103469,0.0106933,0.0107487
84,0.0158361,0.0387288,0.0195717,0.00858187,0.011663,0,0.0475753,0.0133582,0.0107777,0.010138,0.0280284,0.0310383,0,0,0.0132611,0.0160121,0.0097673,0.0123425,0.01727,0.0102601,0.00610016,0.00584309,0.00399314,0.0189081,0.0160423,0.0279775,0,0.0458519,0.0164325,0.0478632,0.0407088,0,0,0.0296453,0.0341222,0.0120097,0.0226954,0.0116062,0.0119978,0.0113319,0.0246462,0.0156805,0.0227529,0.0221163,0.0154811,0.0120759,0.008836,0.00921635,0.0102824,0.0109731,0.010345
85,0.015922,0.0387655,0.0198555,0.00839713,0.0118607,0,0.0475298,0.0135913,0.0110012,0.0099454,0.0278618,0.0312836,0,0,0.0128323,0.0158008,0.00943603,0.0122532,0.0174843,0.0106108,0.00618139,0.00600471,0.00393066,0.0186855,0.0158917,0.0280871,0,0.0456985,0.0166495,0.0478071,0.0405184,0,0,0.02959,0.0340189,0.0125264,0.0230714,0.0113122,0.0118316,0.0114192,0.0247396,0.016223,0.0232925,0.0226708,0.0158013,0.0117212,0.00875155,0.0091438,0.0102375,0.0111012,0.0102628
86,0.0160135,0.0387249,0.0201446,0.00830708,0.0120442,0,0.0474598,0.0138495,0.0112137,0.00975878,0.0275874,0.0314197,0,0,0.012303,0.0154429,0.00892564,0.0119966,0.0176913,0.0109843,0.00611111,0.0061412,0.00380959,0.0184244,0.015666,0.0280031,0,0.0455232,0.016886,0.0477154,0.0402674,0,0,0.0294946,0.0339129,0.0129052,0.0233118,0.0107998,0.0116262,0.0115808,0.0246925,0.0166546,0.0237625,0.0231207,0.0161345,0.0113217,0.00857731,0.00893874,0.0101141,0.0109651,0.0105142
87,0.0160905,0.0386376,0.0204305,0.00828316,0.0122369,0,0.0473839,0.0141432,0.0113898,0.00958443,0.0272093,0.0314619,0,0,0.0116748,0.0149683,0.00831083,0.0116095,0.0178612,0.0113505,0.00597278,0.006266,0.00364324,0.0180655,0.0153847,0.0277508,0,0.0453506,0.0171412,0.0476097,0.0399978,0,0,0.0293858,0.0338288,0.0131477,0.0234362,0.0100759,0.011365,0.0118779,0.0245207,0.0169155,0.0241139,0.0233965,0.0164782,0.0108928,0.00836012,0.00863088,0.00980691,0.0104584,0.0110193
88,0.0161293,0.0385322,0.0207117,0.00828793,0.0124655,0,0.0473183,0.0144761,0.0115154,0.0094373,0.0267354,0.0314249,0,0,0.0109641,0.0144049,0.00767162,0.011145,0.0179722,0.0116933,0.00587746,0.00641381,0.00345907,0.0175917,0.015061,0.0273777,0,0.0451981,0.0174079,0.0475055,0.0397482,0,0,0.0292889,0.0337825,0.0132803,0.023493,0.0091975,0.0110381,0.0123246,0.0242326,0.0169752,0.0243058,0.0234485,0.016814,0.0104302,0.00814158,0.00822914,0.0092218,0.00955532,0.011652
89,0.0161185,0.0384345,0.0209938,0.00829249,0.0127529,0,0.0472737,0.0148478,0.0115873,0.00933949,0.0261771,0.0313234,0,0,0.0101927,0.0137727,0.00706232,0.0106497,0.0180222,0.0120138,0.00591466,0.00662137,0.00328294,0.0170224,0.0146932,0.0269452,0,0.0450788,0.0176782,0.0474166,0.03955,0,0,0.0292245,0.0337782,0.013342,0.023547,0.00824286,0.0106445,0.0128777,0.0238239,0.0168315,0.0243208,0.0232554,0.01711,0.0099167,0.00793269,0.00771755,0.00831767,0.00831412,0.0122861
