Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0163212,0.018915,0.0326476,0.0163722,0.014015,0.013237,0.00583774,0.00497698,0.011173,0.0135403,0.0309427,0.0134307,0.0117157,0.0112565,0.00871641,0.0112045,0.0148465,0.0139062,0.0174063,0.00831905,0.00804079,0.00768166,0.0198489,0.00655244,0.0118264,0.00977814,0.0059109,0.00659483,0.00904044,0.0197462,0.0340531,0.0133515,0.00939101,0.00818591,0.00832965,0.0155948,0.0177638,0.0141367,0.0219271,0.00800416,0.00782941,0.0080952
0,0.0272698,0.021666,0.0279964,0.0140087,0.0223188,0.0121445,0.00972224,0.00874455,0.00339068,0.0157646,0.0309646,0.0145242,0.0210524,0.0188634,0.0168065,0.0103471,0.0172875,0.0167918,0.0356026,0.00971393,0.0106144,0.0122208,0.00802662,0.0164266,0.0144468,0.00343077,0.0136511,0.0125897,0.0111466,0.0256598,0.0168526,0.0174149,0.00932671,0.00825648,0.00724641,0.0165385,0.0141654,0.00826349,0.0338284,0.0106417,0.00883075,0.00786589
1,0.0266808,0.0212314,0.0277298,0.0142637,0.0197921,0.0125281,0.00945776,0.0080364,0.00384033,0.0151177,0.0320194,0.0145688,0.0190216,0.0177099,0.0152723,0.0104724,0.0163958,0.0152463,0.0337125,0.00929644,0.00979433,0.0114199,0.00884033,0.0159483,0.0110249,0.00405864,0.012613,0.0116764,0.0104574,0.0248811,0.0192192,0.0175097,0.00735135,0.00856752,0.0050113,0.0138266,0.0109639,0.00660505,0.02825,0.00989943,0.00782851,0.00680617
2,0.0260758,0.0207944,0.0275242,0.0142509,0.0179752,0.0128599,0.00911062,0.00740018,0.00423902,0.014603,0.032995,0.0146115,0.0176351,0.0172206,0.0144635,0.0104312,0.0152869,0.0141345,0.0324916,0.00891885,0.00909954,0.0106571,0.00968773,0.0155456,0.0101665,0.00479475,0.0116377,0.010813,0.00986172,0.0241316,0.0201854,0.0174757,0.00604662,0.00877389,0.00443246,0.012355,0.00882108,0.006077,0.0249536,0.00911762,0.00684729,0.00578629
3,0.0254803,0.0203901,0.027408,0.0140092,0.016626,0.0131465,0.00873491,0.00686157,0.00458889,0.0142021,0.033933,0.0146231,0.0166784,0.017042,0.0140161,0.0100789,0.0139738,0.0135351,0.0316116,0.00849082,0.00846444,0.00991681,0.0106152,0.0151343,0.00952701,0.00551475,0.0106703,0.00997797,0.00934305,0.0234354,0.0204175,0.0173622,0.00521567,0.00860048,0.0038918,0.0115401,0.00719535,0.00639373,0.0235736,0.00824267,0.00584041,0.00478045
4,0.0249103,0.0200687,0.0274318,0.013645,0.0155281,0.0133409,0.00839471,0.00646454,0.00491598,0.0139078,0.0349296,0.0145411,0.0159891,0.0168988,0.0136766,0.00933341,0.0125648,0.0134623,0.0307389,0.00792812,0.0078242,0.00917136,0.0116565,0.0146258,0.0083483,0.006188,0.0096906,0.00919764,0.00889197,0.0228544,0.0208439,0.0172115,0.00477003,0.00784552,0.00345564,0.0106572,0.00579446,0.00692266,0.0232248,0.00725525,0.00475593,0.00376914
5,0.024356,0.0198602,0.0276259,0.0132811,0.0145631,0.0133992,0.00811764,0.0063053,0.00524932,0.0137209,0.035954,0.0143373,0.0154702,0.0166626,0.0133268,0.00825411,0.0112683,0.013738,0.0296641,0.00720643,0.00714885,0.0084036,0.0128126,0.0139294,0.00711864,0.00682431,0.00872822,0.00852962,0.00851402,0.0224102,0.0219182,0.0170478,0.00481125,0.00670644,0.00416106,0.00929236,0.00512069,0.00742264,0.0229116,0.00618316,0.00357036,0.00273361
6,0.0237877,0.0197619,0.027993,0.012972,0.0137331,0.0133159,0.00787941,0.00631721,0.00559941,0.0136536,0.0368779,0.0140961,0.0150715,0.0163202,0.0129368,0.00696935,0.0103002,0.0140944,0.0283258,0.00638801,0.00645269,0.00764094,0.0140539,0.0129597,0.00595094,0.00742646,0.00785397,0.00795713,0.00826576,0.0220323,0.0235452,0.0169071,0.00543209,0.00580892,0.0053525,0.00752853,0.00578795,0.00813909,0.0218097,0.00512198,0.00241362,0.00184738
7,0.0231819,0.0197588,0.028513,0.0126894,0.0131212,0.0131029,0.00761702,0.00616199,0.0059467,0.0137292,0.0375568,0.013938,0.014747,0.0158992,0.012513,0.00564088,0.00974243,0.0143688,0.0267497,0.00564171,0.00580675,0.00700473,0.0153345,0.0116865,0.00443132,0.00796786,0.00716598,0.00738745,0.00826709,0.0215899,0.0254298,0.0168182,0.0065342,0.00568845,0.00600891,0.00591769,0.00750745,0.00941529,0.0196476,0.00429122,0.00193466,0.00203407
8,0.022541,0.0198388,0.0291574,0.0123909,0.012834,0.0127434,0.00726033,0.0056368,0.00624737,0.0139614,0.0378912,0.0138767,0.0144433,0.015436,0.0120926,0.00452365,0.00945107,0.0145144,0.0249828,0.00517094,0.00533294,0.00668793,0.0166093,0.0102105,0.00258574,0.00841829,0.00675024,0.0067461,0.00864553,0.0209934,0.0272601,0.0167778,0.00786735,0.00607923,0.00582383,0.00530442,0.00970972,0.0113373,0.016896,0.00406158,0.00283391,0.00355047
