Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0257788,0.0236653,0.0183677,0.0101294,0.0108785,0.00899375,0.00949085,0.0136208,0.0190386,0.0109652,0.0264928,0.0256653,0.0144982,0.0117431,0.0104504,0.0130778,0.0153818,0.013582,0.0210802,0.0136195,0.0109312,0.0102317,0.0183816,0.0112931,0.0140902,0.0101973,0.00574987,0.00852861,0.015522,0.0166924,0.0329305,0.0211415,0.0095275,0.00905249,0.0115616,0.0136578,0.0156752,0.012661,0.0167727,0.00996283,0.0115933,0.00729825
0,0.031889,0.0235998,0.00775386,0.013575,0.0201609,0.00991716,0.010303,0.0105541,0.0172308,0.0150511,0.0229749,0.0212532,0.0221526,0.0147191,0.0152792,0.00821728,0.0203332,0.0190203,0.0339821,0.0190226,0.0169244,0.0156138,0.022344,0.0184443,0.00402415,0.0128248,0.00762083,0.00549677,0.0152525,0.0163916,0.0370942,0.0265771,0.00847707,0.0107717,0.007015,0.0275832,0.013599,0.00946117,0.0286057,0.00965338,0.00957558,0.00787794
1,0.0316442,0.0230815,0.00892938,0.0132288,0.0147986,0.00898612,0.0101093,0.0111511,0.016686,0.0147903,0.0222067,0.0212048,0.025382,0.0177893,0.0155221,0.00743299,0.0210603,0.0215613,0.0284279,0.018189,0.0166281,0.014943,0.0223897,0.0177091,0.00715336,0.0135859,0.00718929,0.00461386,0.016709,0.0159009,0.0411364,0.026588,0.00640107,0.0100686,0.0108565,0.0193444,0.00560491,0.00246872,0.0197257,0.00903764,0.00856146,0.00650376
2,0.0314186,0.0225805,0.0100393,0.0126385,0.0116043,0.00807334,0.0100153,0.0118205,0.0161318,0.0143479,0.0222728,0.0208443,0.0277593,0.0201283,0.0164635,0.00713853,0.0217779,0.0230549,0.0246977,0.0169339,0.0160501,0.014169,0.0223277,0.0167676,0.0118591,0.0142806,0.00730674,0.0042498,0.0177336,0.0158401,0.0425363,0.0261401,0.00563027,0.00915517,0.0125034,0.0124987,0.00172831,0.00559382,0.0137004,0.0084282,0.00760434,0.00554162
3,0.0312445,0.0221751,0.0110572,0.011689,0.0101314,0.00725699,0.0100099,0.0123667,0.0155304,0.0139916,0.0227259,0.0201005,0.0292329,0.0214039,0.0171643,0.00746442,0.0223448,0.023661,0.0228029,0.015242,0.0151001,0.0132469,0.0221664,0.0155654,0.0116406,0.0147802,0.00768731,0.00407747,0.0184135,0.0162084,0.0409388,0.0255199,0.0056903,0.0078023,0.010603,0.00789961,0.00224063,0.00861354,0.0102845,0.00781173,0.00696388,0.00504611
4,0.031166,0.0220115,0.0121371,0.0105115,0.0096135,0.00667158,0.0100459,0.0126236,0.0148531,0.0138803,0.0233651,0.0190754,0.029925,0.0216808,0.0175166,0.00870415,0.0224681,0.0237231,0.022483,0.0131734,0.0136378,0.0121253,0.0219761,0.0142435,0.00837961,0.0151203,0.00815254,0.00399506,0.0190572,0.0169052,0.038343,0.025018,0.00671289,0.00648744,0.00677265,0.00629561,0.00334924,0.0100422,0.00803589,0.00721877,0.00683764,0.0051905
5,0.0312229,0.0222261,0.013377,0.00960053,0.00927346,0.00644061,0.00992644,0.0125437,0.0140495,0.0138764,0.0240139,0.018335,0.0299539,0.0213023,0.0177369,0.0108571,0.0220497,0.0235378,0.0230155,0.0108635,0.0115736,0.0108256,0.0219118,0.0129013,0.00681081,0.0153637,0.00864679,0.00401901,0.0197668,0.0178055,0.036762,0.0247735,0.00808848,0.00647653,0.00549785,0.00571036,0.00456931,0.0108277,0.005507,0.00656568,0.00713099,0.00609691
6,0.0313174,0.0228562,0.014661,0.00952307,0.00879157,0.00667615,0.00942482,0.0122432,0.0131219,0.0137971,0.0245758,0.0187024,0.0294723,0.0207126,0.0179484,0.0132756,0.021263,0.0230734,0.0236116,0.00850547,0.00903408,0.00948255,0.0220957,0.0115593,0.00799504,0.0154619,0.00915318,0.00416551,0.0203806,0.0188742,0.036378,0.024683,0.00889422,0.00765081,0.00711375,0.00557549,0.00587911,0.0116089,0.00276773,0.00623432,0.00766903,0.00756414
7,0.0311484,0.023733,0.015694,0.0102399,0.00825147,0.00750846,0.00853951,0.0118515,0.0122046,0.0137016,0.0250397,0.020367,0.028687,0.0201726,0.0180208,0.0150639,0.0203023,0.0219807,0.0236573,0.00627479,0.00643477,0.00816739,0.0225109,0.0100975,0.00907344,0.0155179,0.00961707,0.00441077,0.0208443,0.020125,0.0367145,0.0244734,0.00908316,0.00894931,0.00835418,0.00637879,0.00690502,0.0125252,0.00204683,0.00705457,0.00854502,0.00912634
8,0.0304796,0.024538,0.0161757,0.0108973,0.00783325,0.00881386,0.00762994,0.0113638,0.0115304,0.0138132,0.0254832,0.02267,0.0276653,0.019659,0.0177464,0.0157269,0.0192842,0.0200095,0.02278,0.0042786,0.00440646,0.00680204,0.0230267,0.00837512,0.0101498,0.0160059,0.00997149,0.0047246,0.0213292,0.0214798,0.0373282,0.0241466,0.00930951,0.0101375,0.00909099,0.00674301,0.00710115,0.0133401,0.00548433,0.00850847,0.00979747,0.0103699
9,0.0294614,0.0250268,0.0160602,0.0105975,0.007657,0.0099336,0.00712303,0.0107594,0.011188,0.0141831,0.0260748,0.0247564,0.0261625,0.0190984,0.0171369,0.0153562,0.0184127,0.0173678,0.0209255,0.00257978,0.00377455,0.0054077,0.0235216,0.00671812,0.0117581,0.0172504,0.0102091,0.00512203,0.0219123,0.0227315,0.0379421,0.023919,0.00993251,0.0111986,0.00962649,0.006442,0.00634973,0.013698,0.00880623,0.00952866,0.0111019,0.0111654
10,0.0284983,0.025245,0.0155262,0.00916862,0.00780413,0.0101601,0.00701882,0.00999366,0.0110138,0.0146215,0.026942,0.0260485,0.023916,0.0186334,0.0164966,0.0144558,0.0179694,0.0146425,0.018475,0.00143115,0.00504843,0.00436247,0.0239291,0.00575544,0.0137997,0.0190329,0.0103033,0.0056275,0.0223165,0.0236507,0.038523,0.0238319,0.0106473,0.0119417,0.0100921,0.00648312,0.00523264,0.0136589,0.0112647,0.00977884,0.0121518,0.011573
11,0.0278393,0.0253743,0.0148551,0.0073111,0.00828098,0.00946043,0.00699527,0.00911229,0.0108274,0.0149241,0.0280513,0.0265094,0.021146,0.018497,0.0160231,0.0139418,0.0179816,0.012418,0.0160035,0.00133823,0.00739031,0.00399873,0.024176,0.00552727,0.0157132,0.020439,0.0101574,0.00611652,0.0222234,0.0241907,0.0391485,0.0237398,0.0109118,0.0122178,0.0104271,0.00724106,0.00460531,0.0136432,0.0128609,0.00959637,0.0130046,0.0116816
12,0.0274542,0.0255137,0.0143128,0.00582237,0.00901545,0.00856141,0.00683771,0.00853086,0.0105949,0.0150461,0.0292593,0.0265006,0.0186374,0.0186867,0.0155603,0.014572,0.0181499,0.0109265,0.0139201,0.00164103,0.00957566,0.00398528,0.024137,0.00548561,0.0168695,0.0202214,0.00967407,0.00631184,0.0216651,0.0244566,0.0397668,0.0234545,0.0104914,0.0119535,0.0104799,0.00847957,0.00530221,0.0139386,0.0135579,0.00940781,0.0137579,0.0115032
13,0.0271613,0.0256497,0.01408,0.00481596,0.00987555,0.00815498,0.00650773,0.00858661,0.0103658,0.0150654,0.0304441,0.026297,0.0171341,0.0188787,0.0149171,0.0158813,0.0182307,0.0100088,0.0123193,0.001739,0.0105829,0.00377208,0.023719,0.00532151,0.0171457,0.0183627,0.008859,0.00609197,0.0209411,0.0244756,0.0402208,0.0228816,0.00961435,0.0111826,0.0102587,0.00964025,0.0071217,0.0144622,0.0132744,0.00909151,0.0142628,0.0110022
14,0.0267913,0.0257279,0.0142344,0.00454483,0.0106988,0.00816707,0.00607043,0.00924411,0.0101727,0.0150667,0.0315674,0.0259716,0.0166861,0.0187358,0.0142976,0.0168608,0.0182749,0.00942324,0.0110787,0.00221362,0.010068,0.0032348,0.0229853,0.00517836,0.0169033,0.0161637,0.00782948,0.00569587,0.0202526,0.024121,0.0404723,0.0221459,0.00871892,0.0100537,0.0097186,0.0102323,0.00896259,0.0149292,0.0120603,0.00832646,0.0144224,0.010204
15,0.0262988,0.0257154,0.0147241,0.00536113,0.0113109,0.00801592,0.00571264,0.0105397,0.0100416,0.0150536,0.0326261,0.0257612,0.0166448,0.0181987,0.0141145,0.0170885,0.0183827,0.00902539,0.0100923,0.00369127,0.00857108,0.00263409,0.0221752,0.00523369,0.0165889,0.0145172,0.00675115,0.00547017,0.019554,0.0233352,0.0406291,0.0215506,0.00815936,0.00875805,0.0088057,0.0103869,0.0102374,0.0151448,0.0101701,0.00726671,0.0145465,0.00927002
16,0.0257497,0.0256233,0.015392,0.00691426,0.0115582,0.00731604,0.00567229,0.0121838,0.0100537,0.0149451,0.0335453,0.0261425,0.0162872,0.0174115,0.0143539,0.0166725,0.018417,0.00874924,0.00940391,0.0057402,0.00702843,0.0022089,0.021563,0.00534906,0.0164252,0.0135043,0.00577777,0.00547586,0.0187192,0.0223421,0.0407587,0.0213634,0.00813078,0.00751928,0.00778081,0.0105995,0.0110634,0.0151096,0.00809398,0.00640874,0.015121,0.00848293
