Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0246783,0.0266268,0.0256047,0.0126976,0.0136891,0,0.027889,0.0328174,0.0176234,0.0220187,0.0190373,0.0149937,0,0,0.0260764,0.0133568,0.0129482,0.0159738,0.022791,0.0191539,0.0241937,0.0194479,0.0141451,0.00959121,0.0128246,0.014377,0,0.0277823,0.0339812,0.0208108,0.020724,0,0,0.01303,0.015552,0.0282798,0.0276358,0.0159357,0.0147138,0.0264346,0.026187,0.0121311,0.0130989,0.0129417,0.0129765,0.0171753,0.0135508,0.0145671,0.0170562,0.0143235,0.0201401
0,0.0239854,0.0363306,0.0362464,0.0259787,0.0288094,0,0.0444332,0.028471,0.0396475,0.0468333,0.0208954,0.017296,0,0,0.0173061,0.0368748,0.0431284,0.035319,0.0259152,0.0304844,0.025159,0.0273288,0.0314404,0.0208897,0.0242188,0.0261165,0,0.0437367,0.032393,0.0241736,0.0226805,0,0,0.00668625,0.0172544,0.0352444,0.0382951,0.0842584,0.0216267,0.0279129,0.0129375,0.0261358,0.020327,0.0170142,0.0274371,0.0213785,0.02368,0.0106528,0.017531,0.0171625,0.0506259
1,0.0231952,0.0372799,0.0361921,0.0215126,0.0267045,0,0.0444407,0.0289321,0.0356324,0.0497514,0.0182813,0.0162912,0,0,0.0126527,0.0327047,0.0423364,0.0320092,0.0231373,0.0265894,0.0215551,0.0235977,0.0267715,0.0190498,0.0234018,0.0250586,0,0.0419664,0.0325065,0.0244895,0.0226227,0,0,0.00570767,0.0175367,0.0352972,0.0381792,0.0714898,0.0216505,0.0632413,0.0126053,0.0227537,0.014811,0.0127356,0.0219402,0.0157693,0.0176154,0.00821568,0.0152814,0.0129593,0.0551309
2,0.0223763,0.0367022,0.0344058,0.0188304,0.0230306,0,0.0443551,0.0292482,0.0262042,0.0421004,0.0165477,0.0154022,0,0,0.0126819,0.0274316,0.0340322,0.0246128,0.0193278,0.0221418,0.0168695,0.0194915,0.0237496,0.0167222,0.021402,0.0227014,0,0.040304,0.0324642,0.024889,0.0225631,0,0,0.00535038,0.0171996,0.0352171,0.0371494,0.0560648,0.0191806,0.0738622,0.0154211,0.0145473,0.0103381,0.00816517,0.0145865,0.0090199,0.0115197,0.00579489,0.0116388,0.00672981,0.044524
3,0.0216566,0.0351581,0.0320979,0.0179298,0.0185264,0,0.0445004,0.0297647,0.0174835,0.0331354,0.0159381,0.0150515,0,0,0.0169642,0.0195596,0.0202222,0.016418,0.0163364,0.0186694,0.01241,0.0161336,0.0218576,0.0144167,0.0187234,0.0196232,0,0.0390476,0.0326612,0.0251378,0.0226358,0,0,0.00565041,0.0163109,0.0346118,0.0360269,0.0369735,0.0182354,0.0494884,0.0211268,0.005143,0.00604797,0.00366668,0.00821963,0.00414685,0.00744967,0.00358602,0.00749224,0.00151224,0.0265558
4,0.0209154,0.0334065,0.0311795,0.0179172,0.0150183,0,0.0449847,0.0307056,0.0147671,0.0313814,0.0160712,0.0152958,0,0,0.0205101,0.0103696,0.008953,0.0127873,0.0152069,0.0174674,0.00909756,0.0128364,0.0203493,0.012772,0.0158316,0.0180701,0,0.03823,0.0333772,0.0252151,0.0226971,0,0,0.00689571,0.0152934,0.0336597,0.0360681,0.0194353,0.0157434,0.0249093,0.028552,0.00475211,0.00709065,0.00630058,0.00722116,0.00542255,0.00714721,0.00230985,0.00352272,0.00507107,0.0173772
5,0.0198109,0.0319274,0.0318211,0.0174469,0.0148344,0,0.0449978,0.0312008,0.0176715,0.0362252,0.0164662,0.0153344,0,0,0.0218662,0.00432351,0.00776909,0.0149752,0.0156924,0.0177381,0.00734988,0.00844766,0.0191886,0.0120995,0.0128749,0.0199999,0,0.03718,0.0337537,0.0255946,0.0223435,0,0,0.00834537,0.0143174,0.0326858,0.0374643,0.0115393,0.0121072,0.0240521,0.0329802,0.00205123,0.0109263,0.00867686,0.00664266,0.00693905,0.00630573,0.00456874,0.00158029,0.00582037,0.0100822
6,0.0184728,0.0308449,0.0326321,0.0163505,0.0175156,0,0.0437616,0.030464,0.0221913,0.0416487,0.0168272,0.0146965,0,0,0.0179594,0.00935384,0.0124024,0.0207919,0.0168604,0.016685,0.0113037,0.00649939,0.0185454,0.0125368,0.0106726,0.0236306,0,0.0352932,0.0329877,0.0262521,0.0217017,0,0,0.00920108,0.0137966,0.0318241,0.0392446,0.00945258,0.0127285,0.0354173,0.0292743,0.00818727,0.00948352,0.00612646,0.00721397,0.00649945,0.00211761,0.00385917,0.00284227,0.00414235,0.00918346
7,0.0172584,0.0294408,0.032554,0.0148213,0.0187817,0,0.0414336,0.0282291,0.0243253,0.0436154,0.0169849,0.013394,0,0,0.0101429,0.0188499,0.0206059,0.0253788,0.0174228,0.0144338,0.017106,0.0102842,0.0177788,0.0135371,0.00984972,0.0249233,0,0.0326599,0.0308498,0.0267069,0.0209726,0,0,0.0092045,0.0138946,0.0307291,0.0400583,0.00850302,0.015412,0.0424237,0.0203053,0.0135161,0.0127175,0.0102032,0.0115738,0.00550224,0.00586252,0.00735627,0.00647848,0.00757962,0.0112517
8,0.0163909,0.0284622,0.0318269,0.0129215,0.0173791,0,0.0390047,0.0249204,0.0231875,0.0422205,0.0169027,0.0118978,0,0,0.00675676,0.022903,0.0240194,0.0255316,0.0182339,0.0143921,0.0212901,0.0139988,0.0162588,0.0142671,0.00989676,0.0232615,0,0.0299424,0.0276447,0.026761,0.0202644,0,0,0.00883217,0.0142447,0.0299538,0.0397281,0.00737695,0.0161957,0.0421511,0.0143375,0.0150851,0.018661,0.0178822,0.0149277,0.00538388,0.00980257,0.011037,0.00998832,0.00947314,0.0110644
