Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.00873273,0.0310498,0.0211353,0.00956646,0.0110962,0,0.0437752,0.0100273,0.0119823,0.0203745,0.0249414,0.0314606,0,0,0.0185417,0.0133333,0.0133257,0.0122751,0.0136249,0.0136305,0.0106943,0.00955029,0.00857183,0.00858597,0.00835661,0.0131785,0,0.0170388,0.0108573,0.0235499,0.0272541,0,0,0.00981508,0.0084283,0.0369397,0.0249787,0.0121633,0.0103398,0.0269984,0.0203855,0.0104607,0.0113466,0.0117792,0.0118921,0.0205633,0.0162886,0.0118041,0.0154822,0.0124223,0.0101914
0,0.0429111,0.0234513,0.0585446,0.0426135,0.0411797,0,0.0352082,0.0357772,0.0502279,0.0640233,0.0314942,0.0235938,0,0,0.0385338,0.0527764,0.0534436,0.0511547,0.0613343,0.0562658,0.0404509,0.0426576,0.0339551,0.0392872,0.0387927,0.0499831,0,0.0232499,0.0371711,0.0237521,0.0388145,0,0,0.0336367,0.039575,0.0478598,0.057259,0.0473925,0.0436213,0.0678987,0.0334716,0.0455189,0.0473623,0.0449359,0.0457552,0.0533104,0.0478991,0.0422057,0.0485178,0.0478623,0.0497476
1,0.0342298,0.0212313,0.0508782,0.032885,0.0328354,0,0.0306069,0.0270606,0.0413928,0.0562217,0.0246475,0.0172287,0,0,0.0302244,0.0450408,0.0457654,0.0429127,0.0532611,0.0482037,0.0326978,0.0343466,0.0245057,0.0304692,0.0299324,0.0409481,0,0.0144063,0.0295434,0.0184093,0.0328278,0,0,0.0253512,0.0310839,0.0418688,0.0483942,0.0381315,0.0349461,0.0599028,0.0258605,0.0363554,0.0392421,0.0366454,0.0371685,0.0451029,0.0406151,0.0348146,0.0401909,0.0405744,0.0412629
2,0.026644,0.0217044,0.0445238,0.0246785,0.0256861,0,0.0284515,0.0194616,0.0334532,0.0489892,0.0203043,0.0140936,0,0,0.0230835,0.0381416,0.0388801,0.0358493,0.0460137,0.0410647,0.0259988,0.0271981,0.0165742,0.0227604,0.0221371,0.032717,0,0.00761224,0.0232759,0.0166289,0.029106,0,0,0.0184044,0.0238731,0.0377858,0.0405249,0.0300507,0.0274746,0.0529116,0.0185752,0.0281389,0.0315283,0.0290884,0.0292626,0.0375386,0.0337536,0.0280768,0.0327457,0.0337204,0.0339796
3,0.0202901,0.0236139,0.0394946,0.0179214,0.0197532,0,0.0284663,0.0131612,0.0263542,0.0423162,0.0190303,0.0148382,0,0,0.017163,0.0320523,0.0327726,0.029908,0.0395655,0.0348387,0.0203414,0.021188,0.0100467,0.016326,0.0155653,0.0253152,0,0.00626127,0.0185741,0.0180792,0.0275903,0,0,0.0131821,0.0181509,0.0357216,0.0336893,0.0231087,0.0212729,0.0470106,0.0116245,0.0210546,0.0243591,0.0224831,0.022147,0.0306902,0.0273105,0.0220023,0.0262189,0.0272522,0.0277151
4,0.0153929,0.0258114,0.0357523,0.0126285,0.0150413,0,0.0299088,0.00859369,0.020143,0.0363395,0.0203759,0.0179258,0,0,0.0125977,0.0267714,0.0274632,0.0250333,0.0338789,0.0295272,0.0157219,0.0162921,0.00512134,0.0114982,0.010556,0.0187932,0,0.010197,0.0156232,0.0210868,0.0277587,0,0,0.0104229,0.0142593,0.0354881,0.027929,0.0172552,0.0163426,0.0422497,0.00520373,0.0153152,0.0179839,0.0170686,0.0159989,0.0247325,0.0213932,0.0166856,0.0206831,0.0212162,0.022244
5,0.0121884,0.0276194,0.033153,0.00897335,0.0114937,0,0.0319801,0.00659099,0.0149538,0.0312357,0.0230717,0.0215881,0,0,0.00965463,0.0222684,0.0229475,0.0211351,0.028887,0.0250958,0.012178,0.0124711,0.00370699,0.00881414,0.00775723,0.013196,0,0.0145466,0.0143327,0.0243152,0.0288484,0,0,0.0104544,0.0124464,0.0366003,0.023244,0.0124985,0.0125625,0.0385011,0.00220607,0.0109763,0.0126514,0.0128961,0.0109493,0.01995,0.0163355,0.0124049,0.0162476,0.0158494,0.0174304
6,0.0107114,0.0287408,0.031458,0.00718921,0.00899706,0,0.0341208,0.00722725,0.0110498,0.0271636,0.0260903,0.0250011,0,0,0.00865646,0.0184885,0.0191913,0.0180889,0.0245128,0.0214779,0.00978882,0.0096717,0.00601021,0.00850948,0.00761275,0.00860177,0,0.018182,0.0142082,0.0271499,0.0302085,0,0,0.0121297,0.0123872,0.0384575,0.0195976,0.00900068,0.00975596,0.0355092,0.00665696,0.00785665,0.00852151,0.00973186,0.00701287,0.016664,0.0127306,0.00967332,0.0130627,0.0116251,0.0132752
7,0.0105268,0.0291101,0.0303799,0.00692676,0.00738626,0,0.0360344,0.00889384,0.00878881,0.0241939,0.0289,0.0278741,0,0,0.00941922,0.0153763,0.0161333,0.0157469,0.0206959,0.0185996,0.00856044,0.0078173,0.00844488,0.0096724,0.00906094,0.00523899,0,0.0209671,0.0146166,0.0293768,0.031436,0,0,0.0141261,0.0132221,0.040501,0.016929,0.00703679,0.0077541,0.0329974,0.0107061,0.00558213,0.00565812,0.00720363,0.00406042,0.0149997,0.011111,0.00881483,0.0112129,0.00912203,0.00985856
8,0.0109334,0.0288014,0.0296334,0.00717511,0.00643593,0,0.0376111,0.0105222,0.00820196,0.0222459,0.0312705,0.0301319,0,0,0.0111659,0.0128838,0.0136741,0.0139369,0.0174073,0.0163948,0.00824589,0.00678185,0.0101186,0.0111981,0.0108141,0.00366762,0,0.0229582,0.0151003,0.0309703,0.0323447,0,0,0.0158255,0.014207,0.0422778,0.01515,0.00654626,0.00642525,0.0307444,0.013646,0.00375679,0.00421925,0.00526163,0.00190254,0.0146627,0.0111756,0.00919499,0.0105359,0.00841071,0.00724121
