Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0134677,0.0328172,0.0197644,0.00930708,0.0095733,0,0.033322,0.0107203,0.0101748,0.0190384,0.0219193,0.0248133,0,0,0.017277,0.010556,0.0110368,0.0104264,0.01519,0.0148076,0.0129146,0.00970416,0.00862483,0.00550882,0.0061899,0.00951286,0,0.0262271,0.0104983,0.0259627,0.028932,0,0,0.008571,0.00589496,0.0349324,0.0225268,0.0123483,0.00905103,0.0250227,0.0187838,0.00887379,0.0103818,0.0111286,0.00956572,0.0176647,0.0152512,0.00935195,0.0138277,0.0116701,0.00957144
0,0.0341718,0.0223065,0.0442111,0.0295735,0.0262789,0,0.0319093,0.0246433,0.0347013,0.0437777,0.0246403,0.0354737,0,0,0.0223188,0.0369579,0.0385345,0.0348703,0.0481249,0.0415121,0.027789,0.0268088,0.0247681,0.0317274,0.0317326,0.03102,0,0.0243192,0.0302498,0.0256964,0.0354878,0,0,0.0183204,0.0239597,0.0293912,0.0388834,0.0311129,0.029242,0.0508691,0.018156,0.0297019,0.0313852,0.0305326,0.0292429,0.0352491,0.0322718,0.0264244,0.0322006,0.0312985,0.0329775
1,0.0291633,0.0245888,0.0397418,0.0228441,0.0208072,0,0.0306064,0.0190539,0.0274224,0.0383925,0.0186325,0.0331284,0,0,0.0158458,0.0309852,0.0323915,0.0290977,0.0415424,0.0357113,0.021084,0.0199008,0.0169563,0.0254358,0.0253654,0.0243852,0,0.0221809,0.0253544,0.0245009,0.0322909,0,0,0.012287,0.0177914,0.0286171,0.0329464,0.0253545,0.0228992,0.0456482,0.0121769,0.0231117,0.0250664,0.0242403,0.0227887,0.02834,0.0260621,0.0203867,0.0250774,0.0251932,0.0282635
2,0.0251515,0.0270467,0.0360844,0.0174772,0.0163323,0,0.0307688,0.0146555,0.0209978,0.0332067,0.0138897,0.0322318,0,0,0.0106038,0.0259185,0.0271407,0.0242488,0.0356454,0.0306349,0.015861,0.0143862,0.0109537,0.0200639,0.0199022,0.0188441,0,0.0215433,0.0215991,0.0245688,0.0303715,0,0,0.00720764,0.0124439,0.0298168,0.027926,0.0202742,0.0175157,0.0411942,0.0077077,0.017418,0.0194106,0.0187016,0.0170867,0.0225811,0.0207294,0.0153627,0.0194991,0.0199654,0.0239463
3,0.0221278,0.0292016,0.033176,0.0135218,0.0128621,0,0.0319395,0.0117026,0.0154337,0.0283721,0.0108702,0.032445,0,0,0.00689231,0.0216017,0.022671,0.020223,0.0304498,0.0262682,0.0122898,0.0103028,0.00697447,0.0155308,0.0152723,0.0144574,0,0.0219591,0.0190123,0.0254248,0.0294814,0,0,0.00360181,0.00796782,0.0320896,0.0238531,0.0158769,0.0130536,0.0374813,0.00630482,0.0126353,0.0145198,0.013961,0.0121711,0.018021,0.0163149,0.0114622,0.015582,0.0156095,0.019931
4,0.0199992,0.0307989,0.0309231,0.0110687,0.0103378,0,0.0336469,0.0103242,0.0108458,0.0241964,0.00997346,0.0333446,0,0,0.00560629,0.0179761,0.0189586,0.0169861,0.0259683,0.0226446,0.010353,0.00772622,0.00547621,0.0117514,0.0114094,0.011295,0,0.022899,0.0174839,0.026629,0.0292761,0,0,0.0035642,0.00458557,0.0346581,0.0207341,0.0122345,0.00949546,0.0344652,0.00812742,0.00877771,0.0105661,0.0101149,0.00809927,0.0147079,0.0129518,0.0088807,0.0132608,0.0121614,0.0162568
5,0.0185698,0.0317307,0.0291994,0.0100614,0.0085884,0,0.0355079,0.0101869,0.00745035,0.0209432,0.0107839,0.034547,0,0,0.00683353,0.0150426,0.0160075,0.0144905,0.0221894,0.0197781,0.00964893,0.00658021,0.00594477,0.00866053,0.00825968,0.00933561,0,0.0239586,0.0167245,0.0278573,0.0294319,0,0,0.0058048,0.00305434,0.0370179,0.0185071,0.00943996,0.00679262,0.032044,0.0107452,0.00579643,0.00773913,0.00728503,0.00488935,0.0126125,0.0108232,0.00778332,0.0121716,0.00972545,0.0130472
6,0.0176021,0.0319949,0.0278716,0.0100879,0.00736958,0,0.0372602,0.0106452,0.005604,0.0187112,0.0123204,0.0357694,0,0,0.00905104,0.0128906,0.0138465,0.0126586,0.0190939,0.0176414,0.00955767,0.00642573,0.00688342,0.00622197,0.00578533,0.00836073,0,0.0249085,0.0163739,0.0289114,0.0297127,0,0,0.00793465,0.00376848,0.0388898,0.0170499,0.00751374,0.00486972,0.0300754,0.013002,0.00360565,0.00620659,0.00564688,0.00255488,0.01155,0.00992448,0.00790449,0.0118176,0.00836984,0.010427
7,0.0168913,0.0316629,0.0268173,0.0105544,0.00644508,0,0.0387431,0.0111947,0.00539066,0.017367,0.0139016,0.0368234,0,0,0.011406,0.0116698,0.0124947,0.0113892,0.0166736,0.0161672,0.00962957,0.00671399,0.00754748,0.00442859,0.00397341,0.00796573,0,0.0256474,0.0161313,0.0296891,0.0299709,0,0,0.00957933,0.00506286,0.0401394,0.0162094,0.00632808,0.00366406,0.0284199,0.0146459,0.00216,0.00588165,0.00525861,0.00136937,0.0112236,0.00990164,0.00858297,0.0118323,0.00792671,0.00845197
8,0.016299,0.0308562,0.0259346,0.0110024,0.00565555,0,0.0398768,0.0115961,0.00602007,0.0165848,0.0152312,0.037596,0,0,0.0136577,0.0113638,0.0118479,0.0105362,0.014922,0.0152437,0.00970927,0.00711851,0.00777795,0.00327443,0.00284129,0.00775444,0,0.0261538,0.0158067,0.0301548,0.0301323,0,0,0.0107219,0.00610891,0.0407269,0.0158401,0.0056432,0.00314217,0.0269722,0.0157114,0.00158196,0.0062791,0.0057385,0.00170028,0.0113783,0.0103145,0.00933098,0.0120555,0.00804431,0.00706943
