Timestep,C7,CLAV,LACR,LAJC,LASH,LASI,LCAL,LEJC,LFAradius,LFAsuperior,LFAulna,LHJC,LKJC,LLEL,LLFC,LLMAL,LMEL,LMFC,LMMAL,LMT5,LPSH,LPSI,LSJC,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RAJC,RASH,RASI,RCAL,REJC,RFAradius,RFAsuperior,RFAulna,RHJC,RKJC,RLEL,RLFC,RLMAL,RMEL,RMFC,RMMAL,RMT5,RPSH,RPSI,RSJC,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.00836341,0.0084518,0.00808481,0.00406396,0.0130034,0.0115668,0.00589698,0.00337395,0.0097294,0.00304687,0.0100996,0.00367385,0.00225284,0.0099256,0.00339909,0.00641832,0.0108673,0.0073082,0.00456486,0.00727689,0.0115123,0.006945,0.00386815,0.00274965,0.0032579,0.00344678,0.00270831,0.00237245,0.002168,0.00441528,0.00373836,0.00348688,0.00357731,0.00780639,0.00445853,0.0137984,0.0118112,0.00636791,0.00406409,0.0100623,0.00389652,0.0106726,0.00354666,0.00331658,0.0103786,0.00376524,0.00646784,0.0107782,0.00763979,0.0045494,0.00747891,0.00965087,0.00700401,0.00268353,0.0040242,0.00393397,0.00450285,0.00236725,0.00238367,0.00270851,0.00430003,0.00283014,0.00349554,0.00324296
0,0.00790539,0.00826608,0.00882605,0.00853147,0.0153962,0.0103948,0.0121064,0.00181338,0.0107097,0.00158036,0.00914974,0.00144712,0.0037002,0.0105852,0.00147594,0.00971445,0.00934172,0.00818041,0.00798632,0.0075228,0.00887666,0.00823895,0.00332723,0.00500985,0.00603406,0.00640923,0.00125225,0.00181258,0.00225785,0.00702765,0.00303531,0.00229927,0.00261516,0.00679207,0.00805375,0.0108958,0.0131684,0.0112777,0.00643895,0.00285501,0.00660498,0.0167271,0.00224948,0.00516165,0.00899911,0.00306475,0.00967676,0.013548,0.0090307,0.00746705,0.00946255,0.0117213,0.00792669,0.00460775,0.0069468,0.00711603,0.00816983,0.00391846,0.00422776,0.00512749,0.00870702,0.00481307,0.00566311,0.00536655
1,0.00800804,0.00818131,0.00877457,0.00814595,0.0153368,0.0104729,0.0116733,0.00173696,0.0108329,0.00148395,0.00893745,0.00138685,0.00377607,0.0105965,0.00142565,0.0094639,0.00929315,0.00817805,0.00755332,0.00738953,0.00891516,0.00813391,0.00326178,0.00494443,0.00585578,0.00620773,0.00129423,0.00184706,0.00232863,0.00660945,0.00296198,0.0022147,0.00253369,0.00676068,0.008475,0.0108326,0.0130596,0.011746,0.00633378,0.00300398,0.00644667,0.0165169,0.00203375,0.0051744,0.00895076,0.00302329,0.0100769,0.0134895,0.00907739,0.00794133,0.00986279,0.0117486,0.00776193,0.00466001,0.00708065,0.00736025,0.00844309,0.00369815,0.00406616,0.00500095,0.0090154,0.0048375,0.00560619,0.00533649
2,0.00808798,0.00811542,0.00872127,0.00786256,0.0152696,0.0105367,0.0113474,0.00171466,0.0109283,0.00144863,0.00879098,0.00133624,0.00384125,0.0106089,0.00138878,0.0092955,0.00926719,0.00816454,0.00721846,0.00733325,0.00894434,0.0080331,0.00319501,0.0048959,0.00572453,0.00606133,0.0012932,0.00184833,0.00235409,0.00628118,0.00289877,0.00217168,0.00248135,0.00675127,0.00864861,0.0108069,0.0130383,0.0119365,0.0062781,0.00312931,0.00634486,0.0163391,0.00189414,0.00528923,0.00893329,0.00307946,0.0102448,0.0134536,0.00913577,0.00819135,0.0099964,0.0117682,0.00762225,0.00469247,0.00719073,0.0075081,0.00856976,0.0035215,0.00395277,0.00493831,0.00914895,0.00485546,0.00557917,0.00532482
3,0.00814954,0.00806526,0.00866603,0.00766831,0.0151991,0.010583,0.0111171,0.00172523,0.0109913,0.00144922,0.00870082,0.00131104,0.00388621,0.0106191,0.00136889,0.00919634,0.00925777,0.00813873,0.0069776,0.00733469,0.0089629,0.00794225,0.00313251,0.00485498,0.00562962,0.00595885,0.00125856,0.00182257,0.00233532,0.00603801,0.00284615,0.00215634,0.00245038,0.00675863,0.00854809,0.0108093,0.0130858,0.0118397,0.00625254,0.00322477,0.00628212,0.0162008,0.00184524,0.00548605,0.00893637,0.00322258,0.0101707,0.0134296,0.00920209,0.00817512,0.00990834,0.0117826,0.00751197,0.00470613,0.0072628,0.00754011,0.00853724,0.00341101,0.00390457,0.00494598,0.00905088,0.00486307,0.00556712,0.00532016
4,0.0081976,0.00802726,0.00861066,0.00754695,0.0151323,0.0106119,0.0109678,0.00173985,0.0110219,0.00145712,0.00865392,0.00132042,0.00390339,0.0106211,0.0013635,0.0091503,0.00925967,0.00810165,0.00682149,0.00737363,0.00897058,0.00786387,0.00307981,0.00481732,0.00556278,0.00589229,0.0012127,0.00178395,0.0022867,0.00587509,0.00280257,0.00214797,0.00242806,0.00677564,0.00821809,0.0108258,0.0131693,0.0115122,0.00623747,0.00328638,0.00624047,0.0161067,0.00186459,0.00572279,0.00895026,0.00341442,0.00990437,0.0134071,0.00927121,0.00792571,0.00967367,0.0117944,0.00743094,0.00470409,0.00728575,0.00746346,0.00836608,0.00336532,0.00391561,0.00500662,0.00876338,0.00485849,0.00555617,0.00531211
5,0.00823479,0.0079993,0.00855897,0.00748656,0.0150742,0.0106277,0.0108863,0.0017398,0.0110261,0.0014551,0.008637,0.00135489,0.00389665,0.0106122,0.00136491,0.00914635,0.00926881,0.00805981,0.00673504,0.00743862,0.00897088,0.00779573,0.00303652,0.00478937,0.0055244,0.00586276,0.00117486,0.00174167,0.00223016,0.00578817,0.00276383,0.00213184,0.002404,0.00679631,0.00777955,0.0108468,0.0132621,0.0110716,0.00622843,0.00331715,0.00621517,0.016052,0.00191139,0.00594028,0.00896984,0.00358719,0.00954596,0.0133859,0.00933128,0.00756599,0.00935889,0.0118031,0.00737207,0.00469166,0.00725303,0.00731498,0.00810876,0.00334621,0.00394305,0.00506973,0.00837422,0.00484595,0.00554569,0.00530133
6,0.00826687,0.00797588,0.00851029,0.00746559,0.0150201,0.010636,0.0108469,0.00172149,0.011013,0.00143914,0.00863766,0.0014035,0.00386539,0.0105949,0.00136476,0.0091694,0.00928123,0.00801427,0.00668897,0.00752013,0.00897027,0.00773321,0.00299304,0.00476889,0.00550544,0.00586185,0.00115043,0.00168995,0.0021742,0.00575446,0.00272142,0.00210228,0.00237116,0.0068178,0.00735561,0.0108688,0.0133562,0.0106421,0.00622709,0.00332908,0.00620405,0.0160209,0.00196424,0.0060756,0.00899293,0.0036677,0.00918948,0.0133689,0.0093646,0.00722282,0.00904027,0.0118092,0.00732565,0.00467654,0.00715846,0.00713201,0.00781958,0.00331087,0.00393659,0.00507864,0.00797921,0.00483293,0.00554026,0.00529351
7,0.00829855,0.0079524,0.00846217,0.00746705,0.014963,0.0106395,0.0108293,0.00168784,0.010987,0.00140959,0.00865028,0.00146378,0.00381015,0.010574,0.0013621,0.0092098,0.00929252,0.00796446,0.00666206,0.00761309,0.00897381,0.00767257,0.0029407,0.00475143,0.00549719,0.00588021,0.00113625,0.00162257,0.00211722,0.00575199,0.00266907,0.00205897,0.00232651,0.00683976,0.00703385,0.0108926,0.0134527,0.0103219,0.00623314,0.00333202,0.00620227,0.0160008,0.00202261,0.00609388,0.00901849,0.00362276,0.00890332,0.0133565,0.00935741,0.00698349,0.00878025,0.011813,0.0072844,0.00466351,0.00701511,0.00695005,0.00755358,0.00324528,0.00387479,0.00501032,0.00765307,0.00482315,0.00554077,0.00529086
8,0.00833406,0.00792527,0.00841245,0.00747573,0.0148985,0.0106399,0.0108159,0.00164237,0.0109514,0.00136625,0.00866893,0.00153674,0.003734,0.0105545,0.00136054,0.00925846,0.00929819,0.00791048,0.00663871,0.0077134,0.00898459,0.00760783,0.00287494,0.00473119,0.00549068,0.00590634,0.00112812,0.00153884,0.00205483,0.00576032,0.00260388,0.00200309,0.00226926,0.00686154,0.00684492,0.0109184,0.0135491,0.010152,0.00624418,0.00333319,0.0062044,0.0159838,0.00209008,0.00600465,0.00904508,0.00347234,0.00871575,0.0133475,0.00930903,0.00687861,0.00859515,0.0118152,0.0072393,0.00465502,0.00685246,0.00679538,0.00735008,0.00315759,0.0037659,0.0048787,0.00743075,0.00481768,0.00554558,0.00529287
