subjectID,raw_peak_forces,raw_rms_forces,raw_peak_moments,raw_rms_moments,mass_normalized_peak_forces,mass_normalized_rms_forces,mass_normalized_peak_moments,mass_normalized_rms_moments,kinetic_normalized_peak_forces,kinetic_normalized_rms_forces,kinetic_normalized_peak_moments,kinetic_normalized_rms_moments
subject2,16.786720047035498,4.381764881788525,164.68069444571663,38.81960800221016,0.2146639392204028,0.056032798999853285,2.105891233321184,0.4964144245806924,0.012714138986991303,0.0035084304112359896,0.05741938917389392,0.014209846178482328
subject3,74.44697196161368,18.856767373396057,34.62285020922137,11.066968636599727,1.1723932592380109,0.29695696651017417,0.5452417355782893,0.17428297065511386,0.03461451062008192,0.008701504212136038,0.02472608007950317,0.008198156613685099
subject4,166.36728406226788,33.834329724006366,83.23718610037551,18.09085641694461,2.6576243460426183,0.5404845003834883,1.329667509590663,0.28899131656461036,0.09059902226868806,0.02235678742551712,0.057749355453618936,0.01394324104396426
subject5,323.2597591960093,67.65266686344725,117.25909847072816,30.842026149231707,4.071281601964853,0.8520487010509729,1.4768148422006067,0.3884386164890642,0.08878860019770447,0.01891112093935263,0.04066563404428581,0.011825261287269321
subject6,167.5073749282441,33.28179248538567,83.88425451478096,18.86857559716056,2.8391080496312555,0.5640981777184011,1.4217670256742534,0.3198063660535687,0.07944495492445225,0.016171206206564096,0.053065690971252834,0.013192936153188034
subject7,139.24728012144237,33.39237310267716,100.28691679836773,22.778857002967957,2.2752823549255288,0.545627011481653,1.6386751110844398,0.3722035458001299,0.07857612606459742,0.0239803967739594,0.06151952625031791,0.016115223026398943
subject8,174.93347387369653,32.6944886372221,78.52421532474578,20.06062513683994,2.9450079776716587,0.5504122666199008,1.3219564869485818,0.3377209618996622,0.07480274985851383,0.015089849909301475,0.05494962279293881,0.01576290400235871
subject9,187.60857852594475,40.78681250555259,75.48874262885319,20.54489324382023,2.478316757278001,0.5387954095845784,0.997209281754996,0.2713988539474271,0.19144557936454093,0.04150690782861275,0.042811729292111585,0.012024690328794467
subject10,131.51262704137747,25.924356745140212,80.66117271720421,18.58788025725169,2.1918771173562916,0.43207261241900363,1.3443528786200702,0.3097980042875281,0.17723144508628935,0.03451810600732413,0.060691428392466336,0.015596048518347136
subject11,100.78610025018072,23.369483270052456,70.5305609928902,18.524737655382378,1.0848880543614714,0.25155525586708777,0.7592094832388611,0.19940514160799114,0.03378324348021632,0.007782702306872001,0.0319114097081434,0.008193564956021086
