Subject,Marker RMSE (m)
subject2,0.01735514596762213
subject3,0.012753235086878105
subject4,0.01341099321931729
subject5,0.016014416850827887
subject6,0.021800289900293132
subject7,0.01935455138139186
subject8,0.01978609560938215
subject9,0.01505157932223477
subject10,0.0167389277332875
subject11,0.020094605913233133
