Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0408343,0.0323644,0.0108941,0.0123854,0.0159376,0,0.0332721,0.0239732,0.0113605,0.0201637,0.029688,0.023777,0,0,0.0344017,0.0150116,0.0117162,0.0146937,0.0193437,0.0179636,0.0127439,0.0118917,0.0137738,0.043491,0.0479481,0.0151334,0,0.0270128,0.0239384,0.0253013,0.0265309,0,0,0.0580185,0.0588774,0.0275188,0.016387,0.00922089,0.0112576,0.01545,0.0328194,0.00721286,0.0107986,0.00909625,0.00782703,0.0200468,0.0181993,0.0159422,0.0172114,0.0111033,0.0116525
0,0.0387366,0.0146695,0.01321,0.0390598,0.0231594,0,0.0493741,0.0321746,0.0256399,0.050265,0.0362182,0.0393034,0,0,0.0391657,0.0361153,0.0283397,0.046905,0.0336442,0.033107,0.0280044,0.0267112,0.0423077,0.0385925,0.0484204,0.00604189,0,0.00930328,0.0361247,0.0326835,0.0248313,0,0,0.0597271,0.0584185,0.0181203,0.00913304,0.00497275,0.0124119,0.0246001,0.0314912,0.0141841,0.0182801,0.0140703,0.0186132,0.0119843,0.0209969,0.024801,0.0109418,0.0218143,0.00289225
1,0.03569,0.0165532,0.0119779,0.0330207,0.021156,0,0.048875,0.0298164,0.0197397,0.0431094,0.0386707,0.0408543,0,0,0.0372923,0.0310899,0.0231419,0.0421428,0.0306215,0.0296887,0.0237747,0.0218445,0.0378807,0.0405173,0.0498517,0.00618992,0,0.00724708,0.0338787,0.0338696,0.0264512,0,0,0.06236,0.0605805,0.021899,0.00741725,0.00493161,0.00942088,0.0235867,0.0316052,0.0113107,0.012974,0.0106107,0.0138219,0.00887129,0.0170551,0.0191715,0.0092229,0.0168772,0.00565934
2,0.0331405,0.0181913,0.0111217,0.0276937,0.0198538,0,0.048415,0.0276999,0.0148843,0.0370822,0.040573,0.0421103,0,0,0.0366264,0.0275764,0.019574,0.0382793,0.0279544,0.0265991,0.0203348,0.0177659,0.0341469,0.0422113,0.0510993,0.00888819,0,0.00577361,0.0318463,0.0348711,0.0277759,0,0,0.064551,0.0624262,0.0259164,0.00677532,0.00493689,0.00705028,0.0228259,0.032896,0.00974101,0.00961728,0.00889231,0.0107297,0.00770171,0.0147229,0.0148193,0.00913844,0.0130874,0.00739445
3,0.0311406,0.0194683,0.010472,0.0230288,0.0192023,0,0.0478895,0.0257464,0.010986,0.0321632,0.0420199,0.0430773,0,0,0.0366553,0.0253434,0.0175148,0.0350456,0.025627,0.023809,0.0176424,0.0144142,0.0308104,0.0436421,0.0521479,0.0119009,0,0.00481216,0.0299623,0.0355914,0.0287024,0,0,0.0662503,0.0638686,0.0296572,0.00674939,0.00501972,0.00540556,0.0221841,0.0346447,0.00930507,0.00866184,0.00901863,0.00942314,0.00810899,0.0137547,0.0118929,0.0101082,0.0106039,0.00851223
4,0.0297605,0.0203055,0.0098519,0.0190988,0.019091,0,0.0472247,0.0239072,0.00804299,0.0281852,0.043103,0.0437786,0,0,0.036921,0.0240182,0.0166216,0.0321714,0.0235809,0.0213217,0.0155961,0.0117357,0.0276605,0.0448094,0.0530019,0.0144968,0,0.00423047,0.0281888,0.035965,0.0291641,0,0,0.0674167,0.0648404,0.0327818,0.00673154,0.00529664,0.0044802,0.0215444,0.0362782,0.00949463,0.00935367,0.0101602,0.00935655,0.00897458,0.0134963,0.010243,0.0113644,0.00930671,0.0092846
5,0.029014,0.0206894,0.00914253,0.0160897,0.0193416,0,0.0463881,0.0221636,0.00603508,0.0248496,0.0438884,0.0442414,0,0,0.0372024,0.0232499,0.0164573,0.0294739,0.0217367,0.0191262,0.0140802,0.00970852,0.0245936,0.0457448,0.0536931,0.0164989,0,0.00390735,0.0265158,0.0359885,0.0291689,0,0,0.0680722,0.0653458,0.0351136,0.00638862,0.00568979,0.0040501,0.0208366,0.0375067,0.00981551,0.0104274,0.0114573,0.00971182,0.00959298,0.0133483,0.00937142,0.0124842,0.00872827,0.00982793
6,0.0288422,0.0206454,0.00831842,0.0143558,0.0197664,0,0.0453871,0.0205302,0.00489914,0.0218846,0.0444113,0.0444863,0,0,0.0374752,0.0228027,0.0166704,0.0268797,0.0200531,0.0171985,0.0130123,0.00835039,0.0215867,0.0464867,0.0542655,0.0179026,0,0.00380132,0.0249573,0.0357051,0.0287815,0,0,0.0682916,0.0654481,0.0366008,0.00567802,0.00610628,0.00382111,0.0200589,0.0382725,0.00998517,0.0113096,0.0125608,0.0099825,0.00978544,0.0130245,0.00876874,0.0133282,0.00836039,0.0102192
7,0.0291252,0.0202122,0.00744468,0.0142898,0.0202144,0,0.0442569,0.0190469,0.00452954,0.019179,0.044684,0.0445226,0,0,0.0378075,0.022552,0.017045,0.024395,0.0185407,0.0154991,0.0123458,0.007672,0.0186453,0.0470669,0.0547654,0.0187691,0,0.00392335,0.0235381,0.0351811,0.0280962,0,0,0.0681762,0.065243,0.0372851,0.00474093,0.00650084,0.00361775,0.0192618,0.0386538,0.00991131,0.0119604,0.013435,0.010004,0.00961947,0.0124665,0.00816095,0.0139001,0.00791963,0.0105152
8,0.0297149,0.0194332,0.00665135,0.0158443,0.0205929,0,0.0430427,0.0177672,0.00475762,0.016797,0.0447032,0.044342,0,0,0.0382746,0.022443,0.0174633,0.0220696,0.0172339,0.013969,0.0120334,0.00760538,0.0157935,0.0475077,0.0552299,0.019185,0,0.00427267,0.0222822,0.0344865,0.0272122,0,0,0.0678286,0.0648306,0.0372819,0.00383258,0.00684283,0.00339696,0.0185153,0.0387836,0.00963916,0.0125385,0.0141498,0.00981843,0.00923632,0.0117021,0.00748382,0.0142656,0.00735018,0.0107356
