Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
120,0.0164525,0.0212197,0.0108276,0.00526476,0.0108275,0,0.0162412,0.0339027,0.0115897,0.0258736,0.0396183,0.038166,0,0,0.0389611,0.00957624,0.00552823,0.00964487,0.0130127,0.00861908,0.0145049,0.0101771,0.00804576,0.00503553,0.013503,0.00559812,0,0.0021362,0.0310464,0.0208168,0.0337813,0,0,0.0169861,0.0167513,0.0235968,0.0161102,0.0062695,0.0221006,0.0268354,0.0388949,0.00275411,0.00988435,0.00899634,0.00314809,0.0076322,0.0025526,0.00341957,0.0068732,0.00401522,0.0109291
121,0.0161504,0.021354,0.01084,0.00518245,0.0107917,0,0.016193,0.0337915,0.0115484,0.0256859,0.0395847,0.0379308,0,0,0.0388349,0.00964419,0.00570722,0.0096319,0.0129993,0.00834076,0.0146559,0.00976503,0.00806331,0.00517865,0.0135488,0.00559217,0,0.00205247,0.0308659,0.0206838,0.0335598,0,0,0.0170549,0.0166822,0.0232595,0.0159676,0.00634348,0.0219905,0.0268304,0.0385912,0.00258011,0.00993751,0.00911435,0.00314213,0.00815095,0.00247703,0.00337102,0.00649064,0.0039121,0.0108392
122,0.0159384,0.0217046,0.0108847,0.00514112,0.0107621,0,0.0160896,0.0336204,0.0114639,0.0254977,0.0395747,0.0377603,0,0,0.0387266,0.00974609,0.00627011,0.00951577,0.0129455,0.007998,0.0148026,0.00943139,0.00803462,0.00520044,0.0135137,0.00572222,0,0.00203176,0.0306781,0.0206203,0.0333908,0,0,0.0170367,0.0165771,0.022931,0.0158897,0.00637888,0.0217988,0.0267803,0.0384574,0.00244623,0.00983235,0.00927011,0.00308897,0.00811936,0.00264133,0.00341634,0.00623875,0.00398893,0.0107449
123,0.0158918,0.0220554,0.0109907,0.00512306,0.010689,0,0.0159176,0.0334761,0.011352,0.0252954,0.0396242,0.0378142,0,0,0.0386417,0.00966551,0.0067272,0.00937836,0.0127943,0.00764839,0.0149133,0.00923605,0.00797214,0.00516661,0.01348,0.00587628,0,0.00213104,0.0305782,0.0206235,0.0333034,0,0,0.0169957,0.0164791,0.0225791,0.0158226,0.00633693,0.0215769,0.0266724,0.0381716,0.0024669,0.00951954,0.00925054,0.00298645,0.00717209,0.0028809,0.00355487,0.00608503,0.00417616,0.0106361
124,0.0158972,0.0221997,0.0111376,0.00512934,0.0104871,0,0.0158004,0.0333781,0.0112126,0.0250169,0.0396829,0.038309,0,0,0.0385842,0.00936923,0.00680583,0.00923992,0.0125424,0.00732849,0.0148016,0.00907675,0.00788655,0.00519468,0.0134997,0.00591358,0,0.00236787,0.030538,0.0206817,0.0334403,0,0,0.0169429,0.0164201,0.0222001,0.0157291,0.00625962,0.0213588,0.0265242,0.037641,0.00253174,0.00915018,0.00895875,0.00279875,0.0063944,0.00307946,0.00376222,0.00589703,0.00437048,0.0104719
125,0.0157544,0.022191,0.0112756,0.00517187,0.0101784,0,0.0158288,0.0333157,0.0110404,0.0246623,0.0397008,0.0389534,0,0,0.038555,0.00901038,0.00682405,0.00909616,0.0122843,0.00702286,0.0143905,0.00882547,0.00778452,0.00532463,0.0135064,0.0059085,0,0.00265332,0.0304712,0.0207822,0.0337933,0,0,0.0168494,0.0163708,0.0218209,0.0156311,0.00618861,0.0211172,0.0263646,0.0373223,0.00242048,0.0088237,0.00855454,0.00251466,0.00632805,0.00327788,0.00404495,0.00567037,0.00453313,0.0102592
126,0.0158585,0.0222376,0.0113927,0.00524279,0.00990101,0,0.0159094,0.0331991,0.0108492,0.0243071,0.0397101,0.039147,0,0,0.0385328,0.00872161,0.00698893,0.00896711,0.012052,0.00670701,0.0139078,0.00844145,0.00767261,0.0054615,0.0133832,0.00607974,0,0.00285217,0.0303725,0.0209177,0.0340924,0,0,0.0167183,0.0162761,0.0214543,0.0155924,0.00611416,0.0208311,0.0261952,0.0375844,0.00213681,0.00857053,0.00823941,0.0021884,0.00654773,0.00357928,0.00426823,0.00556228,0.00467975,0.010053
127,0.0162617,0.0224362,0.0115303,0.005317,0.00975312,0,0.0159075,0.0330011,0.0106578,0.0240034,0.0397613,0.038845,0,0,0.0384661,0.00854785,0.0068917,0.00882424,0.0118157,0.00636147,0.0135894,0.00797703,0.0075624,0.00553487,0.0131938,0.00649643,0,0.00296302,0.0303017,0.0210751,0.0341215,0,0,0.016593,0.0161315,0.0210926,0.015632,0.00602071,0.0205464,0.0260086,0.0381144,0.00194637,0.00829898,0.00802975,0.00192086,0.00668383,0.00394232,0.00442328,0.00562093,0.00482445,0.00987586
128,0.0160159,0.0226834,0.0117146,0.00538738,0.00966461,0,0.0158269,0.0328439,0.0104669,0.0237243,0.0398606,0.0384655,0,0,0.0383339,0.00843657,0.00631465,0.00863128,0.0115917,0.00594668,0.0133893,0.00753604,0.00746035,0.00557855,0.0130887,0.00693361,0,0.00311185,0.0301914,0.021221,0.0340416,0,0,0.0164962,0.0159682,0.0207275,0.0156405,0.00590042,0.0203133,0.0258148,0.0383829,0.00196701,0.00802816,0.00783429,0.0017461,0.00667374,0.00420801,0.00461835,0.00565614,0.00495687,0.00969867
129,0.0149626,0.0228445,0.011903,0.00546439,0.00950975,0,0.0157346,0.0327857,0.0102737,0.0234137,0.0399865,0.0381745,0,0,0.0381967,0.00826122,0.00567457,0.00845577,0.0113266,0.00544573,0.0131481,0.00719581,0.00736491,0.00564295,0.0130655,0.00716564,0,0.00335312,0.0298434,0.0213397,0.0341059,0,0,0.0164061,0.0157932,0.0203833,0.0154838,0.00574195,0.0201027,0.0256209,0.0381815,0.00195192,0.00779087,0.0076079,0.00160544,0.0065048,0.00428902,0.00474422,0.00554232,0.0050521,0.00950118
130,0.0142805,0.0229117,0.0120223,0.00554248,0.00930242,0,0.01559,0.0327041,0.0100859,0.0230633,0.0401066,0.0379104,0,0,0.038129,0.00798494,0.00526895,0.00833411,0.0109473,0.00497043,0.0128363,0.00693478,0.00727666,0.00575026,0.0130516,0.0072482,0,0.00358172,0.0293287,0.0214559,0.034222,0,0,0.0163017,0.0155993,0.0201038,0.0152249,0.00556625,0.0198457,0.0254155,0.0375413,0.0017761,0.00755603,0.00737717,0.00147437,0.00630246,0.00418605,0.00479884,0.00545356,0.00508093,0.00930093
131,0.0142013,0.0229318,0.0120511,0.00560629,0.00909512,0,0.0153494,0.0325034,0.00991414,0.0227121,0.0402049,0.0377249,0,0,0.0381163,0.00769569,0.00498195,0.00816833,0.0105717,0.00453355,0.0124983,0.00668385,0.00719512,0.00588813,0.0130081,0.00732736,0,0.00374697,0.0290871,0.0215853,0.0342159,0,0,0.016194,0.0154091,0.0198717,0.0150643,0.00543803,0.0195409,0.0251887,0.0367284,0.00169548,0.00733578,0.00719989,0.00133101,0.00631868,0.00395255,0.0048271,0.00554217,0.00505225,0.00911301
132,0.014246,0.0229214,0.0120558,0.00565583,0.0088582,0,0.015137,0.0322495,0.00975972,0.022381,0.0402987,0.0376412,0,0,0.0380783,0.00741266,0.00480016,0.00793324,0.0103362,0.00409478,0.0121835,0.00646747,0.0071124,0.00601433,0.0129255,0.00742244,0,0.00404061,0.0292697,0.02171,0.0341332,0,0,0.0161046,0.015251,0.0196241,0.0150563,0.00537608,0.0192576,0.0249511,0.0361663,0.00185562,0.00729391,0.00713085,0.00112736,0.00665674,0.00372909,0.00483255,0.00567782,0.00500207,0.008929
133,0.0140783,0.0229411,0.0121187,0.00569858,0.00860642,0,0.0150295,0.0320291,0.00960858,0.0220477,0.0404122,0.0375496,0,0,0.0380002,0.00708235,0.00481854,0.00771914,0.0102236,0.00372562,0.0119482,0.00636903,0.00702384,0.00613519,0.0128953,0.0075338,0,0.00457626,0.0294493,0.0218322,0.0340376,0,0,0.0160292,0.0150973,0.0193394,0.0150824,0.00531425,0.0190317,0.0247313,0.0359672,0.00212796,0.00748308,0.0071799,0.000908151,0.00712048,0.00366371,0.00483731,0.00568532,0.00496056,0.00875417
134,0.0138745,0.0230789,0.0122355,0.00574296,0.00844444,0,0.0148525,0.0318502,0.00944289,0.0216967,0.040559,0.0374415,0,0,0.0379438,0.00675003,0.00487996,0.00753052,0.0101272,0.00340853,0.0117715,0.00635617,0.00693654,0.0063056,0.0130594,0.00773984,0,0.00506689,0.0293092,0.0219828,0.033951,0,0,0.0159362,0.0149182,0.0190616,0.0150545,0.00520765,0.0188269,0.0245447,0.0359221,0.00232765,0.00759374,0.00729396,0.000822709,0.00742209,0.00378279,0.00490268,0.0055916,0.00495273,0.00861028
135,0.0138448,0.0232971,0.0123337,0.00580263,0.00840387,0,0.0144723,0.0316849,0.009265,0.0213437,0.0407523,0.0374108,0,0,0.0379365,0.00649777,0.00473148,0.00731985,0.00999316,0.00311212,0.0115943,0.00634831,0.00685764,0.0065128,0.0132826,0.00804486,0,0.00520625,0.0290323,0.0221557,0.0340256,0,0,0.015811,0.0147481,0.018822,0.0149822,0.00508926,0.0186102,0.0243595,0.0359393,0.00245369,0.00741468,0.00738639,0.000864104,0.00746726,0.0039876,0.00505792,0.00554733,0.00500325,0.00847923
