Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0226322,0.0161185,0.0109187,0.013558,0.00621508,0.00785855,0.00673084,0.00629202,0.0108217,0.0154218,0.0185092,0.0195529,0.0143574,0.00965188,0.00622824,0.0141424,0.0204423,0.0169949,0.0224377,0.0115148,0.0105353,0.0102556,0.00713511,0.01704,0.00873201,0.0123023,0.00641509,0.00529772,0.0116949,0.0157404,0.018488,0.0214623,0.0134246,0.00991543,0.0237786,0.0150067,0.0197717,0.0143713,0.0202754,0.0107039,0.0101935,0.00962884
0,0.0246754,0.0144813,0.00596171,0.00608489,0.0120246,0.00885316,0.00549031,0.000669538,0.00552552,0.0148782,0.0224503,0.0177652,0.0113438,0.00427583,0.00738472,0.00854399,0.0221174,0.0113337,0.025637,0.0118305,0.0100306,0.0111477,0.00906548,0.0200573,0.00826503,0.00832829,0.00672442,0.00567689,0.00812113,0.0155777,0.0131788,0.0232265,0.00541543,0.00694049,0.017452,0.00501628,0.0107729,0.0065101,0.0154358,0.00806786,0.00551746,0.00550252
1,0.024218,0.0141012,0.0059823,0.00599613,0.00998108,0.0100324,0.00545152,0.00158342,0.00587601,0.0143238,0.0232845,0.0183808,0.0141103,0.00669811,0.00641942,0.0093465,0.0250537,0.0135703,0.0262916,0.0119318,0.0101307,0.0111024,0.00887063,0.0204634,0.00723516,0.008934,0.00528805,0.00487272,0.00885015,0.0146362,0.0109175,0.0235051,0.00588742,0.0081191,0.0162311,0.00394463,0.00877315,0.00696395,0.013769,0.00701175,0.00415682,0.00433936
2,0.0237442,0.0138957,0.00594607,0.00579342,0.00853365,0.0107344,0.00542788,0.00197254,0.00608797,0.014066,0.024592,0.0185655,0.0161346,0.00854545,0.00578979,0.0105649,0.0271793,0.0153431,0.0276873,0.0119882,0.0102154,0.0111336,0.00873856,0.0205525,0.00653869,0.00948535,0.00421057,0.00450819,0.00950029,0.0139146,0.00892453,0.0235049,0.00457182,0.00739676,0.0161713,0.00346138,0.0065766,0.00634317,0.0124735,0.00605194,0.00304014,0.00317826
3,0.0232846,0.0138948,0.00584781,0.00539218,0.00751256,0.0109516,0.0053708,0.00186604,0.00618241,0.0140521,0.0259391,0.0183709,0.0174281,0.00979223,0.00540708,0.0117859,0.0282908,0.0164711,0.0291999,0.0119744,0.0102739,0.0111749,0.00868445,0.0203006,0.00527479,0.0098201,0.00349827,0.0044245,0.0100125,0.0134165,0.00639502,0.0232168,0.00233779,0.00502081,0.017199,0.00385037,0.00630113,0.0045034,0.0102919,0.00521636,0.00223246,0.00206184
4,0.0229132,0.014109,0.00569101,0.00477063,0.00681483,0.0107062,0.00522421,0.00144853,0.00620511,0.0141908,0.027029,0.0178765,0.018145,0.0104448,0.0053033,0.0127531,0.0283718,0.0169379,0.0305542,0.011829,0.0102275,0.0111073,0.00872427,0.0197752,0.00384053,0.00988286,0.00312074,0.00447368,0.0103952,0.0131518,0.00325777,0.0227061,0.00249925,0.00248836,0.0188194,0.00458722,0.00700744,0.00176449,0.00857221,0.00451383,0.00178606,0.00115147
5,0.0227407,0.0144982,0.00553554,0.00407443,0.00636535,0.0100943,0.00491398,0.000908453,0.00623046,0.0143913,0.0276588,0.0171391,0.0186074,0.0106081,0.00559086,0.0134127,0.0276146,0.0169371,0.0317535,0.011401,0.00986114,0.0107434,0.00890186,0.0192064,0.00370677,0.00971546,0.00297732,0.00457182,0.0107458,0.0131111,0.00237999,0.0220964,0.00393507,0.00274464,0.0200376,0.00494455,0.00609412,0.00213957,0.00856335,0.0038822,0.00169264,0.00100274
6,0.0227993,0.0149963,0.00560133,0.00372527,0.00612654,0.00929199,0.00439349,0.000530139,0.00636838,0.0146357,0.0277744,0.0162608,0.0190926,0.0105025,0.00633829,0.0138953,0.0263181,0.016792,0.0329131,0.0104728,0.00888969,0.00990104,0.00928675,0.0189663,0.00482387,0.00941305,0.00297831,0.00465985,0.0112296,0.0132613,0.00651027,0.0215754,0.00407498,0.00347522,0.0199452,0.00502068,0.00390953,0.00509267,0.00877184,0.00331202,0.00199511,0.00179979
7,0.0228953,0.0155458,0.00624056,0.00428037,0.0061395,0.00850384,0.00374783,0.000813179,0.00676484,0.0150229,0.027563,0.0154976,0.0195739,0.01036,0.00742337,0.0143339,0.0247349,0.016792,0.0341243,0.0089264,0.00715128,0.0085844,0.00985923,0.0193849,0.00575639,0.00908543,0.00319939,0.00465792,0.0120206,0.0135521,0.0105671,0.0214339,0.0037209,0.00314252,0.0183841,0.0059402,0.00483973,0.00752992,0.00838365,0.00336333,0.00281364,0.00307962
8,0.0226531,0.0161001,0.00760939,0.00567326,0.00645596,0.00790951,0.00333135,0.00141389,0.00753366,0.0156978,0.027336,0.0151643,0.0198245,0.0102895,0.00855419,0.0145718,0.0229559,0.017018,0.0353465,0.00699981,0.00481127,0.00717615,0.0104058,0.0203819,0.00592311,0.00884608,0.00391483,0.00448033,0.0132253,0.0138938,0.0130803,0.0219391,0.00448799,0.0032706,0.0161454,0.00846846,0.00837296,0.00947005,0.00786556,0.00507756,0.00429314,0.00487773
