Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0268366,0.0168126,0.0116583,0.0123544,0.00857619,0.00642733,0.00744702,0.0063036,0.0112949,0.015951,0.019009,0.0175027,0.013764,0.010553,0.00770298,0.0168913,0.0227207,0.0180273,0.0245165,0.0127493,0.0122515,0.0105969,0.0068991,0.0154512,0.0130045,0.0108652,0.00695921,0.00593252,0.0109049,0.0174172,0.017807,0.0199365,0.0129315,0.0110093,0.0408935,0.0163742,0.0202814,0.0154757,0.0240795,0.0120203,0.0115284,0.0107265
0,0.0308771,0.0118775,0.0122328,0.00197065,0.0116954,0.00875472,0.00386561,0.00237913,0.00620373,0.0167829,0.0182525,0.0117317,0.0132389,0.00845144,0.00943461,0.0155168,0.0249311,0.0147607,0.0212545,0.0114953,0.0112341,0.0104986,0.0113612,0.0214161,0.00947135,0.0108984,0.00523539,0.00650579,0.0085689,0.0124912,0.0206355,0.0229908,0.0047232,0.00529339,0.0130144,0.0146624,0.0202289,0.00855099,0.0192649,0.0107882,0.00870055,0.0118214
1,0.0296252,0.0120135,0.0112944,0.00301777,0.00821327,0.00939835,0.00426088,0.00199129,0.0055881,0.0158814,0.0163286,0.0128102,0.016888,0.0106134,0.00850039,0.0172101,0.0273917,0.017405,0.0197886,0.011774,0.0114011,0.0107375,0.0108036,0.0219941,0.015352,0.0116035,0.00404205,0.00577991,0.00948987,0.0118705,0.0195301,0.0223556,0.00214044,0.00458338,0.0125296,0.012207,0.0185141,0.00671344,0.0193957,0.00893079,0.00726639,0.00941606
2,0.0286869,0.0120959,0.0103739,0.00401141,0.00569018,0.00978875,0.00483189,0.00202527,0.00528661,0.015345,0.0165756,0.0131938,0.0200522,0.0126713,0.0079188,0.0185656,0.029321,0.0195095,0.0204843,0.0120301,0.0116551,0.0109948,0.0102998,0.022084,0.0183952,0.0121585,0.00326837,0.00542351,0.010318,0.0113,0.0196548,0.0217386,0.00253428,0.00403001,0.0136049,0.0101225,0.0153617,0.00530401,0.0200049,0.00726956,0.00620654,0.0072683
3,0.0280958,0.0121241,0.0095235,0.00483729,0.00389189,0.0098324,0.00519771,0.00188136,0.00513292,0.0151305,0.0180103,0.0128991,0.0227364,0.0142105,0.0073401,0.0194964,0.0306395,0.0208625,0.022581,0.0121294,0.0118433,0.0111297,0.00985696,0.0216324,0.0190116,0.01243,0.00279396,0.00508493,0.0109705,0.0108255,0.0200125,0.0210756,0.00557076,0.00432007,0.0157892,0.0087192,0.0116966,0.00414156,0.0197084,0.00585942,0.00551529,0.00543822
4,0.027874,0.0121808,0.00882235,0.00544502,0.00274061,0.00951669,0.00524598,0.00144552,0.00506206,0.0152092,0.019787,0.0120867,0.0248006,0.0150826,0.00686245,0.0200915,0.0312584,0.0214038,0.0254766,0.0120271,0.0118468,0.0110319,0.00954134,0.0207793,0.0180305,0.0123043,0.00250844,0.00458273,0.0113955,0.0105554,0.0198867,0.0203611,0.00858979,0.00673018,0.0183964,0.00860326,0.00973577,0.003349,0.0193861,0.00475231,0.00507895,0.00402979
5,0.0280164,0.0124186,0.00837652,0.00568584,0.00264115,0.00891606,0.00503957,0.000831727,0.00511004,0.0155451,0.0215745,0.0110296,0.0259081,0.0152424,0.00683322,0.0206142,0.0310857,0.021302,0.0288439,0.0116703,0.0115309,0.0105904,0.00949415,0.0198657,0.0168552,0.0117973,0.00242495,0.00392613,0.0116069,0.0105937,0.0182718,0.0197033,0.0103118,0.00948113,0.0202859,0.00923062,0.0098041,0.00352714,0.020529,0.00387297,0.0046791,0.00310016
6,0.0284444,0.0129711,0.00837274,0.0053316,0.00379772,0.00820534,0.00476587,0.000617397,0.00537651,0.0160608,0.0234235,0.0100801,0.0257657,0.0147923,0.00755694,0.0213283,0.0301122,0.0209155,0.0325072,0.0109303,0.0107243,0.00970254,0.00984631,0.0192434,0.0167845,0.0110691,0.00265309,0.00327441,0.0117354,0.0108891,0.0144893,0.0193568,0.00982315,0.0106748,0.0205194,0.00927768,0.00893473,0.00429704,0.022353,0.00303592,0.00415944,0.00254629
7,0.0289215,0.0138555,0.00902499,0.0042787,0.00558453,0.00761622,0.00467883,0.00114235,0.00601975,0.016658,0.0254249,0.00961862,0.0243978,0.0139901,0.00896467,0.0222175,0.028473,0.0206439,0.0362691,0.00970204,0.00933851,0.00840856,0.0105471,0.0192015,0.0178319,0.0103486,0.00330904,0.00282356,0.0120443,0.0112241,0.00939995,0.0196743,0.00722185,0.0102123,0.0191447,0.00814442,0.00558621,0.0049894,0.0229649,0.00259608,0.00375639,0.0023154
8,0.0290495,0.0149065,0.0103582,0.00273762,0.00749552,0.00739062,0.00506432,0.00156689,0.00717126,0.0172768,0.0274565,0.00981241,0.0221957,0.0131045,0.0106108,0.0228574,0.0263883,0.020678,0.039805,0.00819896,0.00763568,0.00713873,0.0112823,0.0200614,0.0191701,0.009825,0.00456264,0.00266567,0.0128454,0.0114754,0.0057055,0.0208817,0.00419292,0.00974129,0.0170244,0.00650065,0.00249812,0.00590415,0.0220946,0.00423973,0.0044379,0.00309763
9,0.0284821,0.0158334,0.0120836,0.00122785,0.0092687,0.00772331,0.00610562,0.0016102,0.00874635,0.0178861,0.0291701,0.0103862,0.0196818,0.0122302,0.011951,0.0227335,0.0240576,0.0207589,0.0426818,0.00724411,0.00644819,0.006692,0.0116462,0.0219451,0.0203732,0.00961633,0.00652408,0.00276485,0.0143303,0.0117935,0.00539314,0.0227199,0.00355904,0.0100299,0.0148971,0.0062346,0.00671418,0.00751313,0.0209542,0.00776255,0.00667687,0.00529416
