Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0186897,0.0173885,0.0130403,0.0128052,0.00575397,0.00754001,0.00530249,0.00540255,0.0131907,0.0175854,0.0133041,0.0202928,0.0117074,0.00825581,0.0049094,0.0131136,0.0172084,0.0158462,0.0151114,0.0092155,0.00883199,0.00891433,0.00731818,0.0169863,0.00742073,0.00941325,0.00603169,0.00592372,0.0111304,0.0181513,0.00932349,0.0217844,0.0110784,0.00838773,0.0167225,0.014315,0.0166202,0.0127723,0.0115772,0.0095505,0.00946686,0.00851857
0,0.0263516,0.0211956,0.00956241,0.0105222,0.00989471,0.0109585,0.00580057,0.00379134,0.00960582,0.0140686,0.0106076,0.0163235,0.0104578,0.00802575,0.00808186,0.00511516,0.00460385,0.00782623,0.0105034,0.0165822,0.0145468,0.01453,0.0102392,0.02204,0.00767442,0.00667011,0.00910178,0.0070584,0.00396527,0.0193528,0.0179486,0.0224853,0.00753231,0.00837004,0.0153008,0.00578093,0.00939663,0.00862545,0.0223902,0.0155979,0.0113279,0.00833577
1,0.0258866,0.0209826,0.00910077,0.00987703,0.00774445,0.0117505,0.00576858,0.00452471,0.00953839,0.0137598,0.00992239,0.0163926,0.00924897,0.00716117,0.00710032,0.0038423,0.00403204,0.00676071,0.0107188,0.015978,0.014424,0.0138726,0.0092383,0.0216742,0.00558923,0.00730709,0.00808069,0.0064286,0.00473653,0.0185203,0.0146237,0.0225196,0.00586973,0.00780566,0.0157129,0.00460669,0.00724478,0.00629303,0.0206812,0.0158707,0.0110711,0.00779978
2,0.0253385,0.0210762,0.00869383,0.0090926,0.00657459,0.0120731,0.00571189,0.00476778,0.00940299,0.013567,0.00956054,0.0161612,0.00808402,0.00667035,0.00632961,0.00265432,0.00448911,0.00572482,0.0110518,0.0153754,0.0141656,0.0131269,0.00832151,0.0213415,0.00462484,0.00778172,0.00726884,0.00607217,0.00546639,0.0178715,0.0106421,0.0225759,0.00436526,0.00659708,0.0171021,0.00352259,0.00467298,0.00378329,0.0174581,0.0158981,0.0108211,0.00731218
3,0.0247629,0.0214416,0.00834689,0.00831823,0.00590763,0.011992,0.00553663,0.00445843,0.00920012,0.0134542,0.00941163,0.0157207,0.00722164,0.00635071,0.00573642,0.00206574,0.00565388,0.00491621,0.0113248,0.0147204,0.0136673,0.0122378,0.00754867,0.0212731,0.00457042,0.00807011,0.00659591,0.00589487,0.00612393,0.0173523,0.00612291,0.0226678,0.00397589,0.00527696,0.0188306,0.00267127,0.00211907,0.00222451,0.0138382,0.0155992,0.010546,0.00679945
4,0.0242258,0.0218981,0.00810325,0.00786097,0.00544337,0.0116129,0.00514292,0.00381987,0.00895922,0.013371,0.00962936,0.0152224,0.00685829,0.00609128,0.00547371,0.00320303,0.0072152,0.00470842,0.0117219,0.0138754,0.0127684,0.0111232,0.00692911,0.0217256,0.00512483,0.00822947,0.00594451,0.00580109,0.00677445,0.0168646,0.00249536,0.0228137,0.00417614,0.00414363,0.0199216,0.00236649,0.00039745,0.00344481,0.0114458,0.0148607,0.0101648,0.00615201
5,0.0237741,0.022257,0.0080738,0.00803021,0.0051373,0.0110672,0.00448567,0.00323548,0.00876862,0.0132887,0.0104884,0.0147749,0.00702691,0.00603659,0.00567592,0.00558558,0.00908451,0.00552155,0.0127363,0.0126556,0.0113094,0.00971689,0.0064586,0.0227277,0.00581228,0.00832915,0.00521367,0.00571331,0.00748635,0.0163318,0.00500639,0.0230476,0.0040014,0.00295908,0.0197624,0.0028108,0.00255006,0.00530977,0.0102695,0.0135699,0.00955901,0.00524824
6,0.023354,0.0224556,0.00836087,0.00886717,0.00494311,0.0104603,0.00364407,0.00301092,0.00875687,0.0132653,0.0120089,0.0144091,0.0077907,0.0064428,0.00622438,0.00840253,0.0111434,0.00728322,0.0146436,0.0109959,0.00922897,0.00803493,0.00617829,0.0240518,0.00627943,0.00839272,0.00436775,0.00558021,0.00830591,0.0157308,0.00881135,0.0234403,0.00393762,0.00220679,0.0184542,0.00420425,0.00477073,0.00681532,0.00961895,0.0116631,0.00858103,0.00399701
7,0.0228006,0.0225891,0.00898418,0.0100707,0.00485447,0.00988094,0.0029179,0.00320245,0.00900976,0.0134432,0.0139826,0.0141234,0.00931,0.00728768,0.00684794,0.0110483,0.0131036,0.00946785,0.0172802,0.00915455,0.00668245,0.00629216,0.00617365,0.025392,0.00636683,0.00840526,0.00348281,0.00538578,0.00922749,0.0151255,0.0113392,0.0240538,0.00457074,0.00302986,0.0166599,0.00639458,0.00662073,0.0079208,0.00922189,0.00914181,0.00709125,0.0024219
8,0.0219509,0.0227735,0.00982608,0.0112022,0.00494675,0.00940936,0.00286195,0.00365424,0.00949577,0.0139556,0.0161524,0.0139286,0.0115875,0.0082854,0.00731092,0.0130106,0.0146772,0.0115505,0.0202268,0.0077783,0.00421696,0.00504238,0.00639503,0.0264877,0.00604081,0.0083652,0.00276107,0.00515017,0.0102285,0.0146339,0.0122897,0.024886,0.00515319,0.00412256,0.0149963,0.00884157,0.00796603,0.00866789,0.00872136,0.00615241,0.00507064,0.00123782
