Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0313999,0.0279915,0.0174363,0.0105539,0.0137957,0,0.0266218,0.0236467,0.014115,0.0211995,0.0201006,0.0187927,0,0,0.032272,0.0151103,0.01747,0.0102184,0.0218691,0.0264417,0.0198289,0.0252,0.011112,0.011893,0.0144927,0.0139716,0,0.0346627,0.0246806,0.0238538,0.0258062,0,0,0.0157591,0.0174169,0.018064,0.018011,0.0119574,0.0166578,0.0207616,0.0264878,0.00936683,0.0151402,0.0123941,0.0104719,0.0170583,0.0153249,0.0191748,0.019544,0.0210614,0.016004
0,0.0486807,0.0302961,0.030901,0.0277137,0.0275384,0,0.0276779,0.032839,0.0306801,0.0316315,0.014888,0.0195344,0,0,0.015577,0.0297395,0.0316885,0.0301556,0.0446086,0.054936,0.0384825,0.0414892,0.0236323,0.0176054,0.0563927,0.0415794,0,0.0320335,0.0158143,0.0297488,0.0414529,0,0,0.0208257,0.0324062,0.0318786,0.0348084,0.0296153,0.0329298,0.0244053,0.0169184,0.0266118,0.031838,0.0307158,0.0296283,0.034436,0.0404633,0.0463336,0.0394161,0.0446307,0.0402234
1,0.0490936,0.0306171,0.0314158,0.0199576,0.0280297,0,0.0277953,0.0367469,0.028682,0.0378023,0.0154563,0.0209321,0,0,0.00430109,0.0201266,0.0242178,0.0240292,0.0393751,0.0458222,0.0356775,0.0355319,0.0149067,0.0228594,0.024718,0.0364492,0,0.0322434,0.0154834,0.0299584,0.0427091,0,0,0.0194884,0.031193,0.0332557,0.0350486,0.0210618,0.0261695,0.0330831,0.0109519,0.0250555,0.0288857,0.0273961,0.0272659,0.0312523,0.0355435,0.0410082,0.0369425,0.0400916,0.0248971
2,0.0484984,0.0304789,0.030487,0.0183345,0.0268616,0,0.026977,0.0364403,0.0226164,0.0327772,0.0157557,0.0209681,0,0,0.00929424,0.0136991,0.0159102,0.0175139,0.0321549,0.0352548,0.0305786,0.0280523,0.016233,0.0238942,0.0179138,0.0339152,0,0.031523,0.0156419,0.0293172,0.04247,0,0,0.0183667,0.0303099,0.0330593,0.0338261,0.0162656,0.02208,0.0339725,0.00735351,0.0216579,0.0247409,0.0220642,0.0235325,0.026169,0.028392,0.0333699,0.0325238,0.0333488,0.0205869
3,0.0473821,0.030434,0.0287484,0.0201656,0.0244542,0,0.0255485,0.0346844,0.0189323,0.0270737,0.0154686,0.0197414,0,0,0.0186273,0.0115374,0.0108568,0.0128663,0.0235804,0.0249297,0.0227078,0.0194628,0.0214867,0.0202264,0.0182695,0.0311685,0,0.0302716,0.0159674,0.0279965,0.040962,0,0,0.0173973,0.0296186,0.0314699,0.0317247,0.0131437,0.0195336,0.0267111,0.0113972,0.0155601,0.0198673,0.0162597,0.0178508,0.0202158,0.0203401,0.0245799,0.0264749,0.0251971,0.0245658
4,0.0460937,0.0314278,0.0271743,0.0205287,0.0214001,0,0.023904,0.0341728,0.0212554,0.0286197,0.0147793,0.0172858,0,0,0.0216653,0.0128502,0.0117441,0.0119039,0.0155216,0.0176406,0.0124409,0.011836,0.0231975,0.0190601,0.0178135,0.0271635,0,0.0286744,0.0161694,0.0260237,0.0382658,0,0,0.01621,0.0286694,0.0288209,0.0296135,0.0133187,0.0228137,0.0219235,0.0171856,0.00989711,0.016852,0.014249,0.0125215,0.0154845,0.0139724,0.0165313,0.0193214,0.0169373,0.0306013
5,0.0447749,0.0331981,0.0264718,0.0181547,0.0185739,0,0.0224951,0.0350124,0.0262898,0.0363494,0.01473,0.0142233,0,0,0.0166828,0.0186054,0.0176467,0.016573,0.011861,0.0143476,0.00434663,0.010305,0.0203215,0.0184139,0.0158257,0.0229935,0,0.0269088,0.0157893,0.0236493,0.0348411,0,0,0.0146116,0.0273569,0.026121,0.0283547,0.0129398,0.0269889,0.0254317,0.0195233,0.00903581,0.0186782,0.0185107,0.0107206,0.0131627,0.0115643,0.0112543,0.0122699,0.0104146,0.0320333
6,0.0434751,0.0333447,0.0260834,0.0148297,0.0166071,0,0.0209535,0.0336321,0.0305365,0.0433953,0.01576,0.0114339,0,0,0.0100761,0.0265852,0.0244563,0.0239597,0.0138772,0.0129656,0.00981258,0.0134165,0.0160905,0.0167039,0.0132629,0.0198543,0,0.0249552,0.0147662,0.0215723,0.0314082,0,0,0.0126833,0.0256681,0.024214,0.027858,0.0111045,0.0294501,0.0320817,0.0173649,0.0125838,0.0248112,0.0234446,0.0138197,0.0119077,0.0121852,0.00949082,0.00676216,0.00735423,0.0285109
7,0.0425263,0.0304921,0.0252833,0.0123037,0.0154422,0,0.0190277,0.0263756,0.0308371,0.0442087,0.0169012,0.0100074,0,0,0.00914871,0.0304599,0.0264599,0.0269585,0.0173648,0.0113836,0.0148584,0.0149964,0.0126344,0.014365,0.0109818,0.0175919,0,0.0233496,0.0134799,0.0208239,0.0292133,0,0,0.0110742,0.0240379,0.0228202,0.02743,0.0101261,0.0307761,0.0357802,0.0134229,0.0200507,0.0316071,0.0278591,0.020033,0.0111744,0.0142282,0.0104522,0.00370859,0.00761512,0.023807
8,0.0416678,0.026364,0.0239446,0.0105981,0.0141106,0,0.0169886,0.0162993,0.0271144,0.0393876,0.0174359,0.0100161,0,0,0.0122901,0.0272618,0.0225112,0.0228542,0.0198916,0.00858665,0.016639,0.0148945,0.00993253,0.0118218,0.00903544,0.0152311,0,0.0224064,0.0119801,0.021422,0.0287445,0,0,0.00982868,0.0225231,0.0210975,0.0265329,0.0104264,0.0299704,0.0350736,0.0109722,0.0240901,0.0343003,0.0299555,0.0232748,0.0100617,0.0153849,0.0109178,0.00234029,0.0072644,0.0200517
