Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0179374,0.023844,0.0182646,0.0201888,0.0217052,0,0.030646,0.0205075,0.0184887,0.0208705,0.0275411,0.0188321,0,0,0.0196896,0.013413,0.0125946,0.0115159,0.0217742,0.0212219,0.0197944,0.0153801,0.0178821,0.0107582,0.0115921,0.0196703,0,0.0355004,0.0187711,0.0337341,0.033186,0,0,0.0225034,0.0159175,0.0276225,0.016215,0.0166965,0.0187092,0.0173038,0.0219774,0.0126034,0.0179559,0.0159695,0.0142114,0.0172151,0.0186619,0.0165412,0.0147544,0.0142533,0.0164995
0,0.0577069,0.0213736,0.0597144,0.0538857,0.0582026,0,0.0326841,0.0374908,0.0562601,0.0716017,0.0340585,0.0415554,0,0,0.0511481,0.0520983,0.0532449,0.0477213,0.0729309,0.0739143,0.0584629,0.0558812,0.0395665,0.0516869,0.0548563,0.0551682,0,0.0149555,0.0403219,0.0134824,0.0249769,0,0,0.0224148,0.0295927,0.0378108,0.0556155,0.050308,0.0487038,0.0500874,0.0330889,0.048537,0.0483607,0.0491641,0.0472194,0.0430092,0.0386067,0.042856,0.0477592,0.0460674,0.0470624
1,0.0488471,0.0135435,0.0511271,0.0444445,0.0500349,0,0.0266128,0.0304643,0.0468245,0.063539,0.0255788,0.0327268,0,0,0.041811,0.0440351,0.0451744,0.0391126,0.0644087,0.065328,0.0491733,0.0463747,0.0318811,0.0417533,0.0449182,0.0460291,0,0.00742776,0.0335081,0.0117473,0.0202667,0,0,0.0177392,0.0222302,0.0295099,0.0460384,0.0405172,0.0414583,0.041722,0.0257098,0.0400844,0.0413609,0.0417705,0.0393254,0.0361268,0.0324859,0.0361858,0.039576,0.0381547,0.0398378
2,0.0409817,0.00857218,0.0435984,0.036576,0.0430624,0,0.0232762,0.0253141,0.0381267,0.0557567,0.019053,0.0254879,0,0,0.0335544,0.0369871,0.0380094,0.0316522,0.0567072,0.0575339,0.0409485,0.0378841,0.0262691,0.0332262,0.0364192,0.0379894,0,0.0066508,0.0284185,0.0153487,0.0190152,0,0,0.0164607,0.0166539,0.0235343,0.0373361,0.0318933,0.0355722,0.034412,0.0190947,0.0324079,0.03494,0.0349997,0.0320943,0.0299531,0.0269612,0.030084,0.0321729,0.0310014,0.0342162
3,0.0341154,0.00862052,0.0371415,0.0301944,0.0372977,0,0.0227405,0.0223053,0.0302058,0.0483696,0.0152355,0.0202032,0,0,0.0263894,0.0309585,0.0318032,0.0254046,0.0498432,0.0505639,0.0338055,0.0304333,0.0226811,0.0259794,0.0292549,0.0311336,0,0.012061,0.0252103,0.0207167,0.0207102,0,0,0.0182225,0.013666,0.0207145,0.0295282,0.0244233,0.0310604,0.0282717,0.0134219,0.0255208,0.0290627,0.0288021,0.0255154,0.024416,0.0219284,0.0244296,0.0255325,0.0245837,0.0300782
4,0.0282516,0.0117905,0.0317586,0.0252504,0.0327179,0,0.0242655,0.0213726,0.0231597,0.0415647,0.0146836,0.0173161,0,0,0.0203769,0.0259254,0.0266311,0.0204843,0.0438237,0.0444779,0.0277463,0.0240836,0.0209133,0.0198902,0.0233103,0.0255336,0,0.0178436,0.0237947,0.0260476,0.0238871,0,0,0.0215133,0.0137402,0.0211924,0.0226567,0.018046,0.0278061,0.0233748,0.00923818,0.0194565,0.0237712,0.0231784,0.0196204,0.0194294,0.0172651,0.0191246,0.0196382,0.0188858,0.0271483
5,0.0233676,0.0150914,0.0273995,0.0217529,0.0292423,0,0.0268077,0.0219543,0.0170771,0.0354898,0.016593,0.0168745,0,0,0.0156032,0.0217279,0.0224774,0.0168987,0.0386071,0.0393004,0.0227293,0.0188931,0.0205167,0.0149409,0.0185295,0.0212031,0,0.0229922,0.0237318,0.0308224,0.0274153,0,0,0.0251434,0.0158976,0.0238778,0.016755,0.0126513,0.0255515,0.0196212,0.00761803,0.0142192,0.0192269,0.0182085,0.0144674,0.0149376,0.0128991,0.0141726,0.0144858,0.0139022,0.0250671
6,0.0194123,0.0176183,0.0239585,0.0197036,0.0267343,0,0.0296038,0.0232932,0.0120661,0.0302646,0.0195011,0.0181568,0,0,0.0121912,0.0181426,0.0192329,0.0144753,0.0341099,0.0350021,0.0186571,0.0148984,0.0208596,0.0112494,0.0149188,0.0181019,0,0.0273714,0.0244106,0.0349026,0.030737,0,0,0.028552,0.0187487,0.0274602,0.0118424,0.00829192,0.0240333,0.0167808,0.0086858,0.00978903,0.0157042,0.0140707,0.0101281,0.0109636,0.00885557,0.00968558,0.0101406,0.00965658,0.0235617
7,0.0163069,0.0191812,0.0212853,0.0189467,0.0250084,0,0.0322359,0.0247923,0.00832537,0.0260014,0.0224951,0.020191,0,0,0.0102624,0.0150068,0.0167309,0.0128954,0.0302245,0.0314948,0.0153782,0.012093,0.0213429,0.00901063,0.0124933,0.016132,0,0.0309924,0.0253035,0.0382694,0.0336196,0,0,0.0315181,0.0215149,0.0311022,0.00793098,0.00574704,0.0230748,0.0145961,0.0107653,0.0061773,0.0135105,0.0110613,0.00670449,0.00765741,0.00527818,0.00584817,0.00682986,0.00620839,0.0225256
8,0.0139478,0.0198052,0.0192016,0.0190989,0.0238487,0,0.0345031,0.0261034,0.0061671,0.0227809,0.0251824,0.0223091,0,0,0.00975302,0.0122738,0.0147842,0.0118135,0.0268321,0.028627,0.0127176,0.0103807,0.0215618,0.00822937,0.011177,0.0151065,0,0.0339118,0.0260748,0.0409513,0.0359863,0,0,0.033966,0.0238782,0.0343455,0.00504916,0.00632134,0.0225571,0.0128501,0.0127274,0.0035959,0.0127639,0.00952758,0.00441985,0.00533773,0.00246568,0.00291274,0.00498899,0.00367457,0.0219359
