Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0105016,0.0370659,0.0296374,0.00997561,0.0146917,0.00564276,0.00504926,0.00501692,0.00993562,0.0117828,0.03041,0.0162251,0.011663,0.0140454,0.0100557,0.0165633,0.0201212,0.0170219,0.0143179,0.0066731,0.00748742,0.00850431,0.0325961,0.00828118,0.00862601,0.00417019,0.00509766,0.00467112,0.011427,0.0078794,0.0192572,0.0177485,0.011128,0.0125427,0.00840748,0.0138382,0.017408,0.0136576,0.00937911,0.00925486,0.0100272
0,0.00778564,0.0345639,0.0300002,0.0141116,0.0206228,0.00405722,0.00230558,0.00406562,0.00875682,0.012085,0.0333229,0.0184369,0.0130856,0.0156647,0.0176807,0.0189022,0.0223986,0.00370056,0.0388222,0.00836149,0.00614381,0.0131863,0.0273156,0.0121208,0.00394295,0.00713004,0.00613351,0.00490949,0.00283439,0.00875542,0.0182655,0.0246618,0.010923,0.0100877,0.00668707,0.00786484,0.0209205,0.0105967,0.00860879,0.00539327,0.00699258
1,0.00830247,0.0343982,0.0300029,0.0140841,0.0166226,0.00548316,0.00212601,0.00359634,0.00874325,0.0118402,0.0321176,0.0184594,0.0116361,0.0120671,0.0146547,0.0202135,0.0220105,0.00302713,0.0348712,0.00708738,0.00576078,0.0114415,0.02735,0.0117744,0.00159889,0.00596834,0.00479706,0.00359209,0.00387788,0.00774141,0.0179939,0.024823,0.0086585,0.00915675,0.00562963,0.00899088,0.0195304,0.0133759,0.00752075,0.00464831,0.00542565
2,0.00896509,0.0343348,0.0299549,0.0139851,0.0142684,0.00640006,0.00220544,0.0033802,0.00885694,0.0117688,0.0321147,0.0181102,0.010552,0.010061,0.0134261,0.0207663,0.0208073,0.00223695,0.0328862,0.00590514,0.00572872,0.00963347,0.0275521,0.0111075,0.00167615,0.00509688,0.00373446,0.00252808,0.00496249,0.00697592,0.0179298,0.0243419,0.00636008,0.00936342,0.00475799,0.0105711,0.0170033,0.0158258,0.00655433,0.00401543,0.00412718
3,0.00975378,0.0343505,0.0299788,0.0138001,0.0131851,0.00684003,0.00234237,0.00319348,0.0089995,0.0119112,0.0327168,0.0174869,0.00943335,0.00949888,0.0135334,0.0205254,0.0188314,0.00175956,0.0323177,0.00488392,0.00599005,0.00778213,0.0279602,0.0104024,0.00177442,0.00448857,0.00292328,0.00180595,0.00589636,0.00634051,0.0179849,0.023417,0.00639253,0.011423,0.00532699,0.0121248,0.0146508,0.0151491,0.00573426,0.003489,0.00303269
4,0.0106002,0.0344251,0.030257,0.0134736,0.012988,0.0069059,0.00248962,0.00300796,0.00910295,0.012233,0.0335692,0.0168599,0.00816983,0.0101886,0.0146131,0.0196278,0.0162055,0.00294862,0.0325473,0.00402325,0.00635653,0.00585736,0.0286576,0.010161,0.00367974,0.00413915,0.00236831,0.00157866,0.00667007,0.00581022,0.0188649,0.0224302,0.00855754,0.0135465,0.00690323,0.0130698,0.0149264,0.012691,0.00502354,0.00304488,0.00205348
5,0.0113833,0.0345475,0.0309118,0.012978,0.0132789,0.00680707,0.0026537,0.00291181,0.00917524,0.0125404,0.0344602,0.0166565,0.00691743,0.0119052,0.0163702,0.0183803,0.0131817,0.00529805,0.0330494,0.00333694,0.00666031,0.00405882,0.0297576,0.0106961,0.00657564,0.00408848,0.00222811,0.00172667,0.00736529,0.00559069,0.0202364,0.0217452,0.0099965,0.0136711,0.00809787,0.0131154,0.0177686,0.0111939,0.00434601,0.00271939,0.00163925
6,0.0119182,0.0347448,0.0318857,0.0124075,0.0136999,0.00679613,0.00280023,0.00294576,0.00934946,0.0125737,0.0352843,0.017252,0.00592627,0.0144073,0.018478,0.0171284,0.0103318,0.00822149,0.0334222,0.00315998,0.00694748,0.00379253,0.0313745,0.0118376,0.00901915,0.00436041,0.00275826,0.00199886,0.00812039,0.0059999,0.0213871,0.0215069,0.00989015,0.0114222,0.00828586,0.0125692,0.0200485,0.0108339,0.00391996,0.00295118,0.00295391
7,0.0120298,0.0351087,0.0329489,0.0120071,0.0140351,0.00704479,0.00307938,0.00306865,0.0098956,0.0121981,0.0359786,0.0186336,0.00537084,0.0173741,0.0205641,0.0160272,0.00866653,0.0115285,0.0333963,0.00384482,0.00752744,0.00591086,0.0334856,0.0131025,0.0103557,0.00488164,0.00388003,0.00236697,0.00903608,0.00712505,0.0223124,0.0216315,0.00953191,0.00837861,0.0076321,0.0122861,0.0198629,0.0101873,0.00452677,0.00432018,0.00528345
8,0.0116591,0.0357341,0.0337961,0.0120123,0.014238,0.00755382,0.0038654,0.0032458,0.0110296,0.0115068,0.0364785,0.0202418,0.00525025,0.0203738,0.0222914,0.0149993,0.00887629,0.0150793,0.0328566,0.00492941,0.00852167,0.00852679,0.0358563,0.0139727,0.0106119,0.00551859,0.00526033,0.00280718,0.0100623,0.00876532,0.0230581,0.0220097,0.00990242,0.00619239,0.00652927,0.0131428,0.0178661,0.00978284,0.00626532,0.00640484,0.00776567
