Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0132084,0.0383717,0.0307378,0.00933284,0.0169753,0.00494956,0.00463158,0.00484434,0.0102253,0.0125619,0.0266624,0.0131525,0.0127796,0.0127335,0.0100634,0.01641,0.0191166,0.0158935,0.0158138,0.00655296,0.00794538,0.00766037,0.032938,0.00645551,0.00862047,0.00325817,0.00485954,0.00435658,0.0111138,0.00841902,0.0233334,0.0157677,0.0104131,0.0107271,0.00919776,0.0150642,0.0153441,0.0127657,0.00962392,0.00992025,0.00936791
0,0.00992648,0.0381286,0.0322313,0.00936858,0.0187397,0.00258397,0.00207372,0.00537662,0.0100688,0.01075,0.0255732,0.0114952,0.0219942,0.0244612,0.020609,0.0184573,0.0167202,0.0166193,0.0311496,0.0068495,0.00453378,0.0111755,0.0230366,0.00365729,0.0060148,0.0045191,0.00571887,0.00509743,0.00587482,0.00681798,0.0213263,0.0176836,0.010861,0.00651168,0.00568565,0.00721241,0.0163784,0.0152112,0.011824,0.00903378,0.0102239
1,0.00991199,0.0380098,0.0322014,0.0090967,0.0161928,0.00280653,0.00208229,0.0044449,0.0102089,0.0101638,0.0263488,0.0114045,0.0201106,0.0227457,0.0184913,0.0184157,0.0164398,0.0162551,0.0285414,0.00598643,0.00408488,0.0103365,0.0235203,0.00373268,0.00688378,0.00395539,0.00480367,0.00372244,0.00579297,0.00663189,0.0213096,0.0176686,0.00999931,0.00611724,0.0050713,0.00670182,0.0165011,0.0125482,0.0108236,0.00792463,0.00886528
2,0.00999254,0.0379427,0.0321127,0.00875699,0.0143399,0.00342407,0.00224446,0.00380838,0.0103974,0.00964211,0.0268871,0.0111545,0.0184075,0.0213589,0.0166896,0.0192709,0.0165823,0.016001,0.0263771,0.00497531,0.00365999,0.0092139,0.0239222,0.00394433,0.00741384,0.00370027,0.00405401,0.0025813,0.00605964,0.0064029,0.0214823,0.017527,0.00937817,0.00657466,0.00513568,0.00670037,0.0161613,0.0122564,0.00983717,0.00691987,0.00748908
3,0.010185,0.0379041,0.0319686,0.00835226,0.0130498,0.0040756,0.00235393,0.00342882,0.0105534,0.00931064,0.0272111,0.0107201,0.0170768,0.0201462,0.0151685,0.0205413,0.0167716,0.015765,0.0246148,0.00387943,0.00335183,0.00785715,0.0242461,0.00423696,0.00716513,0.00373422,0.00347594,0.00185629,0.00653112,0.00611388,0.0217212,0.0172795,0.00950908,0.00826556,0.00617207,0.00727675,0.0154274,0.0124349,0.00888246,0.00602467,0.00618703
4,0.0105085,0.0378529,0.0317994,0.0078735,0.0121193,0.00456277,0.00231761,0.00321819,0.0106004,0.00927843,0.0274072,0.0101268,0.0162944,0.0189078,0.0138935,0.0217942,0.0167064,0.0154778,0.0232002,0.00280893,0.0032891,0.00634504,0.0245312,0.00469434,0.00633977,0.00393159,0.00305877,0.00170725,0.00706942,0.00578819,0.0223055,0.0170019,0.0107401,0.0108914,0.00794449,0.00821608,0.0148591,0.0126566,0.00798448,0.00524913,0.00507951
5,0.0109598,0.0377583,0.0317035,0.00729947,0.0114054,0.00478099,0.00214504,0.00308119,0.0105217,0.00953204,0.0276058,0.00954787,0.0160088,0.0175336,0.0128723,0.0227118,0.0161453,0.0150516,0.0220891,0.00182681,0.00351133,0.00473506,0.0248663,0.00547382,0.00567091,0.00414478,0.00277321,0.00191841,0.00757151,0.00545433,0.0232456,0.0168297,0.0124431,0.0133244,0.00979211,0.00905083,0.015369,0.0136953,0.00711154,0.00456832,0.00417531
6,0.0114926,0.037636,0.0318573,0.00659936,0.0108368,0.00472539,0.00192327,0.00294887,0.010366,0.00995373,0.0279731,0.00932417,0.0159336,0.0160726,0.0121482,0.0231441,0.0149395,0.0144086,0.0212471,0.000874543,0.00394278,0.003126,0.0253829,0.00661467,0.00592768,0.0043016,0.00259413,0.00216852,0.00797213,0.00513741,0.0241288,0.0169292,0.0135563,0.0144387,0.0111466,0.0093908,0.0170082,0.0150863,0.00612159,0.00387943,0.00331372
7,0.0120039,0.0375707,0.0324399,0.00575616,0.0103971,0.0045298,0.00178787,0.00277606,0.0102414,0.010414,0.0286371,0.00983619,0.0157449,0.014788,0.0117894,0.0231642,0.0131349,0.0136134,0.0206871,0.000773054,0.00458216,0.00237389,0.0262284,0.00804239,0.00687442,0.00442077,0.00253802,0.00232443,0.00823745,0.004894,0.0247261,0.0174357,0.0135201,0.0138946,0.0116944,0.00918724,0.0184734,0.0154639,0.00477512,0.00301032,0.00226301
8,0.0123267,0.0376981,0.0334972,0.0048549,0.0101016,0.00447872,0.00190562,0.00254926,0.01031,0.0108661,0.0295772,0.0112532,0.0152664,0.0140899,0.0118289,0.0229997,0.0110471,0.0129593,0.020451,0.00229286,0.00562719,0.0040282,0.0275285,0.00959081,0.0078542,0.0045656,0.00269884,0.00236424,0.00836411,0.00483804,0.0251807,0.0183677,0.0125553,0.0123242,0.0113693,0.00884865,0.0185234,0.0145464,0.00284863,0.00185767,0.0010306
