Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.00788729,0.0356389,0.0296677,0.00833311,0.0141638,0.00516232,0.00557191,0.00509785,0.00960599,0.0129027,0.0274479,0.0162837,0.0148435,0.0159147,0.0110305,0.0201987,0.0225614,0.0181871,0.017402,0.00839356,0.00827895,0.00959855,0.034184,0.0114106,0.0109628,0.00505665,0.00652007,0.00482114,0.0121587,0.0085541,0.0218373,0.0162228,0.0142044,0.0153457,0.0102577,0.0168871,0.0183866,0.0135628,0.00991656,0.0103355,0.0106497
0,0.0113601,0.0321134,0.0332519,0.0084899,0.0130644,0.00465182,0.00125966,0.00234317,0.00634749,0.012877,0.0267965,0.00911563,0.0052126,0.00991247,0.0114934,0.0288132,0.0289121,0.0169205,0.0281265,0.00574407,0.00632251,0.0152833,0.0266559,0.0152669,0.00809568,0.0065357,0.00368191,0.00168161,0.00563021,0.00576692,0.0175618,0.0192523,0.00799664,0.00779595,0.00798952,0.00743862,0.0131556,0.0136394,0.00469457,0.00947824,0.00349161
1,0.0109205,0.0328923,0.0334037,0.00796539,0.00600371,0.00571536,0.000970954,0.00205005,0.00609267,0.0131876,0.0255105,0.00862704,0.00456227,0.00564788,0.00751475,0.0315448,0.0305246,0.0165258,0.0225284,0.00674201,0.00672413,0.01514,0.0262146,0.0157433,0.00658507,0.00584049,0.00338171,0.00108746,0.00597164,0.0049263,0.0207505,0.0190927,0.00974256,0.00855038,0.00855109,0.00788802,0.0136317,0.00786029,0.00475203,0.00967142,0.00321849
2,0.0107072,0.0335933,0.0334905,0.00726339,0.00200602,0.00655344,0.00145294,0.00209342,0.00618296,0.0134165,0.0259668,0.0081106,0.0075176,0.00659459,0.00666142,0.0327519,0.0310795,0.0163168,0.0212797,0.00715653,0.00709107,0.0143971,0.0261914,0.0155953,0.00877605,0.00511596,0.00323819,0.000966279,0.00659305,0.00436745,0.0224134,0.0184643,0.00982231,0.0077446,0.00812194,0.00796929,0.0140103,0.00844379,0.00460955,0.00945491,0.00276732
3,0.0107269,0.0342112,0.0335881,0.00640631,0.00302317,0.00709375,0.00191829,0.00223682,0.00640136,0.0136264,0.0271968,0.00786344,0.00969701,0.00815381,0.00664378,0.0325348,0.030616,0.0158939,0.02328,0.00707365,0.00753272,0.0131158,0.0265803,0.0151474,0.0106705,0.00440722,0.00327837,0.00137616,0.00738121,0.00404494,0.0222608,0.017453,0.00968462,0.00785828,0.00751307,0.00770771,0.0142604,0.00951945,0.00428864,0.00884256,0.00223206
4,0.0109553,0.0347528,0.0337788,0.00555917,0.00473137,0.00724262,0.00221947,0.00237742,0.00661231,0.0138773,0.0287392,0.00837312,0.0107252,0.00864265,0.00659102,0.0313915,0.0292136,0.0149504,0.0265113,0.00669766,0.0081102,0.0112892,0.0274006,0.0148303,0.0114701,0.00382287,0.00349453,0.00193448,0.00826758,0.00392127,0.0214752,0.0163333,0.0109023,0.0111188,0.00858774,0.00725453,0.015009,0.00797539,0.00389979,0.00799137,0.00207935
5,0.0113354,0.0352381,0.0341312,0.00503115,0.00610464,0.00699592,0.00237333,0.00253507,0.00680653,0.0141221,0.0301435,0.00995246,0.0110387,0.00828439,0.0067797,0.0299484,0.0269688,0.0131853,0.0294023,0.00638638,0.00881044,0.0088808,0.0287022,0.0149137,0.0124483,0.0035693,0.0038158,0.00255607,0.00923699,0.00408668,0.0215586,0.0156664,0.0125786,0.014759,0.0109031,0.00667115,0.0169948,0.00768621,0.00361051,0.00713887,0.0028194
6,0.011781,0.0356969,0.034673,0.00504292,0.00747654,0.00656982,0.00245593,0.00270418,0.00713204,0.0141919,0.0311029,0.0124722,0.0114456,0.0079155,0.00763918,0.0287658,0.0242109,0.0103684,0.0311533,0.00647661,0.00963518,0.00628491,0.0305248,0.015358,0.0144087,0.00382079,0.0042571,0.00335016,0.0103421,0.00468718,0.0223701,0.0159943,0.0126518,0.0159302,0.0122619,0.00583588,0.0191297,0.0112776,0.00374669,0.0065873,0.00439783
7,0.0121513,0.0361793,0.0353417,0.0054782,0.00873797,0.00634909,0.00268539,0.00278629,0.00787575,0.0139265,0.0315531,0.0153979,0.0125971,0.00859245,0.00914201,0.0282479,0.0215826,0.00647359,0.0315851,0.00697167,0.0106565,0.00545585,0.032825,0.0158709,0.0162836,0.00453459,0.00500456,0.00438535,0.0116503,0.00576982,0.0229618,0.0172604,0.0103099,0.0139518,0.0115893,0.00461951,0.0193612,0.0134927,0.00475208,0.00677391,0.00664432
8,0.0122397,0.0367713,0.0359427,0.00610294,0.00954551,0.00665379,0.00329281,0.0027698,0.00923648,0.0133106,0.0315847,0.0178393,0.0144576,0.0106823,0.010831,0.0285523,0.0197068,0.00196567,0.0309359,0.00751207,0.0117889,0.00762726,0.0353745,0.016048,0.0169418,0.00548905,0.00619927,0.00547714,0.0130987,0.0072253,0.0233722,0.0187769,0.00635533,0.0103538,0.00948368,0.00338622,0.0171642,0.0122915,0.00663113,0.00793465,0.00924195
