Timestep,C7,CLAV,LACR,LAJC,LASH,LASI,LCAL,LEJC,LFAradius,LFAsuperior,LFAulna,LHJC,LKJC,LLEL,LLFC,LLMAL,LMEL,LMFC,LMMAL,LMT5,LPSH,LPSI,LSJC,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RAJC,RASH,RASI,RCAL,REJC,RFAradius,RFAsuperior,RFAulna,RHJC,RKJC,RLEL,RLFC,RLMAL,RMEL,RMFC,RMMAL,RMT5,RPSH,RPSI,RSJC,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0112909,0.0058795,0.00427682,0.00223663,0.00846103,0.0124115,0.00785759,0.00177396,0.00755312,0.00159471,0.00889798,0.00268946,0.00131768,0.00593917,0.00395454,0.00460394,0.00758835,0.00627491,0.0037562,0.00398129,0.0100578,0.006439,0.00158967,0.00156346,0.00182393,0.00196918,0.00212394,0.00188709,0.00174267,0.00234411,0.0014537,0.00148091,0.00148731,0.00516322,0.00226037,0.0103388,0.0116983,0.00813845,0.00210301,0.00780227,0.00194477,0.00901355,0.00206473,0.00170197,0.00616218,0.00307862,0.00444019,0.00750443,0.00743929,0.00329131,0.00375419,0.00855042,0.00602436,0.00203329,0.00197587,0.00193765,0.00220664,0.00156533,0.0017408,0.00175135,0.00207452,0.0018005,0.00164229,0.00169211
0,0.0114909,0.0054581,0.00485872,0.00207276,0.0111878,0.0111144,0.00583884,0.00295719,0.0096786,0.00252888,0.00785595,0.00262613,0.00184169,0.00787899,0.00318223,0.00623755,0.00598752,0.00732462,0.00368719,0.0053553,0.00754204,0.00760246,0.00172852,0.00229694,0.00192313,0.00254,0.00236541,0.00254488,0.0027454,0.00238563,0.00178409,0.00232324,0.0020378,0.00494905,0.0036112,0.00694712,0.0108131,0.00391145,0.00262742,0.00792906,0.00218216,0.00851445,0.00295159,0.00308581,0.00456864,0.00314731,0.00671888,0.00877848,0.00872991,0.00584752,0.00713668,0.0113328,0.00750835,0.00500712,0.00275748,0.0036997,0.00300898,0.00205807,0.00269125,0.00176397,0.00534594,0.00438699,0.00307684,0.00328167
1,0.0116187,0.00534665,0.00475703,0.00208993,0.0109036,0.0112525,0.0057554,0.00309935,0.00974752,0.00269349,0.00784455,0.00250339,0.00185539,0.00791483,0.00332179,0.0062732,0.00607667,0.00728508,0.00376166,0.0054122,0.00776835,0.00755625,0.00146152,0.00234441,0.00196042,0.0025907,0.0023486,0.0025137,0.00276915,0.00245219,0.00158602,0.00234899,0.00197552,0.00497224,0.00292317,0.00706746,0.0107789,0.00491543,0.00257473,0.00795042,0.0021464,0.00849928,0.00281979,0.00325884,0.0045961,0.00324946,0.00614943,0.00874997,0.00886445,0.00482199,0.00642673,0.0112548,0.00737093,0.00491299,0.00263492,0.00334848,0.00265587,0.00195007,0.00269597,0.00186747,0.00441863,0.00428813,0.00300294,0.00319113
2,0.0117243,0.00525733,0.00467737,0.00209467,0.0106846,0.0113525,0.00571083,0.00312601,0.00978249,0.00272812,0.00780231,0.00238146,0.00184278,0.00790761,0.00340117,0.00627119,0.00611306,0.00723058,0.00379608,0.00543571,0.00794002,0.0074991,0.00125745,0.00235103,0.00197865,0.002608,0.00234871,0.00248199,0.00278164,0.00248566,0.00141374,0.00230481,0.00188184,0.00500198,0.00262795,0.0071556,0.0107358,0.00559117,0.00254325,0.00796445,0.00210457,0.00847762,0.00257889,0.00309209,0.00459913,0.00309883,0.00587191,0.00873722,0.00880498,0.0041674,0.0061231,0.0112046,0.00723652,0.00484556,0.00244551,0.00307152,0.00247689,0.00180245,0.00251871,0.00182264,0.00395651,0.00422421,0.00295896,0.00314333
3,0.0118082,0.00519082,0.00460973,0.00207742,0.0105161,0.0114419,0.00571198,0.00307213,0.00978062,0.00266922,0.00775108,0.00225305,0.00179545,0.00787598,0.0034384,0.00623062,0.00610374,0.00715562,0.00379003,0.00541965,0.00806339,0.00742884,0.00110175,0.00231421,0.00196628,0.00258563,0.00234761,0.00243442,0.00276992,0.00248061,0.00126585,0.00221712,0.00177196,0.00503718,0.00254524,0.00722776,0.0107221,0.0059071,0.00251992,0.00796405,0.00205676,0.0084622,0.00232147,0.0027019,0.00458782,0.00276813,0.00577131,0.00873175,0.00862876,0.0038592,0.00603601,0.0111703,0.00710655,0.00478878,0.00223161,0.00286614,0.00239121,0.00167997,0.00226169,0.0016852,0.00377984,0.00417535,0.00292698,0.00311599
4,0.0118706,0.00514698,0.00454712,0.00202983,0.010381,0.0115441,0.00577002,0.00298513,0.00974181,0.00256685,0.00772021,0.0021131,0.00171187,0.00783925,0.00345202,0.00615028,0.00607082,0.00705788,0.00373829,0.00535652,0.00814987,0.00735581,0.000977713,0.00223488,0.00191426,0.00251895,0.00233293,0.00236038,0.00272731,0.00242973,0.00114001,0.0021176,0.00166451,0.00507456,0.00252085,0.00730137,0.010756,0.00592957,0.00249574,0.00794174,0.00200985,0.00846806,0.00212449,0.00224387,0.00457701,0.00237092,0.00574488,0.00872504,0.00842843,0.00382438,0.00602866,0.0111392,0.00698899,0.00472726,0.0020306,0.00271424,0.00232138,0.00163959,0.00204677,0.00154916,0.00376282,0.00412284,0.00289312,0.00308869
5,0.0119088,0.00512484,0.00448857,0.00195029,0.0102728,0.0116557,0.00589504,0.00289185,0.00966841,0.00245464,0.00772619,0.00197456,0.0015986,0.00780041,0.0034463,0.00602605,0.0060368,0.00694295,0.00363116,0.00523739,0.00820685,0.00730369,0.000876906,0.00211652,0.00182161,0.00240711,0.00230868,0.00226291,0.00265761,0.00232552,0.00103474,0.00202274,0.0015684,0.00510853,0.00250937,0.00738056,0.0108159,0.00577092,0.00247495,0.00789276,0.00197574,0.00850436,0.00198799,0.00183855,0.00457205,0.00200969,0.00574419,0.00871693,0.00825391,0.00395547,0.00605675,0.011107,0.00690074,0.00465916,0.00185896,0.00259069,0.00223633,0.00166959,0.001923,0.00148476,0.00383104,0.00406504,0.0028603,0.00305999
6,0.0119249,0.00511846,0.00443518,0.00185588,0.0101868,0.0117612,0.00607454,0.00279839,0.00956591,0.00234487,0.00776777,0.00186097,0.00147282,0.00775454,0.00342504,0.00586725,0.00601393,0.00682203,0.00347865,0.00507258,0.00824287,0.00729162,0.000792853,0.00197391,0.00170586,0.0022654,0.00228553,0.00215431,0.00257191,0.0021781,0.000944565,0.00193317,0.00148111,0.00513537,0.00250575,0.00746028,0.0108705,0.00556784,0.00246563,0.00782352,0.0019621,0.00856565,0.00187625,0.0015678,0.0045722,0.00176712,0.0057463,0.00871062,0.00812415,0.00412671,0.00608808,0.0110758,0.00685422,0.00459149,0.00172641,0.00247824,0.00214073,0.00170999,0.00186772,0.00149251,0.00391644,0.00401014,0.00283804,0.00303765
7,0.0119277,0.00511859,0.00438681,0.00177335,0.010114,0.0118541,0.00627886,0.00270588,0.00944273,0.00224041,0.0078353,0.00178933,0.00135304,0.00770214,0.00339759,0.00569595,0.0060025,0.00670489,0.00330854,0.00489023,0.00826915,0.00732273,0.000717506,0.0018281,0.00159356,0.00211913,0.00226914,0.00204462,0.00248012,0.00201064,0.000861181,0.00184608,0.00139736,0.00515546,0.00246932,0.00753577,0.0109048,0.00544907,0.00247151,0.00774585,0.00196948,0.00863956,0.00176445,0.00144176,0.00457601,0.00166361,0.00571106,0.00870801,0.00804359,0.00421467,0.00604698,0.011049,0.00684742,0.00453112,0.00163233,0.00236506,0.00204074,0.00170962,0.00183665,0.00151513,0.00390247,0.0039649,0.00283161,0.00302691
8,0.0119274,0.0051175,0.00434215,0.00172072,0.0100461,0.0119355,0.0064866,0.00261449,0.00930866,0.00213828,0.00791614,0.00176769,0.00124885,0.00764997,0.00336816,0.00552941,0.00599361,0.00659603,0.0031417,0.00471389,0.00829403,0.00738671,0.000645027,0.00169257,0.00150314,0.00198669,0.00225875,0.0019361,0.00238493,0.0018383,0.000778555,0.00176008,0.00131394,0.00517217,0.00233705,0.00760419,0.0109164,0.0055013,0.00249344,0.0076653,0.00199537,0.0087193,0.001634,0.00139849,0.00458036,0.00165563,0.00558641,0.00871123,0.00800157,0.00414103,0.00587381,0.0110296,0.00686574,0.00448246,0.00156182,0.00223438,0.00192465,0.00165214,0.00179946,0.00150998,0.00371043,0.00393313,0.0028422,0.00303047
