Timestep,C7,CLAV,LACR,LAJC,LASH,LASI,LCAL,LEJC,LFAradius,LFAsuperior,LFAulna,LHJC,LKJC,LLEL,LLFC,LLMAL,LMEL,LMFC,LMMAL,LMT5,LPSH,LPSI,LSJC,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RAJC,RASH,RASI,RCAL,REJC,RFAradius,RFAsuperior,RFAulna,RHJC,RKJC,RLEL,RLFC,RLMAL,RMEL,RMFC,RMMAL,RMT5,RPSH,RPSI,RSJC,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0115774,0.00776225,0.00832979,0.00227475,0.0143396,0.0149324,0.0148989,0.00191999,0.0109253,0.00186181,0.00783046,0.00304718,0.00193143,0.00702383,0.00560922,0.00751637,0.00854493,0.00734867,0.00626064,0.0041411,0.0129416,0.0113931,0.00233739,0.00168123,0.00172438,0.0019465,0.00232508,0.00204077,0.00193595,0.00189671,0.00205303,0.00165591,0.00184779,0.00806043,0.00240603,0.0134071,0.0167279,0.0143668,0.00236064,0.0104324,0.00206401,0.00834974,0.00440425,0.00215534,0.00697928,0.00535811,0.00700449,0.00874899,0.00803657,0.00618838,0.00398041,0.0127787,0.0121429,0.00335536,0.00192434,0.00184426,0.00212065,0.00277229,0.00255528,0.00202878,0.00192763,0.00290762,0.00225847,0.00250488
0,0.0143465,0.00526885,0.00957145,0.00268875,0.0157595,0.0161001,0.0157389,0.00250742,0.0120994,0.00279006,0.00708379,0.00300256,0.000905104,0.00816744,0.00539,0.00868132,0.00795474,0.00766857,0.00644018,0.00522995,0.0131964,0.0103442,0.00211175,0.00161035,0.00182825,0.00236074,0.0026339,0.0024898,0.00240724,0.00117332,0.00205275,0.00174702,0.0018382,0.00735453,0.00364175,0.00857233,0.0213366,0.0143765,0.00450407,0.00809984,0.00386704,0.0105019,0.00501986,0.00269355,0.00608664,0.00413527,0.00905122,0.0106434,0.00959425,0.0079314,0.00692076,0.0159904,0.0115694,0.00778453,0.00243757,0.00297056,0.00255307,0.00341534,0.00312988,0.00281731,0.00539062,0.00707371,0.00531047,0.00570109
1,0.0143886,0.00523884,0.00954869,0.00269093,0.0157585,0.0161645,0.0156942,0.00250395,0.0119097,0.0027733,0.00723745,0.00298089,0.000951735,0.00810348,0.00508581,0.00874606,0.00802434,0.00746605,0.00648527,0.00537445,0.0131659,0.0102204,0.00208784,0.00150157,0.00175785,0.00235197,0.00264502,0.00248924,0.00239817,0.00136671,0.00203291,0.00173889,0.00180951,0.00740745,0.00316614,0.00855407,0.0212975,0.0142508,0.00446653,0.00823968,0.0037947,0.010365,0.00533785,0.00276196,0.00605783,0.00412467,0.00879909,0.0106395,0.00953324,0.0075773,0.00648988,0.0160528,0.0114107,0.00782357,0.00250514,0.00279703,0.00246403,0.00359415,0.00307847,0.00279364,0.00469283,0.00709087,0.00528654,0.00568163
2,0.0143961,0.00522745,0.00951588,0.00270981,0.0157339,0.0162215,0.0156564,0.00246941,0.0118481,0.00274191,0.00728777,0.00295118,0.0011031,0.00809853,0.00484105,0.00878086,0.00800068,0.00730639,0.0065043,0.00548332,0.013144,0.0101123,0.00205055,0.00141924,0.00170031,0.00233863,0.00265226,0.0024943,0.00240641,0.00149425,0.00199138,0.00169106,0.0017639,0.00743392,0.00293898,0.00857829,0.0212972,0.0143241,0.00446111,0.00832214,0.00374961,0.010273,0.00561435,0.00285871,0.00602876,0.00398363,0.00868271,0.0106562,0.00941582,0.0073855,0.00630823,0.0160616,0.0112813,0.00779802,0.00258301,0.00269359,0.00245283,0.00371962,0.00296562,0.0027236,0.00435889,0.00706446,0.00526862,0.00566078
3,0.0143751,0.00523235,0.00947415,0.00273501,0.0156926,0.0162532,0.0156348,0.00242212,0.0118677,0.00270648,0.00726766,0.00292019,0.00126402,0.00812595,0.00466657,0.0087899,0.00792921,0.00718167,0.00650372,0.00555154,0.0131247,0.0100282,0.00200415,0.00136316,0.0016566,0.00231996,0.0026491,0.00249289,0.0024095,0.00155142,0.00193666,0.00162356,0.00171063,0.00744143,0.00288284,0.00863696,0.0213299,0.014408,0.00446395,0.00835162,0.00372141,0.0102281,0.00582597,0.00299873,0.00599796,0.00374438,0.00865005,0.0106782,0.00927172,0.00729792,0.0062818,0.0160304,0.0111894,0.0077207,0.00265525,0.00262513,0.00245428,0.00377713,0.00281739,0.00261975,0.00425793,0.00699802,0.0052415,0.00562514
4,0.014333,0.00525108,0.00942652,0.00275807,0.0156459,0.016247,0.0156375,0.00238018,0.0119069,0.00267756,0.00722547,0.00289374,0.00138533,0.00815134,0.00456557,0.00877619,0.00786341,0.00708173,0.00649101,0.00557403,0.0131003,0.00997435,0.00195151,0.00132582,0.00162313,0.00229196,0.00263222,0.00247958,0.00239153,0.00153694,0.00187678,0.00155815,0.00165654,0.00743925,0.00291747,0.00871742,0.0213844,0.0144108,0.00445537,0.00833892,0.00370139,0.0102263,0.00595679,0.00316774,0.00596512,0.00346776,0.00865875,0.0106927,0.00912921,0.00726842,0.00633763,0.0159775,0.0111405,0.00761164,0.00270483,0.00256158,0.00243425,0.00376973,0.0026632,0.00250987,0.00430185,0.00690237,0.00519556,0.00556758
5,0.0142739,0.00528267,0.00937719,0.00277123,0.0156045,0.0162078,0.0156582,0.00234671,0.0119268,0.00265537,0.00719607,0.00287316,0.00145877,0.00815829,0.00452344,0.0087365,0.00782524,0.00699838,0.00646647,0.00554781,0.0130661,0.00994826,0.00189168,0.00129768,0.00159486,0.00224932,0.00260473,0.00245593,0.00235271,0.001456,0.00181269,0.00150084,0.00159982,0.00743229,0.00299237,0.00880759,0.021449,0.0143708,0.00443766,0.0082976,0.00368857,0.010256,0.00601703,0.00333007,0.00593013,0.00322054,0.00868555,0.0107021,0.00900083,0.00726355,0.00642652,0.015916,0.0111301,0.0074885,0.00272287,0.00248975,0.00239268,0.00372769,0.00251713,0.00241576,0.00440036,0.00679301,0.00513834,0.00549761
6,0.0142024,0.00532431,0.00932969,0.0027743,0.0155723,0.0161482,0.0156855,0.00231627,0.0119154,0.00263289,0.00719375,0.002857,0.00149294,0.00814938,0.00452062,0.0086706,0.0078081,0.00692831,0.00642988,0.00547966,0.0130235,0.00994298,0.00182512,0.00127477,0.00157195,0.00219378,0.00257157,0.00242474,0.00230087,0.00132354,0.00174393,0.00144825,0.00153783,0.00742259,0.00306879,0.0088992,0.0215144,0.0143191,0.00442202,0.0082413,0.00368448,0.0103031,0.00603001,0.00344147,0.00589456,0.00305726,0.00871181,0.010713,0.00888925,0.00725271,0.00651492,0.015853,0.0111481,0.00736312,0.00270424,0.00240983,0.00234251,0.00368992,0.002385,0.00234276,0.00448157,0.00668298,0.00508252,0.00542886
7,0.0141257,0.00537045,0.00928549,0.00277535,0.0155475,0.0160747,0.0157138,0.00228374,0.0118728,0.00260361,0.00722076,0.00284284,0.00149634,0.00813217,0.00454488,0.00858636,0.00779968,0.00687037,0.00638673,0.00538501,0.0129771,0.00995096,0.00175506,0.00125725,0.00155874,0.00213439,0.00253462,0.00238545,0.00224017,0.00115951,0.0016726,0.00139725,0.0014719,0.00741267,0.00309514,0.00898792,0.0215762,0.0142427,0.0044137,0.00818016,0.00368893,0.0103569,0.00601708,0.00345906,0.00586113,0.00300934,0.00870444,0.0107277,0.00879507,0.00720247,0.00655425,0.015793,0.0111846,0.0072432,0.00264605,0.0023251,0.00228859,0.00368333,0.00227868,0.00228921,0.00448029,0.00657974,0.00503448,0.00536799
8,0.0140498,0.00541616,0.00924415,0.00278483,0.015526,0.0159874,0.0157439,0.0022446,0.0118027,0.00256263,0.0072739,0.00282729,0.00147798,0.00811215,0.0045885,0.00849507,0.00779047,0.00682201,0.00634559,0.00528037,0.01293,0.0099614,0.00168345,0.00124608,0.00155969,0.00208143,0.00249296,0.00233413,0.00217046,0.000981079,0.00159983,0.00134432,0.00140281,0.00740492,0.00301552,0.00907298,0.0216349,0.0141432,0.0044142,0.00812,0.0037018,0.0104122,0.00600267,0.0033668,0.00583221,0.00307567,0.00862326,0.0107461,0.00871738,0.00709031,0.00648722,0.0157388,0.0112282,0.00713281,0.0025555,0.00223595,0.00222078,0.00371775,0.00221871,0.00225635,0.00434277,0.00648662,0.00499654,0.00531695
9,0.0139793,0.00545759,0.00920386,0.00280533,0.0155047,0.0158877,0.0157735,0.00219527,0.0117137,0.00250692,0.00734481,0.00280868,0.0014452,0.00809324,0.00464677,0.00840421,0.00777332,0.00677902,0.00631117,0.00517783,0.0128833,0.00996118,0.00161,0.0012389,0.00157309,0.00204018,0.00244723,0.00227018,0.00209306,0.00080406,0.00152461,0.0012852,0.00132915,0.00740217,0.00281126,0.00915383,0.0216892,0.0140551,0.00442518,0.00806254,0.00372308,0.0104667,0.00601192,0.00318933,0.00580787,0.00322696,0.00845349,0.0107692,0.00865594,0.00692363,0.0062964,0.0156932,0.0112656,0.00703483,0.00245058,0.00214614,0.00213204,0.00378888,0.00222153,0.00224719,0.00406498,0.00640627,0.00497075,0.00527804
10,0.0139188,0.00549241,0.00916253,0.00282896,0.0154818,0.0157817,0.0157953,0.00213434,0.0116179,0.00243565,0.00742033,0.00278856,0.00140245,0.00807894,0.0047148,0.0083134,0.00774347,0.00673992,0.00628038,0.00508073,0.012838,0.00994295,0.00153563,0.00123154,0.00159121,0.00200845,0.00240035,0.00220002,0.00201313,0.00064102,0.00144734,0.0012178,0.00125125,0.00740651,0.00253054,0.00922885,0.0217222,0.0140173,0.00444211,0.008006,0.00374768,0.0105195,0.0060471,0.00298374,0.00578506,0.00340944,0.00822858,0.0107955,0.00860606,0.00674441,0.0060321,0.0156569,0.0112859,0.00694794,0.00235415,0.00206895,0.00203915,0.00387137,0.00227425,0.00225115,0.00371057,0.00633661,0.00495283,0.00524864
11,0.0138705,0.00552088,0.00911885,0.00284745,0.0154563,0.015675,0.0158046,0.00206258,0.0115251,0.00234955,0.00748885,0.00276749,0.0013537,0.00807051,0.00478498,0.00821962,0.00770051,0.00670747,0.00624836,0.00498752,0.0127961,0.00990706,0.00146281,0.0012236,0.00160886,0.00198262,0.00235358,0.00212942,0.00193508,0.000500103,0.00137051,0.00114287,0.0011717,0.00741735,0.00225328,0.00929796,0.0217099,0.0140432,0.00445415,0.00794914,0.00376648,0.0105692,0.00608669,0.00280739,0.0057603,0.00356477,0.00800478,0.0108188,0.00855593,0.00659963,0.00576857,0.0156259,0.0112838,0.00686483,0.00228646,0.00202118,0.00197272,0.00392921,0.00233778,0.00224238,0.00336326,0.00626916,0.00493179,0.00521931
12,0.0138346,0.00554319,0.00907087,0.00285418,0.0154247,0.0155701,0.0157981,0.00198375,0.0114426,0.00225294,0.00754228,0.00274284,0.0012988,0.00806585,0.00485525,0.00812334,0.0076497,0.00668234,0.00621432,0.00490068,0.012759,0.00985703,0.00139268,0.00121313,0.00162209,0.00196028,0.00230608,0.00205751,0.00185952,0.000392504,0.00129579,0.00106258,0.00109288,0.0074343,0.00204107,0.00936477,0.0216512,0.0141143,0.00445377,0.00789622,0.00377336,0.0106113,0.00611393,0.00269095,0.00573273,0.00365797,0.00782325,0.0108343,0.00849611,0.00650932,0.00555458,0.0155965,0.0112616,0.0067787,0.00225667,0.00201025,0.00195081,0.00394497,0.00237913,0.0022038,0.00307683,0.00619656,0.0048998,0.00518223
13,0.0138071,0.00556143,0.00901835,0.00284926,0.0153846,0.0154653,0.015777,0.00190194,0.0113727,0.00215049,0.00757835,0.00271164,0.00124084,0.00806189,0.00492504,0.00802725,0.00759752,0.00666128,0.0061801,0.00482346,0.0127273,0.00979857,0.00132529,0.00120023,0.00163073,0.00194161,0.00225629,0.00197976,0.00178473,0.000321524,0.00122414,0.000979831,0.00101709,0.0074554,0.0019019,0.00943517,0.0215678,0.0142055,0.00444056,0.00785305,0.00376814,0.0106422,0.00612717,0.00263742,0.00570435,0.00368252,0.00769008,0.0108408,0.00841886,0.00646553,0.00538755,0.0155648,0.0112279,0.00668503,0.00225933,0.00202572,0.00196291,0.00392321,0.00238252,0.00213385,0.0028472,0.00611497,0.00485567,0.00513452
14,0.0137817,0.00557963,0.00896322,0.00283632,0.0153374,0.0153533,0.0157467,0.00182154,0.0113145,0.00204657,0.00759952,0.00267429,0.00118428,0.00805751,0.00499639,0.00793618,0.00754829,0.00664082,0.00615059,0.0047579,0.0126996,0.00973923,0.00126015,0.0011864,0.00163688,0.00192791,0.00220265,0.00189249,0.00170698,0.000279632,0.001156,0.000899035,0.000947355,0.00747755,0.00181222,0.00951326,0.021483,0.0142927,0.00441704,0.00782311,0.00375321,0.0106611,0.00612811,0.00262892,0.00567733,0.00365744,0.00758956,0.0108393,0.00832441,0.00644758,0.00524521,0.015528,0.0111944,0.00658198,0.00227798,0.00204983,0.00198564,0.00387857,0.00234937,0.00204534,0.00264798,0.00602359,0.00480151,0.00507649
15,0.0137524,0.00560209,0.00890803,0.00281658,0.0152873,0.015224,0.0157126,0.00174653,0.0112655,0.00194483,0.00761057,0.00263484,0.00113277,0.00805354,0.00507235,0.0078565,0.00750351,0.00662096,0.00613285,0.00470541,0.0126729,0.00968592,0.00119613,0.00117277,0.00164244,0.00191905,0.00214448,0.00179405,0.00162226,0.000251378,0.00109069,0.000824894,0.000886027,0.00749819,0.00174535,0.00959974,0.0214053,0.0143547,0.00438432,0.00780785,0.00372945,0.0106679,0.00611312,0.00263766,0.00565246,0.00361293,0.00750193,0.0108301,0.0082219,0.00643419,0.00511381,0.0154849,0.0111711,0.0064695,0.00229313,0.002067,0.00199887,0.00382329,0.00229131,0.00195609,0.00246536,0.00592291,0.0047388,0.00500881
16,0.0137153,0.00563214,0.00885503,0.00279011,0.0152394,0.0150701,0.0156769,0.00167906,0.0112221,0.00184684,0.00761709,0.00259856,0.00108964,0.00805125,0.0051531,0.00779243,0.00746269,0.00660494,0.00613131,0.00466689,0.0126445,0.00964316,0.00113169,0.00116158,0.00164993,0.00191512,0.00208362,0.00168506,0.00153034,0.000223116,0.00102649,0.000760373,0.000833209,0.00751564,0.00167822,0.00969305,0.0213335,0.0143773,0.00434333,0.00780623,0.0036976,0.0106639,0.00607686,0.00263278,0.00562962,0.00357815,0.00740883,0.0108141,0.00812162,0.00640884,0.00498585,0.0154357,0.011164,0.00634853,0.00228619,0.00206413,0.00198884,0.00376546,0.00222246,0.00188027,0.00229498,0.00581418,0.00466893,0.00493274
