time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_wrist_flex_r,pos_wrist_dev_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,pos_wrist_flex_l,pos_wrist_dev_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_wrist_flex_r,vel_wrist_dev_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,vel_wrist_flex_l,vel_wrist_dev_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_wrist_flex_r,tau_wrist_dev_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,tau_wrist_flex_l,tau_wrist_dev_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_wrist_flex_r,acc_wrist_dev_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,acc_wrist_flex_l,acc_wrist_dev_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0.43,-0.153367,0.0445012,-0.00206977,0.722198,1.02462,-0.31795,0.558488,-0.0521605,-0.332796,-0.27731,-0.135833,0.000369651,0.0034702,0.00664334,-0.0407661,-0.223848,-1.00095,-0.156079,0.030297,0.00968823,-0.00715298,-0.0113265,-0.19408,-0.619373,-0.29998,-0.119097,1.36458,1.40285,0.0331994,-0.033171,-0.0606831,-0.495681,0.470853,2.08746,1.46405,-0.00715182,-0.00142931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.865685,0,-0.17782,0.527155,-0.891589,0.108792,-10.9455,18.5124,-2.25889,0,0,0,0,0,0,0,0,0,0.000329027,0.0370942,0
0.44,-0.147781,0.0402136,-0.00815784,0.723036,1.01898,-0.316485,0.563073,-0.0397113,-0.289254,-0.343137,-0.0943514,0.000369651,0.0034702,0.0259854,-0.0621056,-0.228845,-1.09877,-0.13385,0.030297,0.00968823,-0.0121994,-0.00386894,-0.183836,-0.606114,-0.304233,-0.120407,1.36401,1.4027,0.0331994,-0.033171,-0.0833875,-0.48542,0.462005,2.05454,1.46164,-0.00715182,-0.00142931,0.558658,-0.428757,-0.608807,0.0838776,-0.564361,0.146576,0.458545,1.24492,4.35424,-6.58267,4.14814,0,0,1.9342,-2.13395,-0.499724,-9.78223,2.22295,0,0,-0.504638,0.745757,1.02443,1.32587,-0.425312,-0.130986,-0.0571268,-0.0148214,0,0,-2.27044,1.02611,-0.884737,-3.29201,-0.240358,0,0,63.6444,-116.634,-14.487,-1.05004,2.27592,2.41677,-60.8119,-46.6142,6.15059,-9.63309,1.45367,0.2739,0.103264,135.709,41.1909,-23.6025,41.7247,4.44741,0.985062,0.29266,-12.25,-19.2844,23.166,13.3451,5.31027,3.01843,6.62929,0.100205,0.82664,-0.829339,-8.05572,-7.85877,0.427362,-3.48898,0.10586,-0.0262683,0.730262,-11.9905,-0.378341,8.45374,-5.17678,-9.06116,-3.03677,-0.821436,-6.14739,-63.8265,-11.7802,86.7135,0,0,60.7779,32.9106,50.2772,23.39,-8.12587,0,0,0.012219,0.492629,0.797813,37.9849,4.55836,20.7237,0.861569,20.9123,0,0,2.51298,-18.2824,0.535625,-17.3528,9.09933,0,0,0,0,1,0,0.886181,0,-0.231243,0.189978,-0.451411,0.0548699,-29.6813,70.5263,-8.5726,0,0,0,0,0,0,0,0,0,0.000304807,0.0411364,133.701
0.45,-0.143393,0.0358882,-0.0134005,0.723357,1.01243,-0.315323,0.567577,-0.0278768,-0.252094,-0.410142,-0.0441987,0.000369651,0.0034702,0.0514052,-0.0801541,-0.228815,-1.19425,-0.112433,0.030297,0.00968823,-0.0172445,0.00363789,-0.173512,-0.589057,-0.30803,-0.119644,1.36353,1.40465,0.0331994,-0.033171,-0.105841,-0.476987,0.453211,2.01988,1.46015,-0.00715182,-0.00142931,0.438753,-0.43254,-0.524269,0.0321098,-0.654972,0.116209,0.450331,1.18345,3.71598,-6.70047,5.01527,0,0,2.54198,-1.80485,0.00304735,-9.54833,2.14169,0,0,-0.504516,0.750683,1.03241,1.70572,-0.379729,0.0762502,-0.0485111,0.194302,0,0,-2.24531,0.843291,-0.879381,-3.46554,-0.149365,0,0,61.2288,-96.9017,-13.7384,-0.627975,2.08333,0.834759,-50.3742,-48.3744,6.34224,1.12056,-8.71285,3.42708,0.106352,117.105,30.5116,-18.0785,36.1429,4.11105,0.579354,0.266924,-7.9157,-18.7595,23.3194,12.4357,5.04869,2.95733,6.94972,0.0935807,0.848787,-0.876569,-8.63413,-8.01245,0.579264,-2.73037,0.103617,0.0419553,0.630102,-12.3926,-0.309219,8.66038,-5.47305,-7.53654,-2.82048,-1.22817,-6.57579,-64.6545,-8.94559,81.7855,0,0,61.2048,33.052,49.8357,24.2803,-8.4315,0,0,0.479913,0.329506,0.414427,38.1565,4.58481,21.0191,0.59631,20.5106,0,0,2.17896,-18.2103,0.4057,-16.8562,8.75072,0,0,0,0,1,0,0.902653,0,-0.239317,-0.164568,0.477447,-0.043449,-71.4831,207.388,-18.8729,0,0,0,0,0,0,0,0,0,0.000296779,0.0425363,115.469
0.46,-0.140245,0.0315319,-0.0177772,0.723131,1.00513,-0.314443,0.571957,-0.0166999,-0.2214,-0.478041,0.0141326,0.000369651,0.0034702,0.0829455,-0.0948974,-0.223801,-1.28731,-0.0918592,0.030297,0.00968823,-0.0222417,0.0111777,-0.163146,-0.568184,-0.311369,-0.11678,1.3631,1.40864,0.0331994,-0.033171,-0.128076,-0.470375,0.444458,1.98354,1.45953,-0.00715182,-0.00142931,0.314827,-0.435633,-0.437666,-0.0226207,-0.730338,0.088004,0.438049,1.11769,3.06943,-6.78992,5.83313,0,0,3.15403,-1.47433,0.501404,-9.30553,2.05738,0,0,-0.499717,0.753978,1.03656,2.08729,-0.333881,0.286441,-0.042548,0.399407,0,0,-2.22352,0.661188,-0.875324,-3.6341,-0.0618579,0,0,46.2182,-77.0494,-13.9178,0.413071,-0.625533,2.90419,-56.6035,-56.3091,7.22598,10.3534,-33.1316,8.6944,0.106243,98.8841,21.7617,-12.5561,30.1257,3.83545,0.208106,0.247843,-0.682668,-19.4422,23.0457,11.0387,4.70885,2.8788,7.53528,0.0821844,0.889453,-0.962948,-9.26672,-8.18434,0.757836,-1.28526,0.0926945,0.151479,0.430831,-13.1522,-0.00293333,9.20606,-5.80973,-4.8674,-2.65121,-2.88013,-7.70539,-65.2799,-0.685143,67.4061,0,0,61.7671,33.4951,48.4054,27.4654,-9.09151,0,0,1.62717,-0.177576,-0.673569,38.4497,4.65181,21.7296,-0.0361058,19.9192,0,0,1.03654,-17.9355,-0.0389468,-15.0556,7.82442,0,0,0,0,1,0,0.898031,0,-0.243881,-0.411614,1.53428,-0.112146,-118.482,441.638,-32.2809,0,0,0,0,0,0,0,0,0,0.000286265,0.0409388,90.9694
0.47,-0.138412,0.0271752,-0.0212332,0.722324,0.997335,-0.313828,0.57605,-0.00629356,-0.197234,-0.546009,0.0792044,0.000369651,0.0034702,0.120662,-0.106291,-0.213946,-1.37762,-0.0721946,0.030297,0.00968823,-0.0270761,0.0186997,-0.152848,-0.543467,-0.314243,-0.111742,1.36267,1.41463,0.0331994,-0.033171,-0.150207,-0.465556,0.435701,1.94569,1.45969,-0.00715182,-0.00142931,0.183305,-0.435662,-0.345605,-0.080718,-0.779012,0.0614919,0.409248,1.04064,2.41663,-6.79678,6.50719,0,0,3.7717,-1.13938,0.985458,-9.03087,1.96646,0,0,-0.483445,0.752202,1.02982,2.47178,-0.287362,0.503737,-0.0429091,0.5986,0,0,-2.21315,0.481832,-0.875713,-3.78466,0.0163862,0,0,9.94617,-57.4662,-15.3509,1.39243,-0.796378,4.37002,-86.0143,-67.3131,10.021,16.6631,-63.2261,14.4318,0.0989277,84.7971,14.7495,-7.87362,24.8974,3.65871,-0.0945553,0.236645,6.37557,-21.1873,22.3286,9.75341,4.31362,2.75069,8.47032,0.0629812,0.942601,-1.10354,-9.67093,-8.31118,0.88599,0.758931,0.0712829,0.287993,0.136243,-13.5665,0.699285,9.99457,-5.63078,-1.45728,-2.49385,-6.93027,-9.42248,-63.4861,13.9969,42.6402,0,0,61.2194,34.1026,45.1708,34.2609,-9.78491,0,0,3.22713,-1.2416,-2.42467,38.3385,4.81005,22.5236,-0.671583,19.6311,0,0,-1.20644,-17.396,-0.815519,-11.0972,6.27306,0,0,0,0,1,0,0.873143,0,-0.250236,-0.420695,2.25977,-0.133999,-135.289,726.709,-43.0922,0,0,0,0,0,0,0,0,0,0.000274882,0.038343,60.4864
0.48,-0.137935,0.0228886,-0.0236898,0.720954,0.989399,-0.313462,0.579449,0.00317055,-0.179416,-0.612577,0.14854,0.000369651,0.0034702,0.164501,-0.114275,-0.199574,-1.4645,-0.0535085,0.030297,0.00968823,-0.0315879,0.0260976,-0.142792,-0.514915,-0.316635,-0.104453,1.36218,1.42258,0.0331994,-0.033171,-0.172459,-0.462478,0.426862,1.90674,1.46049,-0.00715182,-0.00142931,0.0476399,-0.428669,-0.245659,-0.137026,-0.793585,0.0365534,0.339945,0.946411,1.78177,-6.65681,6.93359,0,0,4.3839,-0.798352,1.43717,-8.68826,1.86861,0,0,-0.451173,0.739786,1.00557,2.85517,-0.239262,0.728973,-0.0496249,0.794911,0,0,-2.22522,0.307872,-0.883868,-3.89563,0.0791168,0,0,-22.0678,-37.4427,-13.46,0.442492,0.475078,2.28828,-114.535,-74.0531,13.9818,33.0684,-91.8978,21.132,0.0835267,74.0814,10.0215,-4.77392,20.8313,3.51822,-0.281323,0.22912,14.3879,-25.1224,21.0312,8.4875,3.78187,2.49576,9.61009,0.0347755,0.985358,-1.28373,-9.95962,-8.22578,1.07723,3.24609,0.0460425,0.460762,-0.2309,-13.011,1.79884,10.6426,-4.98909,2.2361,-2.22067,-14.2247,-11.609,-57.5611,34.0096,10.8638,0,0,57.9047,34.6252,39.1767,45.3248,-10.1236,0,0,4.7139,-3.30109,-4.35572,36.8222,5.18723,22.565,-0.401645,20.1805,0,0,-4.46807,-16.7111,-1.70336,-4.32655,4.26887,0,0,0,0,1,0,0.840845,0,-0.256934,-0.298957,2.2721,-0.0942182,-134.314,1020.8,-42.3301,0,0,0,0,0,0,0,0,0,0.000269657,0.036762,45.5607
0.49,-0.13876,0.0187817,-0.0250822,0.719085,0.981687,-0.313319,0.581426,0.0114738,-0.167354,-0.675744,0.218963,0.000369651,0.0034702,0.214131,-0.118796,-0.181285,-1.54685,-0.0358347,0.030297,0.00968823,-0.0356282,0.0331653,-0.133172,-0.482681,-0.318509,-0.0949064,1.36164,1.43254,0.0331994,-0.033171,-0.195158,-0.46107,0.417853,1.86735,1.4617,-0.00715182,-0.00142931,-0.08247,-0.410681,-0.139233,-0.186917,-0.771224,0.0143467,0.197698,0.830321,1.20616,-6.31671,7.04223,0,0,4.96294,-0.452099,1.82893,-8.23501,1.76738,0,0,-0.404035,0.706776,0.962016,3.22339,-0.18739,0.954623,-0.0536414,0.996716,0,0,-2.2699,0.140761,-0.900902,-3.9389,0.121805,0,0,-21.9477,-13.8002,-5.14013,-1.02609,-1.51536,2.31353,-115.425,-73.4136,16.6689,68.1028,-124.259,29.2711,0.0618369,63.3179,7.15789,-3.25231,17.7354,3.31088,-0.336938,0.218383,25.1102,-29.2703,19.2667,6.79615,2.99091,2.08369,10.6619,-0.000536657,0.997161,-1.46349,-10.4151,-7.69681,1.52818,5.96534,0.0277015,0.68547,-0.631721,-11.2977,3.5482,10.6827,-4.32075,5.79018,-1.71271,-25.0153,-14.0525,-47.4841,57.0049,-22.4009,0,0,50.39,34.5962,29.778,60.3654,-10.0277,0,0,5.35069,-6.52447,-5.6602,32.7566,5.92199,20.8275,1.96287,21.2111,0,0,-8.26621,-16.1312,-2.33187,5.44143,2.18428,0,0,0,0,1,0,0.814822,0,-0.262351,-0.196166,1.6229,-0.0355704,-156.311,1293.17,-28.3435,0,0,0,0,0,0,0,0,0,0.000270757,0.036378,26.5946
0.5,-0.140715,0.0150298,-0.0254062,0.716783,0.974554,-0.313346,0.580902,0.0183717,-0.160041,-0.73321,0.287145,0.000369651,0.0034702,0.268799,-0.119857,-0.160018,-1.62316,-0.0191637,0.030297,0.00968823,-0.0391335,0.0395806,-0.124118,-0.447171,-0.319791,-0.0832774,1.3613,1.44463,0.0331994,-0.033171,-0.218684,-0.461276,0.408611,1.8285,1.46314,-0.00715182,-0.00142931,-0.195447,-0.375199,-0.0324065,-0.230124,-0.713322,-0.00278047,-0.0524551,0.689796,0.731318,-5.74666,6.81822,0,0,5.46684,-0.106137,2.12671,-7.63136,1.6671,0,0,-0.350528,0.641531,0.905414,3.55096,-0.12817,1.1629,-0.0340127,1.20883,0,0,-2.35256,-0.020551,-0.924221,-3.88448,0.143648,0,0,-1.99713,-0.0249257,3.58105,-3.9756,-1.49385,3.45159,-98.0299,-74.1011,19.2569,110.302,-159.143,36.1227,0.0372798,52.9108,5.48161,-3.29837,15.826,3.02839,-0.26178,0.203252,36.8703,-35.8176,16.8591,4.78837,2.11533,1.57698,11.6105,-0.042617,0.981755,-1.63845,-10.7974,-6.82272,2.1066,8.67954,0.0150528,0.930251,-1.03999,-8.51024,5.835,9.6752,-3.51414,8.82081,-1.0804,-37.9201,-16.7143,-34.8587,79.8546,-52.1815,0,0,38.6141,33.6137,17.0434,78.0941,-9.76322,0,0,5.16659,-10.9704,-5.62652,25.2887,7.06765,16.5347,7.38559,21.5092,0,0,-11.9629,-15.8827,-2.38807,17.7591,0.563875,0,0,0,0,1,0,0.793686,0,-0.266944,-0.10185,0.80935,-0.00622383,-190.095,1510.59,-11.6163,0,0,0,0,0,0,0,0,0,0.000274467,0.0367145,6.83838
0.51,-0.14352,0.0118613,-0.0247628,0.714131,0.968302,-0.313482,0.576585,0.0235983,-0.156214,-0.782691,0.350109,0.000369651,0.0034702,0.327329,-0.117557,-0.137046,-1.69167,-0.00346907,0.030297,0.00968823,-0.0421221,0.0448989,-0.115627,-0.409133,-0.320366,-0.069995,1.3617,1.45887,0.0331994,-0.033171,-0.243406,-0.463069,0.39913,1.79143,1.46463,-0.00715182,-0.00142931,-0.28055,-0.316849,0.0643454,-0.265266,-0.625114,-0.0135845,-0.431656,0.522653,0.382731,-4.94812,6.2964,0,0,5.85298,0.229999,2.29715,-6.85042,1.56947,0,0,-0.298862,0.531827,0.849149,3.80385,-0.0574932,1.32825,0.0398432,1.42392,0,0,-2.47219,-0.179379,-0.948101,-3.70689,0.149287,0,0,1.97023,0.775014,8.20399,-4.46987,-0.390418,3.92246,-85.7189,-82.4288,23.6001,145.982,-188.95,39.7325,0.0131707,42.75,3.39094,-4.0893,14.5285,2.67247,-0.108608,0.183371,41.2091,-43.2834,14.0402,2.9616,1.35099,1.10159,12.5194,-0.0905782,0.956692,-1.80735,-10.5101,-5.82566,2.52518,11.221,-0.00152087,1.14264,-1.43902,-5.63276,8.78975,7.5608,-2.24522,11.1627,-0.516513,-50.8299,-19.2816,-21.8214,99.4588,-75.9455,0,0,23.3871,31.2625,1.85804,96.6033,-9.69007,0,0,4.30299,-16.1432,-3.8457,14.3209,8.51463,9.57183,16.0351,19.4161,0,0,-14.9744,-15.9941,-1.72369,31.5268,-0.474996,0,0,0,0,1,0,0.770749,0,-0.270841,-0.0531334,0.440047,-0.000967293,-201.641,1669.98,-3.67087,0,0,0,0,0,0,0,0,0,0.000277755,0.0373282,10.3588
0.52,-0.146889,0.00957176,-0.0233632,0.711253,0.963168,-0.31367,0.567185,0.0268966,-0.154569,-0.822227,0.405478,0.000369651,0.0034702,0.388198,-0.112131,-0.113889,-1.75051,0.0112566,0.030297,0.00968823,-0.0446804,0.0486028,-0.10752,-0.369662,-0.320089,-0.0557553,1.3637,1.47505,0.0331994,-0.033171,-0.269625,-0.466463,0.389477,1.75752,1.46608,-0.00715182,-0.00142931,-0.336877,-0.228951,0.139953,-0.287718,-0.513487,-0.0187496,-0.939955,0.329837,0.164517,-3.95353,5.53695,0,0,6.08686,0.542624,2.31573,-5.88439,1.47257,0,0,-0.255832,0.370395,0.810692,3.94705,0.0276531,1.42396,0.200194,1.61808,0,0,-2.62193,-0.33932,-0.965338,-3.39162,0.144537,0,0,-0.226668,-0.902069,9.0445,-4.84478,0.724258,4.00684,-84.348,-94.4549,28.1854,169.164,-214.551,41.4376,-0.00670627,36.7076,0.0596103,-5.04963,14.2047,2.39052,0.0567584,0.167243,46.9141,-47.3529,11.3404,1.36443,0.806271,0.744913,13.3923,-0.143148,0.936235,-1.97312,-9.53672,-4.68954,2.69073,13.7109,-0.0256368,1.30989,-1.84854,-2.02925,12.4141,4.50844,-0.456684,13.0168,-0.0913272,-61.0274,-21.378,-10.2355,113.543,-93.5919,0,0,6.51911,27.368,-14.1872,113.93,-9.92446,0,0,3.81902,-21.2212,-0.521008,0.66327,9.99371,0.700493,26.9346,13.8283,0,0,-16.9955,-16.195,-0.44562,45.2139,-1.28896,0,0,0,0,1,0,0.745552,0,-0.272981,-0.0898479,0.899106,-0.00305245,-178.875,1789.99,-6.07699,0,0,0,0,0,0,0,0,0,0.000279007,0.0379421,11.0779
