Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0218811,0.0173194,0.00695461,0.0123284,0.00682724,0.00620895,0.00532157,0.00524334,0.0117426,0.0139488,0.012116,0.0102483,0.00912807,0.00834909,0.00645201,0.0138515,0.0135755,0.0109926,0.00693099,0.0108565,0.0102225,0.00733632,0.00935598,0.0132332,0.00530809,0.00605707,0.00486864,0.00526634,0.0132166,0.0106176,0.0109859,0.0134664,0.00893033,0.00724644,0.0063203,0.00974778,0.0126575,0.0114317,0.00961705,0.00813124,0.00901808,0.00683867
0,0.0219088,0.013266,0.0092802,0.0135157,0.0163703,0.00236301,0.00886618,0.00876892,0.00396762,0.0161596,0.0131105,0.0123208,0.0186257,0.0196762,0.0167316,0.0272222,0.0203644,0.0166036,0.0190426,0.0146659,0.0168454,0.0121165,0.010656,0.0125617,0.00408321,0.00432647,0.00681446,0.0069471,0.0131747,0.0118309,0.0117511,0.00953913,0.00796387,0.00964749,0.00737525,0.00917462,0.0114843,0.0105576,0.0114132,0.0121774,0.00804257,0.0084935
1,0.0216176,0.0137105,0.00908555,0.0127229,0.0138947,0.00213747,0.00793075,0.00739378,0.00405306,0.0157727,0.0106353,0.0118889,0.0146182,0.0151019,0.0125586,0.0213032,0.0164807,0.013406,0.0157359,0.014983,0.0162819,0.0121609,0.0108671,0.0118739,0.00369211,0.003885,0.00579103,0.00598939,0.0125417,0.0113123,0.0144006,0.00937821,0.00625121,0.00830427,0.00651473,0.00732875,0.0134622,0.0095212,0.00905155,0.011406,0.00719125,0.00759099
2,0.021321,0.0140928,0.00861751,0.0118776,0.0112786,0.00286808,0.00725035,0.00654112,0.0040394,0.0153968,0.0114758,0.0111511,0.0111869,0.0110534,0.00906094,0.0153643,0.0135894,0.0107192,0.0136968,0.0150454,0.0157157,0.0121205,0.0108646,0.0112477,0.00520406,0.00362757,0.00496805,0.00531729,0.0119402,0.010816,0.0143094,0.00882838,0.00510874,0.00544513,0.00459302,0.00591243,0.0133881,0.00864122,0.00604656,0.0105414,0.00623158,0.00666269
3,0.0211951,0.0143668,0.00784946,0.0109125,0.00888722,0.00339621,0.00670469,0.00605463,0.00390539,0.0149485,0.0140216,0.0101924,0.00856596,0.00759966,0.00646481,0.00963724,0.0114872,0.00847275,0.0124803,0.0147387,0.0150046,0.0118355,0.0105956,0.0111158,0.0061556,0.00347803,0.00433061,0.0049231,0.0114197,0.0102851,0.0128994,0.00797532,0.00566035,0.00273565,0.00294475,0.00574578,0.0112014,0.00797433,0.00255136,0.00952389,0.00527633,0.00575385
4,0.0213958,0.0145536,0.00678094,0.00974722,0.00750923,0.00358252,0.00611114,0.00574336,0.00374502,0.0143142,0.0167044,0.00909237,0.00690549,0.00483362,0.00493889,0.00468565,0.00970405,0.00632365,0.0116611,0.013897,0.0138949,0.0110485,0.0100326,0.0120727,0.00683743,0.00349776,0.00388408,0.00470294,0.0111023,0.00973136,0.0126093,0.00730031,0.00661666,0.00344441,0.00393065,0.00683303,0.00807115,0.00803175,0.00280969,0.00817501,0.00451583,0.00495451
5,0.0218261,0.0147942,0.00553963,0.00833735,0.00690201,0.00352694,0.00530684,0.00547462,0.0038843,0.0134232,0.0184289,0.00787087,0.00597345,0.00308028,0.00421646,0.00254845,0.00813399,0.0038215,0.0105951,0.0123943,0.0121415,0.00956968,0.00929792,0.0141437,0.00706841,0.00379612,0.00364579,0.00445562,0.0111087,0.00917139,0.0146071,0.00787614,0.00641939,0.00386448,0.00451751,0.00791685,0.00545204,0.00862283,0.00290756,0.00625689,0.00410133,0.00445165
6,0.0221138,0.0152704,0.00451616,0.00684663,0.00630719,0.00343822,0.00424477,0.00521235,0.00471917,0.0123582,0.0186024,0.00681754,0.00533562,0.00311864,0.00380743,0.00520459,0.00744909,0.00110202,0.00902913,0.0103403,0.0097273,0.00747706,0.00872876,0.0165446,0.0066728,0.00442769,0.00369852,0.00404164,0.0114595,0.00856922,0.0182345,0.0103577,0.00506058,0.0028936,0.00341716,0.00847174,0.0045624,0.0084907,0.00124285,0.00373594,0.00419803,0.00463994
7,0.0219372,0.0159987,0.00434859,0.00582957,0.00568988,0.00355587,0.00301336,0.00496099,0.006223,0.0114219,0.0173674,0.00656422,0.00481294,0.00422847,0.00347927,0.00835967,0.0079984,0.00274801,0.0074089,0.00819552,0.00706384,0.00517484,0.00865007,0.0183603,0.00579679,0.0053524,0.00413099,0.00343361,0.0120851,0.00806977,0.0214898,0.0138707,0.00383637,0.00308514,0.00174821,0.00854717,0.00483745,0.00751005,0.00080991,0.0013672,0.00501323,0.00573218
8,0.0213792,0.0167847,0.00519963,0.00592111,0.00515859,0.00379835,0.00181962,0.00467734,0.00803995,0.0110785,0.0154647,0.00691401,0.00453143,0.00526496,0.00325713,0.0107456,0.00899339,0.00548545,0.00613903,0.00658209,0.00505466,0.00325866,0.00899274,0.0192367,0.0048343,0.00646227,0.00480829,0.00269316,0.0129151,0.00796465,0.0226057,0.0170005,0.00381024,0.00391,0.000956617,0.00817646,0.00474267,0.00690678,0.00195478,0.00275599,0.006446,0.00734663
